"date";"day_of_week";"month";"season";"is_weekend";"is_public_holiday";"is_school_holiday";"special_occasion";"special_occasion_demand_factor";"restaurant_open";"data_status";"is_synthetic"
"2026-05-10";"Sunday";"May";"Autumn";"true";"false";"false";"Mothers Day";"1.15";"true";"historical";"true"
"2026-05-11";"Monday";"May";"Autumn";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-05-12";"Tuesday";"May";"Autumn";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-05-13";"Wednesday";"May";"Autumn";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-05-14";"Thursday";"May";"Autumn";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-05-15";"Friday";"May";"Autumn";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-05-16";"Saturday";"May";"Autumn";"true";"false";"false";"None";"1";"true";"historical";"true"
"2026-05-17";"Sunday";"May";"Autumn";"true";"false";"false";"None";"1";"true";"historical";"true"
"2026-05-18";"Monday";"May";"Autumn";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-05-19";"Tuesday";"May";"Autumn";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-05-20";"Wednesday";"May";"Autumn";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-05-21";"Thursday";"May";"Autumn";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-05-22";"Friday";"May";"Autumn";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-05-23";"Saturday";"May";"Autumn";"true";"false";"false";"None";"1";"true";"historical";"true"
"2026-05-24";"Sunday";"May";"Autumn";"true";"false";"false";"None";"1";"true";"historical";"true"
"2026-05-25";"Monday";"May";"Autumn";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-05-26";"Tuesday";"May";"Autumn";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-05-27";"Wednesday";"May";"Autumn";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-05-28";"Thursday";"May";"Autumn";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-05-29";"Friday";"May";"Autumn";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-05-30";"Saturday";"May";"Autumn";"true";"false";"false";"None";"1";"true";"historical";"true"
"2026-05-31";"Sunday";"May";"Autumn";"true";"false";"false";"None";"1";"true";"historical";"true"
"2026-06-01";"Monday";"June";"Winter";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-06-02";"Tuesday";"June";"Winter";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-06-03";"Wednesday";"June";"Winter";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-06-04";"Thursday";"June";"Winter";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-06-05";"Friday";"June";"Winter";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-06-06";"Saturday";"June";"Winter";"true";"false";"false";"None";"1";"true";"historical";"true"
"2026-06-07";"Sunday";"June";"Winter";"true";"false";"false";"None";"1";"true";"historical";"true"
