"restaurant_id";"inventory_as_of_date";"ingredient_id";"ingredient_name";"category";"current_quantity";"unit";"safety_stock_quantity";"reorder_threshold_quantity";"unit_cost_aud";"inventory_value_aud";"storage_type";"storage_location";"last_count_timestamp";"is_synthetic"
"REST001";"2026-08-02";"BASE-001";"Cooked jasmine rice";"BASE";"696249";"g";"208875";"417749";"0.00416";"2896.4";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"BASE-002";"Cooked brown rice";"BASE";"31122";"g";"9337";"18673";"0.00432";"134.45";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"BASE-003";"Turmeric coconut rice";"BASE";"69798";"g";"20939";"41879";"0.0038";"265.23";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"DRNK-001";"Coconut water 330ml";"DRNK";"122";"ea";"37";"73";"1.552";"189.34";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"DRNK-002";"Cold pressed juice - Watermelon Lime 300ml";"DRNK";"113";"ea";"34";"68";"1.616";"182.61";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"DRNK-003";"Cold pressed juice - Classic OJ 300ml";"DRNK";"114";"ea";"34";"68";"1.68";"191.52";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"DRNK-004";"Cold pressed juice - Pineapple Mint 300ml";"DRNK";"113";"ea";"34";"68";"1.504";"169.95";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"DRNK-005";"Dash sparkling water - Lime 330ml";"DRNK";"125";"ea";"38";"75";"1.568";"196";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"DRNK-006";"Dash sparkling water - Raspberry 330ml";"DRNK";"124";"ea";"37";"75";"1.632";"202.37";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"DRNK-007";"Dash sparkling water - Peach 330ml";"DRNK";"124";"ea";"37";"75";"1.696";"210.3";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"DRNK-008";"Kombucha - Ginger Lemon 330ml";"DRNK";"124";"ea";"37";"74";"1.52";"188.48";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"DRNK-009";"Kombucha - Lemon Lime Mint 330ml";"DRNK";"123";"ea";"37";"74";"1.584";"194.83";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"DRNK-010";"Kombucha - Peach 330ml";"DRNK";"125";"ea";"38";"75";"1.472";"184";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"DRNK-011";"Kombucha - Raspberry Lemonade 330ml";"DRNK";"124";"ea";"37";"75";"1.68";"208.32";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"DRNK-012";"Sodaly - Passionfruit 330ml";"DRNK";"126";"ea";"38";"75";"1.616";"203.62";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"DRNK-013";"Sodaly - Guava 330ml";"DRNK";"125";"ea";"37";"75";"1.552";"194";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"DRNK-014";"Sodaly - Raspberry 330ml";"DRNK";"127";"ea";"38";"76";"1.488";"188.98";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"DRNK-015";"Sparkling water 500ml";"DRNK";"190";"ea";"57";"114";"1.696";"322.24";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"DRNK-016";"Specialty soda - Gingerella 330ml";"DRNK";"123";"ea";"37";"74";"1.632";"200.74";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"DRNK-017";"Specialty soda - Karma Cola 330ml";"DRNK";"125";"ea";"37";"75";"1.568";"196";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"DRNK-018";"Specialty soda - Lemmy 330ml";"DRNK";"123";"ea";"37";"74";"1.504";"184.99";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"DRNK-019";"Still water 600ml";"DRNK";"226";"ea";"68";"135";"1.712";"386.91";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"GARN-001";"Edamame";"GARN";"429.032";"cup";"128.71";"257.419";"1.485";"637.11";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"GARN-002";"Pickled ginger";"GARN";"15080";"g";"4524";"9048";"0.01045";"157.59";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"GARN-003";"Crispy shallots";"GARN";"3401";"spoon";"243";"486";"0.1296";"440.77";"dry";"Dry store";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"GARN-004";"Nori strips";"GARN";"8109";"g";"579";"1158";"0.01122";"90.98";"dry";"Dry store";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"GARN-005";"Nori sheet";"GARN";"714";"ea";"51";"102";"0.784";"559.78";"dry";"Dry store";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"GARN-006";"63-degree egg";"GARN";"193";"ea";"58";"116";"0.611";"117.92";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"GARN-007";"Half-boiled egg";"GARN";"339";"ea";"102";"203";"0.6955";"235.77";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"GARN-008";"Tamagoyaki";"GARN";"364";"ea";"109";"219";"0.84";"305.76";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"GARN-009";"Lemon wedge";"GARN";"353";"ea";"106";"212";"0.808";"285.22";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"GARN-010";"Avocado";"GARN";"19905";"g";"5971";"11943";"0.01177";"234.28";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"GARN-011";"Pineapple";"GARN";"7004";"g";"2101";"4203";"0.01034";"72.42";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"GARN-012";"Cucumber slice";"GARN";"1012";"slice";"303";"607";"0.098";"99.18";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"GARN-013";"Crushed walnuts";"GARN";"4119";"ea";"294";"588";"0.816";"3361.1";"dry";"Dry store";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"GARN-014";"Assorted topping (kimchi / corn / edamame / nori)";"GARN";"2322.317";"cup";"165.88";"331.76";"1.59";"3692.48";"dry";"Dry store";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"LEAF-001";"Mixed leaf salad";"LEAF";"146029";"g";"43809";"87617";"0.01224";"1787.39";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"LEAF-002";"Baby spinach";"LEAF";"5779";"g";"1734";"3467";"0.01176";"67.96";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"LEAF-003";"Kale";"LEAF";"5931";"g";"1779";"3558";"0.01128";"66.9";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"LEAF-004";"Classic slaw";"LEAF";"22762";"g";"6829";"13657";"0.01284";"292.26";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"MISC-001";"Miso paste (pre-packaged)";"MISC";"101";"pack";"30";"60";"0.423";"42.72";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"MISC-002";"Water";"MISC";"227063";"ml";"16219";"32438";"0.00749";"1700.7";"dry";"Dry store";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"MISC-003";"Fresh ginger";"MISC";"408";"matchsticks";"123";"245";"0.0309";"12.61";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"MISC-004";"Yuzu jam";"MISC";"5904";"g";"1771";"3542";"0.00679";"40.09";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"PROT-001";"Seared chicken";"PROT";"31330";"g";"9399";"18798";"0.01664";"521.33";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"PROT-002";"Sous-vide chicken";"PROT";"17332";"g";"5200";"10399";"0.01728";"299.5";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"PROT-003";"Karaage chicken";"PROT";"189445";"g";"23681";"47361";"0.0152";"2879.56";"freezer";"Freezer";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"PROT-004";"Flame-seared wagyu";"PROT";"24655";"g";"7396";"14793";"0.0606";"1494.09";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"PROT-005";"Aburi salmon";"PROT";"55785";"g";"16735";"33471";"0.03675";"2050.1";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"PROT-006";"Sashimi salmon";"PROT";"35053";"g";"10516";"21032";"0.0322";"1128.71";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"PROT-007";"Sashimi tuna";"PROT";"27583";"g";"8275";"16550";"0.03648";"1006.23";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"PROT-008";"Tiger prawns";"PROT";"33148";"g";"4143";"8287";"0.03264";"1081.95";"freezer";"Freezer";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"PROT-009";"Pan-seared tofu";"PROT";"46825";"g";"14048";"28095";"0.00954";"446.71";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"PROT-010";"Miso beet falafel";"PROT";"4668";"ea";"584";"1167";"0.792";"3697.06";"freezer";"Freezer";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"PROT-011";"Crispy eggplant";"PROT";"104592";"g";"13074";"26148";"0.00855";"894.26";"freezer";"Freezer";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"SAUC-001";"Teriyaki sauce";"SAUC";"22966";"g";"6890";"13779";"0.0102";"234.25";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"SAUC-002";"Japanese mayo";"SAUC";"1668";"g";"500";"1001";"0.0098";"16.35";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"SAUC-003";"Spicy mayo";"SAUC";"8380";"g";"2514";"5028";"0.0094";"78.77";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"SAUC-004";"Sweet miso sauce";"SAUC";"9089";"g";"2727";"5453";"0.0107";"97.25";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"SAUC-005";"Shoyu";"SAUC";"6198";"g";"1860";"3719";"0.0103";"63.84";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"SAUC-006";"Creamy roasted sesame";"SAUC";"17205";"g";"5161";"10323";"0.0099";"170.33";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"SAUC-007";"Yuzu kosho mayo";"SAUC";"17784";"g";"5335";"10670";"0.0095";"168.95";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"SAUC-008";"Bao sauce";"SAUC";"5735";"g";"1720";"3441";"0.0104";"59.64";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"SAUC-009";"Warm cashew satay";"SAUC";"4915";"g";"1475";"2949";"0.01";"49.15";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"SAUC-010";"Assorted sauce";"SAUC";"64951";"g";"19485";"38970";"0.0093";"604.04";"fridge";"Walk-in fridge";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"SEAS-001";"Aonori seasoning";"SEAS";"7005";"g";"500";"1001";"0.02112";"147.95";"dry";"Dry store";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"SEAS-002";"Furikake";"SEAS";"2778";"g";"250";"397";"0.02024";"56.23";"dry";"Dry store";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"SEAS-003";"Cinnamon";"SEAS";"486";"dash";"35";"69";"0.021";"10.21";"dry";"Dry store";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"SNCK-001";"Raw ball - Peanut Butter";"SNCK";"80";"ea";"6";"11";"1.296";"103.68";"dry";"Dry store";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"SNCK-002";"Raw ball - Choc Brownie";"SNCK";"77";"ea";"6";"11";"1.3635";"104.99";"dry";"Dry store";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"SNCK-003";"Raw ball - Coconut Cacao";"SNCK";"78";"ea";"6";"11";"1.4175";"110.57";"dry";"Dry store";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"SNCK-004";"Raw ball - Hazelnut";"SNCK";"77";"ea";"6";"11";"1.458";"112.27";"dry";"Dry store";"2026-08-02T06:00:00";"true"
"REST001";"2026-08-02";"SNCK-005";"Raw ball - Apricot Delight";"SNCK";"80";"ea";"6";"11";"1.2825";"102.6";"dry";"Dry store";"2026-08-02T06:00:00";"true"
