"forecast_id";"forecast_generated_date";"forecast_date";"forecast_horizon_days";"service_period";"menu_item_id";"menu_variant_id";"menu_item_name";"portion_size";"category";"baseline_portions";"predicted_portions";"lower_bound_portions";"upper_bound_portions";"forecast_confidence_pct";"confirmed_reservation_covers";"weather_condition";"special_occasion";"event_types";"key_demand_drivers";"predicted_revenue_aud";"model_version";"is_synthetic"
"FC-000001";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-001";"MI-001-SMALL";"Chicken Teriyaki Bowl - Small";"Small";"Signature Nosh Bowls";"6.786";"7.193";"5.754";"8.632";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"107.18";"misecast-menu-v2.0";"true"
"FC-000002";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-001";"MI-001-LARGE";"Chicken Teriyaki Bowl - Large";"Large";"Signature Nosh Bowls";"6.679";"7.079";"5.663";"8.495";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"126.71";"misecast-menu-v2.0";"true"
"FC-000003";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-002";"MI-002-SMALL";"Tofu Teriyaki Bowl - Small";"Small";"Signature Nosh Bowls";"6.179";"6.549";"5.239";"7.859";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"97.58";"misecast-menu-v2.0";"true"
"FC-000004";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-002";"MI-002-LARGE";"Tofu Teriyaki Bowl - Large";"Large";"Signature Nosh Bowls";"6";"6.36";"5.088";"7.632";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"113.84";"misecast-menu-v2.0";"true"
"FC-000005";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-003";"MI-003-SMALL";"Miso Eggplant Bowl - Small";"Small";"Signature Nosh Bowls";"6.679";"7.079";"5.663";"8.495";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"112.56";"misecast-menu-v2.0";"true"
"FC-000006";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-003";"MI-003-LARGE";"Miso Eggplant Bowl - Large";"Large";"Signature Nosh Bowls";"6.607";"7.004";"5.603";"8.405";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"132.38";"misecast-menu-v2.0";"true"
"FC-000007";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-004";"MI-004-SMALL";"Miso Falalalafel - Small";"Small";"Signature Nosh Bowls";"7.714";"8.177";"6.542";"9.812";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"130.01";"misecast-menu-v2.0";"true"
"FC-000008";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-004";"MI-004-LARGE";"Miso Falalalafel - Large";"Large";"Signature Nosh Bowls";"7.714";"8.177";"6.542";"9.812";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"154.55";"misecast-menu-v2.0";"true"
"FC-000009";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-005";"MI-005-SMALL";"Sashimi Bowl - Small";"Small";"Signature Nosh Bowls";"6.821";"7.231";"5.785";"8.677";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"129.43";"misecast-menu-v2.0";"true"
"FC-000010";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-005";"MI-005-LARGE";"Sashimi Bowl - Large";"Large";"Signature Nosh Bowls";"7.036";"7.458";"5.966";"8.95";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"155.87";"misecast-menu-v2.0";"true"
"FC-000011";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-006";"MI-006-SMALL";"Poke Bowl - Small";"Small";"Signature Nosh Bowls";"6.357";"6.739";"5.391";"8.087";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"113.89";"misecast-menu-v2.0";"true"
"FC-000012";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-006";"MI-006-LARGE";"Poke Bowl - Large";"Large";"Signature Nosh Bowls";"6.25";"6.625";"5.3";"7.95";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"131.84";"misecast-menu-v2.0";"true"
"FC-000013";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-007";"MI-007-SMALL";"Wagyu Beef Bowl - Small";"Small";"Signature Nosh Bowls";"6.643";"7.041";"5.633";"8.449";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"126.03";"misecast-menu-v2.0";"true"
"FC-000014";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-007";"MI-007-LARGE";"Wagyu Beef Bowl - Large";"Large";"Signature Nosh Bowls";"6.571";"6.966";"5.573";"8.359";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"145.59";"misecast-menu-v2.0";"true"
