"expiry_action_id";"action_generated_date";"batch_id";"ingredient_id";"ingredient_name";"expiry_date";"days_until_expiry";"batch_quantity_remaining";"unit";"projected_batch_usage_before_expiry";"projected_waste_quantity";"inventory_value_at_risk_aud";"expiry_risk_level";"recommended_menu_item_id";"recommended_menu_variant_id";"recommended_menu_item_name";"ingredient_quantity_per_portion";"recommended_additional_portions";"recommended_discount_pct";"promotion_start_date";"promotion_end_date";"estimated_incremental_revenue_aud";"estimated_waste_value_avoided_aud";"recommended_action";"is_synthetic"
"EXP-0001";"2026-08-02";"LOT-BASE-001-1";"BASE-001";"Cooked jasmine rice";"2026-08-03";"1";"417749";"g";"139249.736";"278499.264";"1158.56";"Critical";"MI-001";"MI-001-LARGE";"Chicken Teriyaki Bowl - Large";"255.102041";"1092";"20";"2026-08-02";"2026-08-03";"15637.44";"1158.56";"Promote Chicken Teriyaki Bowl - Large and use batch LOT-BASE-001-1 first";"true"
"EXP-0002";"2026-08-02";"LOT-BASE-001-2";"BASE-001";"Cooked jasmine rice";"2026-08-06";"4";"278500";"g";"556998.943";"0";"0";"Medium";"MI-001";"MI-001-LARGE";"Chicken Teriyaki Bowl - Large";"255.102041";"0";"10";"2026-08-02";"2026-08-06";"0";"0";"Use batch LOT-BASE-001-2 first under FEFO rotation";"true"
"EXP-0003";"2026-08-02";"LOT-BASE-002-1";"BASE-002";"Cooked brown rice";"2026-08-03";"1";"18673";"g";"6224.49";"12448.51";"53.78";"Critical";"MI-002";"MI-002-LARGE";"Tofu Teriyaki Bowl - Large";"255.102041";"49";"20";"2026-08-02";"2026-08-03";"701.68";"53.78";"Promote Tofu Teriyaki Bowl - Large and use batch LOT-BASE-002-1 first";"true"
"EXP-0004";"2026-08-02";"LOT-BASE-002-2";"BASE-002";"Cooked brown rice";"2026-08-06";"4";"12449";"g";"24897.959";"0";"0";"Medium";"MI-002";"MI-002-LARGE";"Tofu Teriyaki Bowl - Large";"255.102041";"0";"10";"2026-08-02";"2026-08-06";"0";"0";"Use batch LOT-BASE-002-2 first under FEFO rotation";"true"
"EXP-0005";"2026-08-02";"LOT-BASE-003-1";"BASE-003";"Turmeric coconut rice";"2026-08-03";"1";"41879";"g";"13959.548";"27919.452";"106.09";"Critical";"MI-006";"MI-006-LARGE";"Poke Bowl - Large";"255.102041";"110";"20";"2026-08-02";"2026-08-03";"1751.2";"106.09";"Promote Poke Bowl - Large and use batch LOT-BASE-003-1 first";"true"
"EXP-0006";"2026-08-02";"LOT-BASE-003-2";"BASE-003";"Turmeric coconut rice";"2026-08-06";"4";"27919";"g";"55838.192";"0";"0";"Medium";"MI-006";"MI-006-LARGE";"Poke Bowl - Large";"255.102041";"0";"10";"2026-08-02";"2026-08-06";"0";"0";"Use batch LOT-BASE-003-2 first under FEFO rotation";"true"
"EXP-0007";"2026-08-02";"LOT-GARN-001-1";"GARN-001";"Edamame";"2026-08-03";"1";"257.419";"cup";"85.806";"171.613";"254.84";"Critical";"MI-001";"MI-001-SMALL";"Chicken Teriyaki Bowl - Small";"0.257732";"666";"20";"2026-08-02";"2026-08-03";"7938.72";"254.84";"Promote Chicken Teriyaki Bowl - Small and use batch LOT-GARN-001-1 first";"true"
"EXP-0008";"2026-08-02";"LOT-GARN-002-1";"GARN-002";"Pickled ginger";"2026-08-03";"1";"9048";"g";"3016.035";"6031.965";"63.03";"Critical";"MI-001";"MI-001-SMALL";"Chicken Teriyaki Bowl - Small";"10.204082";"592";"20";"2026-08-02";"2026-08-03";"7056.64";"63.03";"Promote Chicken Teriyaki Bowl - Small and use batch LOT-GARN-002-1 first";"true"
"EXP-0009";"2026-08-02";"LOT-GARN-006-1";"GARN-006";"63-degree egg";"2026-08-03";"1";"116";"ea";"38.534";"77.466";"47.33";"Critical";"MI-007";"MI-007-SMALL";"Wagyu Beef Bowl - Small";"1.052632";"74";"20";"2026-08-02";"2026-08-03";"1059.68";"47.33";"Promote Wagyu Beef Bowl - Small and use batch LOT-GARN-006-1 first";"true"
"EXP-0010";"2026-08-02";"LOT-GARN-007-1";"GARN-007";"Half-boiled egg";"2026-08-03";"1";"203";"ea";"67.707";"135.293";"94.1";"Critical";"MI-011";"MI-011-STANDARD";"Karaage Bento";"1.052632";"129";"20";"2026-08-02";"2026-08-03";"1434.48";"94.1";"Promote Karaage Bento and use batch LOT-GARN-007-1 first";"true"
"EXP-0011";"2026-08-02";"LOT-GARN-008-1";"GARN-008";"Tamagoyaki";"2026-08-03";"1";"218";"ea";"72.865";"145.135";"121.91";"Critical";"MI-009";"MI-009-SMALL";"Power Meal - Small";"1.030928";"141";"20";"2026-08-02";"2026-08-03";"2131.92";"121.91";"Promote Power Meal - Small and use batch LOT-GARN-008-1 first";"true"
"EXP-0012";"2026-08-02";"LOT-GARN-009-1";"GARN-009";"Lemon wedge";"2026-08-03";"1";"212";"ea";"70.679";"141.321";"114.19";"Critical";"MI-009";"MI-009-SMALL";"Power Meal - Small";"1";"142";"20";"2026-08-02";"2026-08-03";"2147.04";"114.19";"Promote Power Meal - Small and use batch LOT-GARN-009-1 first";"true"
"EXP-0013";"2026-08-02";"LOT-GARN-010-1";"GARN-010";"Avocado";"2026-08-03";"1";"11943";"g";"3980.952";"7962.048";"93.71";"Critical";"MI-005";"MI-005-SMALL";"Sashimi Bowl - Small";"53.333333";"150";"20";"2026-08-02";"2026-08-03";"2148";"93.71";"Promote Sashimi Bowl - Small and use batch LOT-GARN-010-1 first";"true"
"EXP-0014";"2026-08-02";"LOT-GARN-011-1";"GARN-011";"Pineapple";"2026-08-03";"1";"4202";"g";"1400.893";"2801.107";"28.96";"Critical";"MI-004";"MI-004-SMALL";"Miso Falalalafel - Small";"37.5";"75";"20";"2026-08-02";"2026-08-03";"954";"28.96";"Promote Miso Falalalafel - Small and use batch LOT-GARN-011-1 first";"true"
"EXP-0015";"2026-08-02";"LOT-GARN-012-1";"GARN-012";"Cucumber slice";"2026-08-03";"1";"607";"slice";"202.331";"404.669";"39.66";"Critical";"MI-011";"MI-011-STANDARD";"Karaage Bento";"2.105263";"193";"20";"2026-08-02";"2026-08-03";"2146.16";"39.66";"Promote Karaage Bento and use batch LOT-GARN-012-1 first";"true"
"EXP-0016";"2026-08-02";"LOT-LEAF-001-1";"LEAF-001";"Mixed leaf salad";"2026-08-03";"1";"87617";"g";"29205.753";"58411.247";"714.95";"Critical";"MI-014";"MI-014-LARGE";"Create Your Own - Sous-vide Chicken - Large";"74.017951";"790";"20";"2026-08-02";"2026-08-03";"11944.8";"714.95";"Promote Create Your Own - Sous-vide Chicken - Large and use batch LOT-LEAF-001-1 first";"true"
"EXP-0017";"2026-08-02";"LOT-LEAF-001-2";"LEAF-001";"Mixed leaf salad";"2026-08-07";"5";"58412";"g";"146028.767";"0";"0";"Medium";"MI-014";"MI-014-LARGE";"Create Your Own - Sous-vide Chicken - Large";"74.017951";"0";"10";"2026-08-02";"2026-08-07";"0";"0";"Use batch LOT-LEAF-001-2 first under FEFO rotation";"true"
"EXP-0018";"2026-08-02";"LOT-LEAF-002-1";"LEAF-002";"Baby spinach";"2026-08-03";"1";"3467";"g";"1155.775";"2311.225";"27.18";"Critical";"MI-006";"MI-006-LARGE";"Poke Bowl - Large";"42.553191";"55";"20";"2026-08-02";"2026-08-03";"875.6";"27.18";"Promote Poke Bowl - Large and use batch LOT-LEAF-002-1 first";"true"
"EXP-0019";"2026-08-02";"LOT-LEAF-002-2";"LEAF-002";"Baby spinach";"2026-08-07";"5";"2312";"g";"5778.875";"0";"0";"Medium";"MI-006";"MI-006-LARGE";"Poke Bowl - Large";"42.553191";"0";"10";"2026-08-02";"2026-08-07";"0";"0";"Use batch LOT-LEAF-002-2 first under FEFO rotation";"true"
"EXP-0020";"2026-08-02";"LOT-LEAF-003-1";"LEAF-003";"Kale";"2026-08-03";"1";"3559";"g";"1186.111";"2372.889";"26.77";"Critical";"MI-002";"MI-002-LARGE";"Tofu Teriyaki Bowl - Large";"44.444444";"54";"20";"2026-08-02";"2026-08-03";"773.28";"26.77";"Promote Tofu Teriyaki Bowl - Large and use batch LOT-LEAF-003-1 first";"true"
"EXP-0021";"2026-08-02";"LOT-LEAF-003-2";"LEAF-003";"Kale";"2026-08-07";"5";"2372";"g";"5930.555";"0";"0";"Medium";"MI-002";"MI-002-LARGE";"Tofu Teriyaki Bowl - Large";"44.444444";"0";"10";"2026-08-02";"2026-08-07";"0";"0";"Use batch LOT-LEAF-003-2 first under FEFO rotation";"true"
"EXP-0022";"2026-08-02";"LOT-LEAF-004-1";"LEAF-004";"Classic slaw";"2026-08-03";"1";"13657";"g";"4552.444";"9104.556";"116.9";"Critical";"MI-011";"MI-011-STANDARD";"Karaage Bento";"47.368421";"193";"20";"2026-08-02";"2026-08-03";"2146.16";"116.9";"Promote Karaage Bento and use batch LOT-LEAF-004-1 first";"true"
"EXP-0023";"2026-08-02";"LOT-LEAF-004-2";"LEAF-004";"Classic slaw";"2026-08-07";"5";"9105";"g";"22762.218";"0";"0";"Medium";"MI-011";"MI-011-STANDARD";"Karaage Bento";"47.368421";"0";"10";"2026-08-02";"2026-08-07";"0";"0";"Use batch LOT-LEAF-004-2 first under FEFO rotation";"true"
"EXP-0024";"2026-08-02";"LOT-PROT-001-1";"PROT-001";"Seared chicken";"2026-08-03";"1";"18798";"g";"6265.923";"12532.077";"208.53";"Critical";"MI-001";"MI-001-LARGE";"Chicken Teriyaki Bowl - Large";"115.789474";"109";"20";"2026-08-02";"2026-08-03";"1560.88";"208.53";"Promote Chicken Teriyaki Bowl - Large and use batch LOT-PROT-001-1 first";"true"
"EXP-0025";"2026-08-02";"LOT-PROT-001-2";"PROT-001";"Seared chicken";"2026-08-06";"4";"12532";"g";"25063.69";"0";"0";"Medium";"MI-001";"MI-001-LARGE";"Chicken Teriyaki Bowl - Large";"115.789474";"0";"10";"2026-08-02";"2026-08-06";"0";"0";"Use batch LOT-PROT-001-2 first under FEFO rotation";"true"
"EXP-0026";"2026-08-02";"LOT-PROT-002-1";"PROT-002";"Sous-vide chicken";"2026-08-03";"1";"10399";"g";"3466.355";"6932.645";"119.8";"Critical";"MI-014";"MI-014-LARGE";"Create Your Own - Sous-vide Chicken - Large";"114.688867";"61";"20";"2026-08-02";"2026-08-03";"922.32";"119.8";"Promote Create Your Own - Sous-vide Chicken - Large and use batch LOT-PROT-002-1 first";"true"
"EXP-0027";"2026-08-02";"LOT-PROT-002-2";"PROT-002";"Sous-vide chicken";"2026-08-06";"4";"6933";"g";"13865.42";"0";"0";"Medium";"MI-014";"MI-014-LARGE";"Create Your Own - Sous-vide Chicken - Large";"114.688867";"0";"10";"2026-08-02";"2026-08-06";"0";"0";"Use batch LOT-PROT-002-2 first under FEFO rotation";"true"
"EXP-0028";"2026-08-02";"LOT-PROT-004-1";"PROT-004";"Flame-seared wagyu";"2026-08-03";"1";"14793";"g";"4930.966";"9862.034";"597.64";"Critical";"MI-024";"MI-024-LARGE";"Create Your Own - Flame-seared Wagyu - Large";"88.388441";"112";"20";"2026-08-02";"2026-08-03";"1962.24";"597.64";"Promote Create Your Own - Flame-seared Wagyu - Large and use batch LOT-PROT-004-1 first";"true"
"EXP-0029";"2026-08-02";"LOT-PROT-004-2";"PROT-004";"Flame-seared wagyu";"2026-08-06";"4";"9862";"g";"19723.863";"0";"0";"Medium";"MI-024";"MI-024-LARGE";"Create Your Own - Flame-seared Wagyu - Large";"88.388441";"0";"10";"2026-08-02";"2026-08-06";"0";"0";"Use batch LOT-PROT-004-2 first under FEFO rotation";"true"
