"file_name;""field_order"";""field_name"";""data_type"";""required_for_join_or_model"";""description"""
"menu_items.csv;""1"";""source_row_number"";""text"";""Depends on feature"";""Source row number."""
"menu_items.csv;""2"";""menu_item_id"";""text"";""Yes"";""Menu item id."""
"menu_items.csv;""3"";""menu_item_name_source"";""text"";""Depends on feature"";""Menu item name source."""
"menu_items.csv;""4"";""menu_item_name_clean"";""text"";""Depends on feature"";""Menu item name clean."""
"menu_items.csv;""5"";""category"";""text"";""Depends on feature"";""Category."""
"menu_items.csv;""6"";""sale_price_aud_small"";""number"";""Depends on feature"";""Sale price aud small."""
"menu_items.csv;""7"";""sale_price_aud_large"";""number"";""Depends on feature"";""Sale price aud large."""
"menu_items.csv;""8"";""estimated_food_cost_aud_small"";""number"";""Depends on feature"";""Estimated food cost aud small."""
"menu_items.csv;""9"";""estimated_food_cost_aud_large"";""number"";""Depends on feature"";""Estimated food cost aud large."""
"menu_items.csv;""10"";""active"";""boolean"";""Depends on feature"";""Active."""
"menu_items.csv;""11"";""menu_tag_codes"";""text"";""Depends on feature"";""Menu tag codes."""
"menu_items.csv;""12"";""tag_gf"";""text"";""Depends on feature"";""Tag gf."""
"menu_items.csv;""13"";""tag_v"";""text"";""Depends on feature"";""Tag v."""
"menu_items.csv;""14"";""tag_vg"";""text"";""Depends on feature"";""Tag vg."""
"menu_items.csv;""15"";""tag_a"";""text"";""Depends on feature"";""Tag a."""
"menu_items.csv;""16"";""tag_i"";""text"";""Depends on feature"";""Tag i."""
"menu_items.csv;""17"";""base_lunch_portions"";""number"";""Depends on feature"";""Base lunch portions."""
"menu_items.csv;""18"";""base_dinner_portions"";""number"";""Depends on feature"";""Base dinner portions."""
"menu_items.csv;""19"";""source_file"";""text"";""Depends on feature"";""Source file."""
"menu_variants.csv;""1"";""menu_variant_id"";""text"";""Yes"";""Menu variant id."""
"menu_variants.csv;""2"";""menu_item_id"";""text"";""Yes"";""Menu item id."""
"menu_variants.csv;""3"";""menu_variant_name"";""text"";""Depends on feature"";""Menu variant name."""
"menu_variants.csv;""4"";""portion_size"";""text"";""Depends on feature"";""Portion size."""
"menu_variants.csv;""5"";""category"";""text"";""Depends on feature"";""Category."""
"menu_variants.csv;""6"";""sale_price_aud"";""number"";""Depends on feature"";""Sale price aud."""
"menu_variants.csv;""7"";""estimated_food_cost_aud"";""number"";""Depends on feature"";""Estimated food cost aud."""
"menu_variants.csv;""8"";""gross_margin_aud"";""number"";""Depends on feature"";""Gross margin aud."""
"menu_variants.csv;""9"";""gross_margin_ratio"";""number"";""Depends on feature"";""Gross margin ratio."""
"menu_variants.csv;""10"";""active"";""boolean"";""Depends on feature"";""Active."""
"menu_variants.csv;""11"";""demand_model_training_eligible"";""boolean"";""Depends on feature"";""Demand model training eligible."""
"menu_variants.csv;""12"";""exclusion_reason"";""text"";""Depends on feature"";""Exclusion reason."""
"menu_variants.csv;""13"";""menu_tag_codes"";""text"";""Depends on feature"";""Menu tag codes."""
"menu_variants.csv;""14"";""tag_gf"";""text"";""Depends on feature"";""Tag gf."""
"menu_variants.csv;""15"";""tag_v"";""text"";""Depends on feature"";""Tag v."""
"menu_variants.csv;""16"";""tag_vg"";""text"";""Depends on feature"";""Tag vg."""
"menu_variants.csv;""17"";""tag_a"";""text"";""Depends on feature"";""Tag a."""
"menu_variants.csv;""18"";""tag_i"";""text"";""Depends on feature"";""Tag i."""
"menu_variants.csv;""19"";""base_lunch_portions_parent"";""number"";""Depends on feature"";""Base lunch portions parent."""
"menu_variants.csv;""20"";""base_dinner_portions_parent"";""number"";""Depends on feature"";""Base dinner portions parent."""
"menu_variants.csv;""21"";""size_mix_assumption_pct"";""number"";""Depends on feature"";""Size mix assumption pct."""
"menu_variants.csv;""22"";""source_row_number"";""text"";""Depends on feature"";""Source row number."""
"menu_variants.csv;""23"";""source_file"";""text"";""Depends on feature"";""Source file."""
"menu_recipes.csv;""1"";""recipe_line_id"";""text"";""Yes"";""Recipe line id."""
"menu_recipes.csv;""2"";""menu_variant_id"";""text"";""Yes"";""Menu variant id."""
"menu_recipes.csv;""3"";""menu_item_id"";""text"";""Yes"";""Menu item id."""
"menu_recipes.csv;""4"";""menu_variant_name"";""text"";""Depends on feature"";""Menu variant name."""
"menu_recipes.csv;""5"";""portion_size"";""text"";""Depends on feature"";""Portion size."""
"menu_recipes.csv;""6"";""ingredient_id"";""text"";""Yes"";""Ingredient id."""
"menu_recipes.csv;""7"";""ingredient_name"";""text"";""Depends on feature"";""Ingredient name."""
"menu_recipes.csv;""8"";""ingredient_group_code"";""text"";""Depends on feature"";""Ingredient group code."""
"menu_recipes.csv;""9"";""quantity_per_portion"";""number"";""Depends on feature"";""Quantity per portion."""
"menu_recipes.csv;""10"";""unit"";""text"";""Depends on feature"";""Unit."""
"menu_recipes.csv;""11"";""preparation_loss_fraction"";""number"";""Depends on feature"";""Preparation loss fraction."""
"menu_recipes.csv;""12"";""preparation_loss_pct"";""number"";""Depends on feature"";""Preparation loss pct."""
"menu_recipes.csv;""13"";""effective_quantity_per_portion"";""number"";""Depends on feature"";""Effective quantity per portion."""
"menu_recipes.csv;""14"";""recipe_component_status"";""text"";""Depends on feature"";""Recipe component status."""
"menu_recipes.csv;""15"";""inventory_consumption_eligible"";""boolean"";""Depends on feature"";""Inventory consumption eligible."""
"menu_recipes.csv;""16"";""source_row_number"";""text"";""Depends on feature"";""Source row number."""
"menu_recipes.csv;""17"";""source_file"";""text"";""Depends on feature"";""Source file."""
"ingredient_master.csv;""1"";""ingredient_id"";""text"";""Yes"";""Ingredient id."""
"ingredient_master.csv;""2"";""ingredient_name"";""text"";""Depends on feature"";""Ingredient name."""
"ingredient_master.csv;""3"";""ingredient_group_code"";""text"";""Depends on feature"";""Ingredient group code."""
"ingredient_master.csv;""4"";""source_unit"";""text"";""Depends on feature"";""Source unit."""
"ingredient_master.csv;""5"";""storage_type"";""text"";""Depends on feature"";""Storage type."""
"ingredient_master.csv;""6"";""unit_cost_aud"";""number"";""Depends on feature"";""Unit cost aud."""
"ingredient_master.csv;""7"";""inventory_tracked"";""boolean"";""Depends on feature"";""Inventory tracked."""
"ingredient_master.csv;""8"";""recipe_line_count"";""number"";""Depends on feature"";""Recipe line count."""
"ingredient_master.csv;""9"";""menu_variant_count"";""number"";""Depends on feature"";""Menu variant count."""
"ingredient_master.csv;""10"";""active_menu_variant_count"";""number"";""Depends on feature"";""Active menu variant count."""
"ingredient_master.csv;""11"";""operational_data_status"";""number"";""Depends on feature"";""Operational data status."""
"ingredient_master.csv;""12"";""inventory_setup_note"";""text"";""Depends on feature"";""Inventory setup note."""
"ingredient_master.csv;""13"";""source_file"";""text"";""Depends on feature"";""Source file."""
"historical_sales.csv;""1"";""sales_record_id"";""number"";""Yes"";""Sales record id."""
"historical_sales.csv;""2"";""restaurant_id"";""text"";""Yes"";""Restaurant id."""
"historical_sales.csv;""3"";""date"";""date"";""Yes"";""Date."""
"historical_sales.csv;""4"";""service_period"";""text"";""Depends on feature"";""Service period."""
"historical_sales.csv;""5"";""channel"";""text"";""Depends on feature"";""Channel."""
"historical_sales.csv;""6"";""menu_item_id"";""text"";""Yes"";""Menu item id."""
"historical_sales.csv;""7"";""menu_variant_id"";""text"";""Yes"";""Menu variant id."""
"historical_sales.csv;""8"";""menu_item_name"";""text"";""Depends on feature"";""Menu item name."""
"historical_sales.csv;""9"";""portion_size"";""text"";""Depends on feature"";""Portion size."""
"historical_sales.csv;""10"";""quantity_sold"";""number"";""Depends on feature"";""Quantity sold."""
"historical_sales.csv;""11"";""unit_price_aud"";""number"";""Depends on feature"";""Unit price aud."""
"historical_sales.csv;""12"";""discount_pct"";""number"";""Depends on feature"";""Discount pct."""
"historical_sales.csv;""13"";""gross_sales_aud"";""number"";""Depends on feature"";""Gross sales aud."""
"historical_sales.csv;""14"";""net_sales_aud"";""number"";""Depends on feature"";""Net sales aud."""
