"sales_record_id;""restaurant_id"";""date"";""service_period"";""channel"";""menu_item_id"";""menu_variant_id"";""menu_item_name"";""portion_size"";""quantity_sold"";""unit_price_aud"";""discount_pct"";""gross_sales_aud"";""net_sales_aud"";""promotion_id"";""is_synthetic"""
"SALE-20260510-L-MI-001-SMALL-1;""REST001"";""2026-05-10"";""Lunch"";""Dine-in"";""MI-001"";""MI-001-SMALL"";""Chicken Teriyaki Bowl - Small"";""Small"";""4"";""14.9"";""0"";""59.6"";""59.6"";"""";""true"""
"SALE-20260510-L-MI-001-SMALL-2;""REST001"";""2026-05-10"";""Lunch"";""Takeaway"";""MI-001"";""MI-001-SMALL"";""Chicken Teriyaki Bowl - Small"";""Small"";""1"";""14.9"";""0"";""14.9"";""14.9"";"""";""true"""
"SALE-20260510-L-MI-001-SMALL-3;""REST001"";""2026-05-10"";""Lunch"";""Delivery"";""MI-001"";""MI-001-SMALL"";""Chicken Teriyaki Bowl - Small"";""Small"";""2"";""14.9"";""0"";""29.8"";""29.8"";"""";""true"""
"SALE-20260510-L-MI-001-LARGE-1;""REST001"";""2026-05-10"";""Lunch"";""Dine-in"";""MI-001"";""MI-001-LARGE"";""Chicken Teriyaki Bowl - Large"";""Large"";""4"";""17.9"";""0"";""71.6"";""71.6"";"""";""true"""
"SALE-20260510-L-MI-001-LARGE-2;""REST001"";""2026-05-10"";""Lunch"";""Takeaway"";""MI-001"";""MI-001-LARGE"";""Chicken Teriyaki Bowl - Large"";""Large"";""1"";""17.9"";""0"";""17.9"";""17.9"";"""";""true"""
"SALE-20260510-L-MI-001-LARGE-3;""REST001"";""2026-05-10"";""Lunch"";""Delivery"";""MI-001"";""MI-001-LARGE"";""Chicken Teriyaki Bowl - Large"";""Large"";""2"";""17.9"";""0"";""35.8"";""35.8"";"""";""true"""
"SALE-20260510-L-MI-002-SMALL-1;""REST001"";""2026-05-10"";""Lunch"";""Dine-in"";""MI-002"";""MI-002-SMALL"";""Tofu Teriyaki Bowl - Small"";""Small"";""4"";""14.9"";""0"";""59.6"";""59.6"";"""";""true"""
"SALE-20260510-L-MI-002-SMALL-2;""REST001"";""2026-05-10"";""Lunch"";""Takeaway"";""MI-002"";""MI-002-SMALL"";""Tofu Teriyaki Bowl - Small"";""Small"";""1"";""14.9"";""0"";""14.9"";""14.9"";"""";""true"""
"SALE-20260510-L-MI-002-SMALL-3;""REST001"";""2026-05-10"";""Lunch"";""Delivery"";""MI-002"";""MI-002-SMALL"";""Tofu Teriyaki Bowl - Small"";""Small"";""2"";""14.9"";""0"";""29.8"";""29.8"";"""";""true"""
"SALE-20260510-L-MI-002-LARGE-1;""REST001"";""2026-05-10"";""Lunch"";""Dine-in"";""MI-002"";""MI-002-LARGE"";""Tofu Teriyaki Bowl - Large"";""Large"";""4"";""17.9"";""0"";""71.6"";""71.6"";"""";""true"""
"SALE-20260510-L-MI-002-LARGE-2;""REST001"";""2026-05-10"";""Lunch"";""Takeaway"";""MI-002"";""MI-002-LARGE"";""Tofu Teriyaki Bowl - Large"";""Large"";""1"";""17.9"";""0"";""17.9"";""17.9"";"""";""true"""
"SALE-20260510-L-MI-002-LARGE-3;""REST001"";""2026-05-10"";""Lunch"";""Delivery"";""MI-002"";""MI-002-LARGE"";""Tofu Teriyaki Bowl - Large"";""Large"";""2"";""17.9"";""0"";""35.8"";""35.8"";"""";""true"""
"SALE-20260510-L-MI-003-SMALL-1;""REST001"";""2026-05-10"";""Lunch"";""Dine-in"";""MI-003"";""MI-003-SMALL"";""Miso Eggplant Bowl - Small"";""Small"";""4"";""15.9"";""0"";""63.6"";""63.6"";"""";""true"""
"SALE-20260510-L-MI-003-SMALL-2;""REST001"";""2026-05-10"";""Lunch"";""Takeaway"";""MI-003"";""MI-003-SMALL"";""Miso Eggplant Bowl - Small"";""Small"";""1"";""15.9"";""0"";""15.9"";""15.9"";"""";""true"""
"SALE-20260510-L-MI-003-SMALL-3;""REST001"";""2026-05-10"";""Lunch"";""Delivery"";""MI-003"";""MI-003-SMALL"";""Miso Eggplant Bowl - Small"";""Small"";""2"";""15.9"";""0"";""31.8"";""31.8"";"""";""true"""
"SALE-20260510-L-MI-003-LARGE-1;""REST001"";""2026-05-10"";""Lunch"";""Dine-in"";""MI-003"";""MI-003-LARGE"";""Miso Eggplant Bowl - Large"";""Large"";""3"";""18.9"";""0"";""56.7"";""56.7"";"""";""true"""
