"ingredient_id;""ingredient_name"";""ingredient_group_code"";""source_unit"";""storage_type"";""unit_cost_aud"";""inventory_tracked"";""recipe_line_count"";""menu_variant_count"";""active_menu_variant_count"";""operational_data_status"";""inventory_setup_note"";""source_file"""
"BASE-001;""Cooked jasmine rice"";""BASE"";""g"";""fridge"";""0.00416"";""true"";""41"";""41"";""41"";""Synthetic operational assumption"";""Track stock and supplier quantities in g"";""Recipe and menu data_1_1(1).xlsx"""
"BASE-002;""Cooked brown rice"";""BASE"";""g"";""fridge"";""0.00432"";""true"";""2"";""2"";""2"";""Synthetic operational assumption"";""Track stock and supplier quantities in g"";""Recipe and menu data_1_1(1).xlsx"""
"BASE-003;""Turmeric coconut rice"";""BASE"";""g"";""fridge"";""0.0038"";""true"";""6"";""6"";""4"";""Synthetic operational assumption"";""Track stock and supplier quantities in g"";""Recipe and menu data_1_1(1).xlsx"""
"DRNK-001;""Coconut water 330ml"";""DRNK"";""ea"";""fridge"";""1.552"";""true"";""1"";""1"";""1"";""Synthetic operational assumption"";""Track stock and supplier quantities in ea"";""Recipe and menu data_1_1(1).xlsx"""
"DRNK-002;""Cold pressed juice - Watermelon Lime 300ml"";""DRNK"";""ea"";""fridge"";""1.616"";""true"";""1"";""1"";""1"";""Synthetic operational assumption"";""Track stock and supplier quantities in ea"";""Recipe and menu data_1_1(1).xlsx"""
"DRNK-003;""Cold pressed juice - Classic OJ 300ml"";""DRNK"";""ea"";""fridge"";""1.68"";""true"";""1"";""1"";""1"";""Synthetic operational assumption"";""Track stock and supplier quantities in ea"";""Recipe and menu data_1_1(1).xlsx"""
"DRNK-004;""Cold pressed juice - Pineapple Mint 300ml"";""DRNK"";""ea"";""fridge"";""1.504"";""true"";""1"";""1"";""1"";""Synthetic operational assumption"";""Track stock and supplier quantities in ea"";""Recipe and menu data_1_1(1).xlsx"""
"DRNK-005;""Dash sparkling water - Lime 330ml"";""DRNK"";""ea"";""fridge"";""1.568"";""true"";""1"";""1"";""1"";""Synthetic operational assumption"";""Track stock and supplier quantities in ea"";""Recipe and menu data_1_1(1).xlsx"""
"DRNK-006;""Dash sparkling water - Raspberry 330ml"";""DRNK"";""ea"";""fridge"";""1.632"";""true"";""1"";""1"";""1"";""Synthetic operational assumption"";""Track stock and supplier quantities in ea"";""Recipe and menu data_1_1(1).xlsx"""
"DRNK-007;""Dash sparkling water - Peach 330ml"";""DRNK"";""ea"";""fridge"";""1.696"";""true"";""1"";""1"";""1"";""Synthetic operational assumption"";""Track stock and supplier quantities in ea"";""Recipe and menu data_1_1(1).xlsx"""
"DRNK-008;""Kombucha - Ginger Lemon 330ml"";""DRNK"";""ea"";""fridge"";""1.52"";""true"";""1"";""1"";""1"";""Synthetic operational assumption"";""Track stock and supplier quantities in ea"";""Recipe and menu data_1_1(1).xlsx"""
"DRNK-009;""Kombucha - Lemon Lime Mint 330ml"";""DRNK"";""ea"";""fridge"";""1.584"";""true"";""1"";""1"";""1"";""Synthetic operational assumption"";""Track stock and supplier quantities in ea"";""Recipe and menu data_1_1(1).xlsx"""
"DRNK-010;""Kombucha - Peach 330ml"";""DRNK"";""ea"";""fridge"";""1.472"";""true"";""1"";""1"";""1"";""Synthetic operational assumption"";""Track stock and supplier quantities in ea"";""Recipe and menu data_1_1(1).xlsx"""
"DRNK-011;""Kombucha - Raspberry Lemonade 330ml"";""DRNK"";""ea"";""fridge"";""1.68"";""true"";""1"";""1"";""1"";""Synthetic operational assumption"";""Track stock and supplier quantities in ea"";""Recipe and menu data_1_1(1).xlsx"""
