"batch_id;""restaurant_id"";""ingredient_id"";""ingredient_name"";""received_date"";""expiry_date"";""days_until_expiry"";""shelf_life_days"";""quantity_remaining"";""unit"";""unit_cost_aud"";""batch_value_aud"";""storage_type"";""storage_location"";""stock_rotation_priority"";""is_synthetic"""
"LOT-BASE-001-1;""REST001"";""BASE-001"";""Cooked jasmine rice"";""2026-07-30"";""2026-08-03"";""1"";""4"";""417749"";""g"";""0.00416"";""1737.84"";""fridge"";""Walk-in fridge"";""Use first"";""true"""
"LOT-BASE-001-2;""REST001"";""BASE-001"";""Cooked jasmine rice"";""2026-08-02"";""2026-08-06"";""4"";""4"";""278500"";""g"";""0.00416"";""1158.56"";""fridge"";""Walk-in fridge"";""Use soon"";""true"""
"LOT-BASE-002-1;""REST001"";""BASE-002"";""Cooked brown rice"";""2026-07-30"";""2026-08-03"";""1"";""4"";""18673"";""g"";""0.00432"";""80.67"";""fridge"";""Walk-in fridge"";""Use first"";""true"""
"LOT-BASE-002-2;""REST001"";""BASE-002"";""Cooked brown rice"";""2026-08-02"";""2026-08-06"";""4"";""4"";""12449"";""g"";""0.00432"";""53.78"";""fridge"";""Walk-in fridge"";""Use soon"";""true"""
"LOT-BASE-003-1;""REST001"";""BASE-003"";""Turmeric coconut rice"";""2026-07-30"";""2026-08-03"";""1"";""4"";""41879"";""g"";""0.0038"";""159.14"";""fridge"";""Walk-in fridge"";""Use first"";""true"""
"LOT-BASE-003-2;""REST001"";""BASE-003"";""Turmeric coconut rice"";""2026-08-02"";""2026-08-06"";""4"";""4"";""27919"";""g"";""0.0038"";""106.09"";""fridge"";""Walk-in fridge"";""Use soon"";""true"""
"LOT-DRNK-001-1;""REST001"";""DRNK-001"";""Coconut water 330ml"";""2026-07-03"";""2026-10-31"";""90"";""120"";""122"";""ea"";""1.552"";""189.34"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-DRNK-002-1;""REST001"";""DRNK-002"";""Cold pressed juice - Watermelon Lime 300ml"";""2026-07-03"";""2026-10-31"";""90"";""120"";""113"";""ea"";""1.616"";""182.61"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-DRNK-003-1;""REST001"";""DRNK-003"";""Cold pressed juice - Classic OJ 300ml"";""2026-07-03"";""2026-10-31"";""90"";""120"";""114"";""ea"";""1.68"";""191.52"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-DRNK-004-1;""REST001"";""DRNK-004"";""Cold pressed juice - Pineapple Mint 300ml"";""2026-07-03"";""2026-10-31"";""90"";""120"";""113"";""ea"";""1.504"";""169.95"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-DRNK-005-1;""REST001"";""DRNK-005"";""Dash sparkling water - Lime 330ml"";""2026-07-03"";""2026-10-31"";""90"";""120"";""125"";""ea"";""1.568"";""196"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-DRNK-006-1;""REST001"";""DRNK-006"";""Dash sparkling water - Raspberry 330ml"";""2026-07-03"";""2026-10-31"";""90"";""120"";""124"";""ea"";""1.632"";""202.37"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-DRNK-007-1;""REST001"";""DRNK-007"";""Dash sparkling water - Peach 330ml"";""2026-07-03"";""2026-10-31"";""90"";""120"";""124"";""ea"";""1.696"";""210.3"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-DRNK-008-1;""REST001"";""DRNK-008"";""Kombucha - Ginger Lemon 330ml"";""2026-07-03"";""2026-10-31"";""90"";""120"";""124"";""ea"";""1.52"";""188.48"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-DRNK-009-1;""REST001"";""DRNK-009"";""Kombucha - Lemon Lime Mint 330ml"";""2026-07-03"";""2026-10-31"";""90"";""120"";""123"";""ea"";""1.584"";""194.83"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-DRNK-010-1;""REST001"";""DRNK-010"";""Kombucha - Peach 330ml"";""2026-07-03"";""2026-10-31"";""90"";""120"";""125"";""ea"";""1.472"";""184"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-DRNK-011-1;""REST001"";""DRNK-011"";""Kombucha - Raspberry Lemonade 330ml"";""2026-07-03"";""2026-10-31"";""90"";""120"";""124"";""ea"";""1.68"";""208.32"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-DRNK-012-1;""REST001"";""DRNK-012"";""Sodaly - Passionfruit 330ml"";""2026-07-03"";""2026-10-31"";""90"";""120"";""126"";""ea"";""1.616"";""203.62"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-DRNK-013-1;""REST001"";""DRNK-013"";""Sodaly - Guava 330ml"";""2026-07-03"";""2026-10-31"";""90"";""120"";""125"";""ea"";""1.552"";""194"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-DRNK-014-1;""REST001"";""DRNK-014"";""Sodaly - Raspberry 330ml"";""2026-07-03"";""2026-10-31"";""90"";""120"";""127"";""ea"";""1.488"";""188.98"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-DRNK-015-1;""REST001"";""DRNK-015"";""Sparkling water 500ml"";""2026-07-03"";""2026-10-31"";""90"";""120"";""190"";""ea"";""1.696"";""322.24"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-DRNK-016-1;""REST001"";""DRNK-016"";""Specialty soda - Gingerella 330ml"";""2026-07-03"";""2026-10-31"";""90"";""120"";""123"";""ea"";""1.632"";""200.74"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-DRNK-017-1;""REST001"";""DRNK-017"";""Specialty soda - Karma Cola 330ml"";""2026-07-03"";""2026-10-31"";""90"";""120"";""125"";""ea"";""1.568"";""196"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-DRNK-018-1;""REST001"";""DRNK-018"";""Specialty soda - Lemmy 330ml"";""2026-07-03"";""2026-10-31"";""90"";""120"";""123"";""ea"";""1.504"";""184.99"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-DRNK-019-1;""REST001"";""DRNK-019"";""Still water 600ml"";""2026-07-03"";""2026-10-31"";""90"";""120"";""226"";""ea"";""1.712"";""386.91"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-GARN-001-1;""REST001"";""GARN-001"";""Edamame"";""2026-07-24"";""2026-08-03"";""1"";""10"";""257.419"";""cup"";""1.485"";""382.27"";""fridge"";""Walk-in fridge"";""Use first"";""true"""
"LOT-GARN-001-2;""REST001"";""GARN-001"";""Edamame"";""2026-08-01"";""2026-08-11"";""9"";""10"";""171.613"";""cup"";""1.485"";""254.85"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-GARN-002-1;""REST001"";""GARN-002"";""Pickled ginger"";""2026-07-24"";""2026-08-03"";""1"";""10"";""9048"";""g"";""0.01045"";""94.55"";""fridge"";""Walk-in fridge"";""Use first"";""true"""
"LOT-GARN-002-2;""REST001"";""GARN-002"";""Pickled ginger"";""2026-08-01"";""2026-08-11"";""9"";""10"";""6032"";""g"";""0.01045"";""63.03"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-GARN-003-1;""REST001"";""GARN-003"";""Crispy shallots"";""2026-06-18"";""2026-12-15"";""135"";""180"";""3401"";""spoon"";""0.1296"";""440.77"";""dry"";""Dry store"";""Normal"";""true"""
"LOT-GARN-004-1;""REST001"";""GARN-004"";""Nori strips"";""2026-06-18"";""2026-12-15"";""135"";""180"";""8109"";""g"";""0.01122"";""90.98"";""dry"";""Dry store"";""Normal"";""true"""
"LOT-GARN-005-1;""REST001"";""GARN-005"";""Nori sheet"";""2026-06-18"";""2026-12-15"";""135"";""180"";""714"";""ea"";""0.784"";""559.78"";""dry"";""Dry store"";""Normal"";""true"""
"LOT-GARN-006-1;""REST001"";""GARN-006"";""63-degree egg"";""2026-07-24"";""2026-08-03"";""1"";""10"";""116"";""ea"";""0.611"";""70.88"";""fridge"";""Walk-in fridge"";""Use first"";""true"""
"LOT-GARN-006-2;""REST001"";""GARN-006"";""63-degree egg"";""2026-08-01"";""2026-08-11"";""9"";""10"";""77"";""ea"";""0.611"";""47.05"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-GARN-007-1;""REST001"";""GARN-007"";""Half-boiled egg"";""2026-07-24"";""2026-08-03"";""1"";""10"";""203"";""ea"";""0.6955"";""141.19"";""fridge"";""Walk-in fridge"";""Use first"";""true"""
"LOT-GARN-007-2;""REST001"";""GARN-007"";""Half-boiled egg"";""2026-08-01"";""2026-08-11"";""9"";""10"";""136"";""ea"";""0.6955"";""94.59"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-GARN-008-1;""REST001"";""GARN-008"";""Tamagoyaki"";""2026-07-24"";""2026-08-03"";""1"";""10"";""218"";""ea"";""0.84"";""183.12"";""fridge"";""Walk-in fridge"";""Use first"";""true"""
"LOT-GARN-008-2;""REST001"";""GARN-008"";""Tamagoyaki"";""2026-08-01"";""2026-08-11"";""9"";""10"";""146"";""ea"";""0.84"";""122.64"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-GARN-009-1;""REST001"";""GARN-009"";""Lemon wedge"";""2026-07-24"";""2026-08-03"";""1"";""10"";""212"";""ea"";""0.808"";""171.3"";""fridge"";""Walk-in fridge"";""Use first"";""true"""
"LOT-GARN-009-2;""REST001"";""GARN-009"";""Lemon wedge"";""2026-08-01"";""2026-08-11"";""9"";""10"";""141"";""ea"";""0.808"";""113.93"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-GARN-010-1;""REST001"";""GARN-010"";""Avocado"";""2026-07-24"";""2026-08-03"";""1"";""10"";""11943"";""g"";""0.01177"";""140.57"";""fridge"";""Walk-in fridge"";""Use first"";""true"""
"LOT-GARN-010-2;""REST001"";""GARN-010"";""Avocado"";""2026-08-01"";""2026-08-11"";""9"";""10"";""7962"";""g"";""0.01177"";""93.71"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-GARN-011-1;""REST001"";""GARN-011"";""Pineapple"";""2026-07-24"";""2026-08-03"";""1"";""10"";""4202"";""g"";""0.01034"";""43.45"";""fridge"";""Walk-in fridge"";""Use first"";""true"""
"LOT-GARN-011-2;""REST001"";""GARN-011"";""Pineapple"";""2026-08-01"";""2026-08-11"";""9"";""10"";""2802"";""g"";""0.01034"";""28.97"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-GARN-012-1;""REST001"";""GARN-012"";""Cucumber slice"";""2026-07-24"";""2026-08-03"";""1"";""10"";""607"";""slice"";""0.098"";""59.49"";""fridge"";""Walk-in fridge"";""Use first"";""true"""
"LOT-GARN-012-2;""REST001"";""GARN-012"";""Cucumber slice"";""2026-08-01"";""2026-08-11"";""9"";""10"";""405"";""slice"";""0.098"";""39.69"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-GARN-013-1;""REST001"";""GARN-013"";""Crushed walnuts"";""2026-06-18"";""2026-12-15"";""135"";""180"";""4119"";""ea"";""0.816"";""3361.1"";""dry"";""Dry store"";""Normal"";""true"""
"LOT-GARN-014-1;""REST001"";""GARN-014"";""Assorted topping (kimchi / corn / edamame / nori)"";""2026-06-18"";""2026-12-15"";""135"";""180"";""2322.317"";""cup"";""1.59"";""3692.48"";""dry"";""Dry store"";""Normal"";""true"""
"LOT-LEAF-001-1;""REST001"";""LEAF-001"";""Mixed leaf salad"";""2026-07-28"";""2026-08-03"";""1"";""6"";""87617"";""g"";""0.01224"";""1072.43"";""fridge"";""Walk-in fridge"";""Use first"";""true"""
"LOT-LEAF-001-2;""REST001"";""LEAF-001"";""Mixed leaf salad"";""2026-08-01"";""2026-08-07"";""5"";""6"";""58412"";""g"";""0.01224"";""714.96"";""fridge"";""Walk-in fridge"";""Use soon"";""true"""
"LOT-LEAF-002-1;""REST001"";""LEAF-002"";""Baby spinach"";""2026-07-28"";""2026-08-03"";""1"";""6"";""3467"";""g"";""0.01176"";""40.77"";""fridge"";""Walk-in fridge"";""Use first"";""true"""
"LOT-LEAF-002-2;""REST001"";""LEAF-002"";""Baby spinach"";""2026-08-01"";""2026-08-07"";""5"";""6"";""2312"";""g"";""0.01176"";""27.19"";""fridge"";""Walk-in fridge"";""Use soon"";""true"""
"LOT-LEAF-003-1;""REST001"";""LEAF-003"";""Kale"";""2026-07-28"";""2026-08-03"";""1"";""6"";""3559"";""g"";""0.01128"";""40.15"";""fridge"";""Walk-in fridge"";""Use first"";""true"""
"LOT-LEAF-003-2;""REST001"";""LEAF-003"";""Kale"";""2026-08-01"";""2026-08-07"";""5"";""6"";""2372"";""g"";""0.01128"";""26.76"";""fridge"";""Walk-in fridge"";""Use soon"";""true"""
"LOT-LEAF-004-1;""REST001"";""LEAF-004"";""Classic slaw"";""2026-07-28"";""2026-08-03"";""1"";""6"";""13657"";""g"";""0.01284"";""175.36"";""fridge"";""Walk-in fridge"";""Use first"";""true"""
"LOT-LEAF-004-2;""REST001"";""LEAF-004"";""Classic slaw"";""2026-08-01"";""2026-08-07"";""5"";""6"";""9105"";""g"";""0.01284"";""116.91"";""fridge"";""Walk-in fridge"";""Use soon"";""true"""
