"source_row_number;""menu_item_id"";""menu_item_name_source"";""menu_item_name_clean"";""category"";""sale_price_aud_small"";""sale_price_aud_large"";""estimated_food_cost_aud_small"";""estimated_food_cost_aud_large"";""active"";""menu_tag_codes"";""tag_gf"";""tag_v"";""tag_vg"";""tag_a"";""tag_i"";""base_lunch_portions"";""base_dinner_portions"";""source_file"""
"2;""MI-001"";""Chicken Teriyaki Bowl (GF)"";""Chicken Teriyaki Bowl"";""Signature Bowls"";""14.9"";""17.9"";""3.57"";""4.86"";""true"";""GF"";""true"";""false"";""false"";""false"";""false"";""356"";""506"";""Recipe and menu data_1_1(1).xlsx"""
"3;""MI-002"";""Tofu Teriyaki Bowl (GF)(V)(VG)"";""Tofu Teriyaki Bowl"";""Signature Bowls"";""14.9"";""17.9"";""3.25"";""4.39"";""true"";""GF|V|VG"";""true"";""true"";""true"";""false"";""false"";""331"";""481"";""Recipe and menu data_1_1(1).xlsx"""
"4;""MI-003"";""Miso Eggplant Bowl (GF)(V)(VG)"";""Miso Eggplant Bowl"";""Signature Bowls"";""15.9"";""18.9"";""3.25"";""4.42"";""true"";""GF|V|VG"";""true"";""true"";""true"";""false"";""false"";""346"";""491"";""Recipe and menu data_1_1(1).xlsx"""
"5;""MI-004"";""Miso Falalalafel (GF)(V)"";""Miso Falalalafel"";""Signature Bowls"";""15.9"";""18.9"";""4.76"";""6.38"";""true"";""GF|V"";""true"";""true"";""false"";""false"";""false"";""419"";""594"";""Recipe and menu data_1_1(1).xlsx"""
"6;""MI-005"";""Sashimi Bowl (A)"";""Sashimi Bowl"";""Signature Bowls"";""17.9"";""20.9"";""5.5"";""7.48"";""true"";""A"";""false"";""false"";""false"";""true"";""false"";""373"";""518"";""Recipe and menu data_1_1(1).xlsx"""
"7;""MI-006"";""Poke Bowl (A)"";""Poke Bowl"";""Signature Bowls"";""16.9"";""19.9"";""5.72"";""7.73"";""true"";""A"";""false"";""false"";""false"";""true"";""false"";""331"";""481"";""Recipe and menu data_1_1(1).xlsx"""
"8;""MI-007"";""Wagyu Beef Bowl (GF)"";""Wagyu Beef Bowl"";""Signature Bowls"";""17.9"";""20.9"";""5.5"";""7.22"";""true"";""GF"";""true"";""false"";""false"";""false"";""false"";""376"";""516"";""Recipe and menu data_1_1(1).xlsx"""
"9;""MI-008"";""Karaage Chicken Bowl (GF)"";""Karaage Chicken Bowl"";""Signature Bowls"";""16.9"";""19.9"";""3.91"";""5.32"";""true"";""GF"";""true"";""false"";""false"";""false"";""false"";""349"";""494"";""Recipe and menu data_1_1(1).xlsx"""
"10;""MI-009"";""Power Meal (A)"";""Power Meal"";""Signature Bowls"";""18.9"";""21.9"";""6.31"";""8.6"";""true"";""A"";""false"";""false"";""false"";""true"";""false"";""421"";""561"";""Recipe and menu data_1_1(1).xlsx"""
"11;""MI-010"";""Salmon Yuzu Bowl (A)"";""Salmon Yuzu Bowl"";""Signature Bowls"";""17.9"";""20.9"";""5.98"";""7.94"";""true"";""A"";""false"";""false"";""false"";""true"";""false"";""374"";""524"";""Recipe and menu data_1_1(1).xlsx"""
