"promotion_id;""promotion_date"";""service_period"";""menu_item_id"";""menu_variant_id"";""menu_variant_name"";""targeted_ingredient_id"";""targeted_ingredient_name"";""discount_pct"";""baseline_portions"";""actual_portions_sold"";""uplift_pct"";""at_risk_quantity"";""unit"";""estimated_waste_avoided_quantity"";""is_synthetic"""
"PROMO-0001;""2026-05-14"";""Dinner"";""MI-035"";""MI-035-STANDARD"";""Cold Pressed Juice - Classic OJ"";""DRNK-003"";""Cold pressed juice - Classic OJ 300ml"";""10"";""10.435"";""12"";""15"";""4.8"";""ea"";""3.12"";""true"""
"PROMO-0002;""2026-05-14"";""Dinner"";""MI-042"";""MI-042-STANDARD"";""Kombucha - Peach"";""DRNK-010"";""Kombucha - Peach 330ml"";""10"";""12.174"";""14"";""15"";""4.8"";""ea"";""3.12"";""true"""
"PROMO-0003;""2026-05-14"";""Dinner"";""MI-049"";""MI-049-STANDARD"";""Specialty Soda - Karma Cola"";""DRNK-017"";""Specialty soda - Karma Cola 330ml"";""10"";""12.174"";""14"";""15"";""4.8"";""ea"";""3.12"";""true"""
"PROMO-0004;""2026-05-28"";""Dinner"";""MI-033"";""MI-033-STANDARD"";""Coconut Water"";""DRNK-001"";""Coconut water 330ml"";""10"";""11.304"";""13"";""15"";""4.8"";""ea"";""3.12"";""true"""
"PROMO-0005;""2026-05-28"";""Dinner"";""MI-040"";""MI-040-STANDARD"";""Kombucha - Ginger Lemon"";""DRNK-008"";""Kombucha - Ginger Lemon 330ml"";""10"";""11.304"";""13"";""15"";""4.8"";""ea"";""3.12"";""true"""
"PROMO-0006;""2026-05-28"";""Dinner"";""MI-047"";""MI-047-STANDARD"";""Sparkling Water"";""DRNK-015"";""Sparkling water 500ml"";""10"";""19.13"";""22"";""15"";""4.8"";""ea"";""3.12"";""true"""
"PROMO-0007;""2026-06-11"";""Dinner"";""MI-031"";""MI-031-STANDARD"";""Raw Balls - Apricot Delight"";""SNCK-005"";""Raw ball - Apricot Delight"";""10"";""1.739"";""2"";""15.01"";""2.4"";""ea"";""1.56"";""true"""
"PROMO-0008;""2026-06-11"";""Dinner"";""MI-038"";""MI-038-STANDARD"";""Dash Sparkling Water - Raspberry"";""DRNK-006"";""Dash sparkling water - Raspberry 330ml"";""10"";""11.304"";""13"";""15"";""4.8"";""ea"";""3.12"";""true"""
"PROMO-0009;""2026-06-11"";""Dinner"";""MI-045"";""MI-045-STANDARD"";""Sodaly - Guava"";""DRNK-013"";""Sodaly - Guava 330ml"";""10"";""13.043"";""15"";""15"";""4.8"";""ea"";""3.12"";""true"""
"PROMO-0010;""2026-06-25"";""Dinner"";""MI-029"";""MI-029-STANDARD"";""Raw Balls - Coconut Cacao"";""SNCK-003"";""Raw ball - Coconut Cacao"";""10"";""1"";""1"";""0"";""2.4"";""ea"";""1.56"";""true"""
"PROMO-0011;""2026-06-25"";""Dinner"";""MI-036"";""MI-036-STANDARD"";""Cold Pressed Juice - Pineapple Mint"";""DRNK-004"";""Cold pressed juice - Pineapple Mint 300ml"";""10"";""10.435"";""12"";""15"";""4.8"";""ea"";""3.12"";""true"""
"PROMO-0012;""2026-06-25"";""Dinner"";""MI-043"";""MI-043-STANDARD"";""Kombucha - Raspberry Lemonade"";""DRNK-011"";""Kombucha - Raspberry Lemonade 330ml"";""10"";""10.435"";""12"";""15"";""4.8"";""ea"";""3.12"";""true"""
"PROMO-0013;""2026-07-09"";""Dinner"";""MI-027"";""MI-027-STANDARD"";""Raw Balls - Peanut Butter"";""SNCK-001"";""Raw ball - Peanut Butter"";""10"";""1.739"";""2"";""15.01"";""2.4"";""ea"";""1.56"";""true"""
"PROMO-0014;""2026-07-09"";""Dinner"";""MI-034"";""MI-034-STANDARD"";""Cold Pressed Juice - Watermelon Lime"";""DRNK-002"";""Cold pressed juice - Watermelon Lime 300ml"";""10"";""12.174"";""14"";""15"";""4.8"";""ea"";""3.12"";""true"""
"PROMO-0015;""2026-07-09"";""Dinner"";""MI-041"";""MI-041-STANDARD"";""Kombucha - Lemon Lime Mint"";""DRNK-009"";""Kombucha - Lemon Lime Mint 330ml"";""10"";""13.043"";""15"";""15"";""4.8"";""ea"";""3.12"";""true"""
"PROMO-0016;""2026-07-23"";""Dinner"";""MI-013"";""MI-013-STANDARD"";""Tofu Bento"";""BASE-001"";""Cooked jasmine rice"";""10"";""13.913"";""16"";""15"";""200"";""g"";""130"";""true"""
"PROMO-0017;""2026-07-23"";""Dinner"";""MI-032"";""MI-032-STANDARD"";""myDeal - $5 Crispy Chicken Bites"";""PROT-003"";""Karaage chicken"";""10"";""2.609"";""3"";""14.99"";""400"";""g"";""260"";""true"""
"PROMO-0018;""2026-07-23"";""Dinner"";""MI-039"";""MI-039-STANDARD"";""Dash Sparkling Water - Peach"";""DRNK-007"";""Dash sparkling water - Peach 330ml"";""10"";""11.304"";""13"";""15"";""4.8"";""ea"";""3.12"";""true"""
