"date;""service_period"";""record_type"";""bookings_count"";""reserved_covers"";""cancellation_rate_pct"";""cancelled_covers"";""confirmed_covers"";""walk_in_covers_actual"";""data_snapshot_date"";""is_synthetic"""
"2026-05-10;""Lunch"";""actual"";""19"";""46"";""8"";""4"";""42"";""9"";""2026-08-01"";""true"""
"2026-05-10;""Dinner"";""actual"";""34"";""82"";""8"";""7"";""75"";""17"";""2026-08-01"";""true"""
"2026-05-11;""Lunch"";""actual"";""10"";""24"";""8"";""2"";""22"";""5"";""2026-08-01"";""true"""
"2026-05-11;""Dinner"";""actual"";""13"";""30"";""8"";""2"";""28"";""6"";""2026-08-01"";""true"""
"2026-05-12;""Lunch"";""actual"";""10"";""25"";""8"";""2"";""23"";""5"";""2026-08-01"";""true"""
"2026-05-12;""Dinner"";""actual"";""15"";""35"";""8"";""3"";""32"";""7"";""2026-08-01"";""true"""
"2026-05-13;""Lunch"";""actual"";""13"";""32"";""8"";""3"";""29"";""6"";""2026-08-01"";""true"""
"2026-05-13;""Dinner"";""actual"";""18"";""42"";""8"";""3"";""39"";""9"";""2026-08-01"";""true"""
"2026-05-14;""Lunch"";""actual"";""14"";""34"";""8"";""3"";""31"";""7"";""2026-08-01"";""true"""
"2026-05-14;""Dinner"";""actual"";""21"";""51"";""8"";""4"";""47"";""10"";""2026-08-01"";""true"""
"2026-05-15;""Lunch"";""actual"";""15"";""37"";""8"";""3"";""34"";""7"";""2026-08-01"";""true"""
"2026-05-15;""Dinner"";""actual"";""31"";""74"";""8"";""6"";""68"";""15"";""2026-08-01"";""true"""
"2026-05-16;""Lunch"";""actual"";""20"";""49"";""8"";""4"";""45"";""10"";""2026-08-01"";""true"""
"2026-05-16;""Dinner"";""actual"";""27"";""65"";""8"";""5"";""60"";""13"";""2026-08-01"";""true"""
"2026-05-17;""Lunch"";""actual"";""15"";""35"";""8"";""3"";""32"";""7"";""2026-08-01"";""true"""
"2026-05-17;""Dinner"";""actual"";""18"";""43"";""8"";""3"";""40"";""9"";""2026-08-01"";""true"""
"2026-05-18;""Lunch"";""actual"";""8"";""20"";""8"";""2"";""18"";""4"";""2026-08-01"";""true"""
"2026-05-18;""Dinner"";""actual"";""14"";""34"";""8"";""3"";""31"";""7"";""2026-08-01"";""true"""
"2026-05-19;""Lunch"";""actual"";""13"";""30"";""8"";""2"";""28"";""6"";""2026-08-01"";""true"""
"2026-05-19;""Dinner"";""actual"";""17"";""41"";""8"";""3"";""38"";""8"";""2026-08-01"";""true"""
"2026-05-20;""Lunch"";""actual"";""13"";""32"";""8"";""3"";""29"";""6"";""2026-08-01"";""true"""
"2026-05-20;""Dinner"";""actual"";""18"";""42"";""8"";""3"";""39"";""9"";""2026-08-01"";""true"""
"2026-05-21;""Lunch"";""actual"";""12"";""28"";""8"";""2"";""26"";""6"";""2026-08-01"";""true"""
"2026-05-21;""Dinner"";""actual"";""22"";""52"";""8"";""4"";""48"";""11"";""2026-08-01"";""true"""
"2026-05-22;""Lunch"";""actual"";""17"";""41"";""8"";""3"";""38"";""8"";""2026-08-01"";""true"""
"2026-05-22;""Dinner"";""actual"";""22"";""52"";""8"";""4"";""48"";""11"";""2026-08-01"";""true"""
"2026-05-23;""Lunch"";""actual"";""16"";""39"";""8"";""3"";""36"";""8"";""2026-08-01"";""true"""
"2026-05-23;""Dinner"";""actual"";""23"";""54"";""8"";""4"";""50"";""11"";""2026-08-01"";""true"""
"2026-05-24;""Lunch"";""actual"";""17"";""40"";""8"";""3"";""37"";""8"";""2026-08-01"";""true"""
"2026-05-24;""Dinner"";""actual"";""22"";""53"";""8"";""4"";""49"";""11"";""2026-08-01"";""true"""
"2026-05-25;""Lunch"";""actual"";""10"";""24"";""8"";""2"";""22"";""5"";""2026-08-01"";""true"""
"2026-05-25;""Dinner"";""actual"";""17"";""41"";""8"";""3"";""38"";""8"";""2026-08-01"";""true"""
"2026-05-26;""Lunch"";""actual"";""13"";""32"";""8"";""3"";""29"";""6"";""2026-08-01"";""true"""
"2026-05-26;""Dinner"";""actual"";""18"";""42"";""8"";""3"";""39"";""9"";""2026-08-01"";""true"""
"2026-05-27;""Lunch"";""actual"";""11"";""27"";""8"";""2"";""25"";""6"";""2026-08-01"";""true"""
"2026-05-27;""Dinner"";""actual"";""18"";""42"";""8"";""3"";""39"";""9"";""2026-08-01"";""true"""
"2026-05-28;""Lunch"";""actual"";""10"";""25"";""8"";""2"";""23"";""5"";""2026-08-01"";""true"""
"2026-05-28;""Dinner"";""actual"";""17"";""40"";""8"";""3"";""37"";""8"";""2026-08-01"";""true"""
"2026-05-29;""Lunch"";""actual"";""17"";""41"";""8"";""3"";""38"";""8"";""2026-08-01"";""true"""
"2026-05-29;""Dinner"";""actual"";""26"";""62"";""8"";""5"";""57"";""13"";""2026-08-01"";""true"""
"2026-05-30;""Lunch"";""actual"";""18"";""43"";""8"";""3"";""40"";""9"";""2026-08-01"";""true"""
"2026-05-30;""Dinner"";""actual"";""25"";""61"";""8"";""5"";""56"";""12"";""2026-08-01"";""true"""
"2026-05-31;""Lunch"";""actual"";""16"";""39"";""8"";""3"";""36"";""8"";""2026-08-01"";""true"""
"2026-05-31;""Dinner"";""actual"";""24"";""57"";""8"";""5"";""52"";""11"";""2026-08-01"";""true"""
"2026-06-01;""Lunch"";""actual"";""9"";""21"";""8"";""2"";""19"";""4"";""2026-08-01"";""true"""
"2026-06-01;""Dinner"";""actual"";""15"";""36"";""8"";""3"";""33"";""7"";""2026-08-01"";""true"""
"2026-06-02;""Lunch"";""actual"";""11"";""27"";""8"";""2"";""25"";""6"";""2026-08-01"";""true"""
"2026-06-02;""Dinner"";""actual"";""15"";""36"";""8"";""3"";""33"";""7"";""2026-08-01"";""true"""
"2026-06-03;""Lunch"";""actual"";""10"";""24"";""8"";""2"";""22"";""5"";""2026-08-01"";""true"""
"2026-06-03;""Dinner"";""actual"";""18"";""42"";""8"";""3"";""39"";""9"";""2026-08-01"";""true"""
"2026-06-04;""Lunch"";""actual"";""11"";""26"";""8"";""2"";""24"";""5"";""2026-08-01"";""true"""
"2026-06-04;""Dinner"";""actual"";""20"";""47"";""8"";""4"";""43"";""9"";""2026-08-01"";""true"""
"2026-06-05;""Lunch"";""actual"";""15"";""35"";""8"";""3"";""32"";""7"";""2026-08-01"";""true"""
"2026-06-05;""Dinner"";""actual"";""24"";""57"";""8"";""5"";""52"";""11"";""2026-08-01"";""true"""
