"supplier_offer_id;""supplier_id"";""supplier_name"";""ingredient_id"";""ingredient_name"";""is_primary_supplier"";""pack_size"";""unit"";""minimum_order_packs"";""minimum_order_quantity"";""unit_cost_aud"";""pack_cost_aud"";""delivery_fee_aud"";""free_delivery_threshold_aud"";""lead_time_days"";""delivery_days"";""order_cutoff_time"";""reliability_score_pct"";""is_synthetic"""
"SUP-PRODUCE-BASE-001;""SUP-PRODUCE"";""Fresh Produce Direct"";""BASE-001"";""Cooked jasmine rice"";""true"";""1000"";""g"";""2"";""2000"";""0.00416"";""4.16"";""20"";""250"";""1"";""Mon|Tue|Wed|Thu|Fri|Sat"";""14:00:00"";""94"";""true"""
"SUP-PRODUCE-BASE-002;""SUP-PRODUCE"";""Fresh Produce Direct"";""BASE-002"";""Cooked brown rice"";""true"";""1000"";""g"";""2"";""2000"";""0.00432"";""4.32"";""20"";""250"";""1"";""Mon|Tue|Wed|Thu|Fri|Sat"";""14:00:00"";""94"";""true"""
"SUP-PRODUCE-BASE-003;""SUP-PRODUCE"";""Fresh Produce Direct"";""BASE-003"";""Turmeric coconut rice"";""true"";""1000"";""g"";""2"";""2000"";""0.0038"";""3.8"";""20"";""250"";""1"";""Mon|Tue|Wed|Thu|Fri|Sat"";""14:00:00"";""94"";""true"""
"SUP-DRINK-DRNK-001;""SUP-DRINK"";""Beverage Hub"";""DRNK-001"";""Coconut water 330ml"";""true"";""24"";""ea"";""2"";""48"";""1.552"";""37.25"";""18"";""250"";""3"";""Mon|Thu"";""14:00:00"";""94"";""true"""
"SUP-DRINK-DRNK-002;""SUP-DRINK"";""Beverage Hub"";""DRNK-002"";""Cold pressed juice - Watermelon Lime 300ml"";""true"";""24"";""ea"";""2"";""48"";""1.616"";""38.78"";""18"";""250"";""3"";""Mon|Thu"";""14:00:00"";""94"";""true"""
"SUP-DRINK-DRNK-003;""SUP-DRINK"";""Beverage Hub"";""DRNK-003"";""Cold pressed juice - Classic OJ 300ml"";""true"";""24"";""ea"";""2"";""48"";""1.68"";""40.32"";""18"";""250"";""3"";""Mon|Thu"";""14:00:00"";""94"";""true"""
"SUP-DRINK-DRNK-004;""SUP-DRINK"";""Beverage Hub"";""DRNK-004"";""Cold pressed juice - Pineapple Mint 300ml"";""true"";""24"";""ea"";""2"";""48"";""1.504"";""36.1"";""18"";""250"";""3"";""Mon|Thu"";""14:00:00"";""94"";""true"""
"SUP-DRINK-DRNK-005;""SUP-DRINK"";""Beverage Hub"";""DRNK-005"";""Dash sparkling water - Lime 330ml"";""true"";""24"";""ea"";""2"";""48"";""1.568"";""37.63"";""18"";""250"";""3"";""Mon|Thu"";""14:00:00"";""94"";""true"""
"SUP-DRINK-DRNK-006;""SUP-DRINK"";""Beverage Hub"";""DRNK-006"";""Dash sparkling water - Raspberry 330ml"";""true"";""24"";""ea"";""2"";""48"";""1.632"";""39.17"";""18"";""250"";""3"";""Mon|Thu"";""14:00:00"";""94"";""true"""
"SUP-DRINK-DRNK-007;""SUP-DRINK"";""Beverage Hub"";""DRNK-007"";""Dash sparkling water - Peach 330ml"";""true"";""24"";""ea"";""2"";""48"";""1.696"";""40.7"";""18"";""250"";""3"";""Mon|Thu"";""14:00:00"";""94"";""true"""
