"date;""record_type"";""minimum_temperature_c"";""maximum_temperature_c"";""average_temperature_c"";""rain_probability_pct"";""rainfall_mm"";""condition"";""is_hot_day"";""is_cold_day"";""forecast_horizon_days"";""location"";""is_synthetic"""
"2026-05-10;""actual"";""13.1"";""24.1"";""17.1"";""62"";""0"";""Cloudy"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-05-11;""actual"";""10.6"";""20.2"";""14.6"";""67"";""6.2"";""Rain"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-05-12;""actual"";""13.4"";""23.5"";""17.4"";""71"";""4.6"";""Rain"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-05-13;""actual"";""10.2"";""19.3"";""14.2"";""36"";""0"";""Mild"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-05-14;""actual"";""8.3"";""17.9"";""12.3"";""39"";""0"";""Mild"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-05-15;""actual"";""9.9"";""19.9"";""13.9"";""86"";""1.9"";""Rain"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-05-16;""actual"";""6.7"";""17.2"";""10.7"";""32"";""0"";""Mild"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-05-17;""actual"";""11.4"";""20.8"";""15.4"";""72"";""14.5"";""Heavy rain"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-05-18;""actual"";""8.1"";""16"";""12.1"";""74"";""13.4"";""Heavy rain"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-05-19;""actual"";""10.4"";""19.5"";""14.4"";""47"";""0"";""Mild"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-05-20;""actual"";""9.5"";""19.5"";""13.5"";""42"";""0"";""Mild"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-05-21;""actual"";""8.8"";""16.9"";""12.8"";""61"";""0"";""Cloudy"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-05-22;""actual"";""9.3"";""20.3"";""13.3"";""53"";""5.6"";""Rain"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-05-23;""actual"";""8.8"";""19.7"";""12.8"";""89"";""13"";""Heavy rain"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-05-24;""actual"";""5.8"";""17"";""9.8"";""42"";""0"";""Mild"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-05-25;""actual"";""8.8"";""18.1"";""12.8"";""46"";""0"";""Mild"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-05-26;""actual"";""5"";""14.3"";""9"";""46"";""0"";""Mild"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-05-27;""actual"";""5.1"";""14.4"";""9.1"";""63"";""5.7"";""Rain"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-05-28;""actual"";""5.3"";""13"";""9.3"";""32"";""0.7"";""Rain"";""false"";""true"";""0"";""Melbourne";" VIC"";""true"""
"2026-05-29;""actual"";""8.7"";""18.2"";""12.7"";""78"";""5.4"";""Rain"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-05-30;""actual"";""10.8"";""21.6"";""14.8"";""61"";""0"";""Cloudy"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-05-31;""actual"";""10"";""20.3"";""14"";""81"";""6.1"";""Rain"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-06-01;""actual"";""10.1"";""19.8"";""14.1"";""77"";""16.7"";""Heavy rain"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
