"forecast_date";"ingredient_id";"ingredient_name";"category";"unit";"forecast_quantity_needed";"lower_bound_quantity";"upper_bound_quantity";"cumulative_forecast_quantity";"starting_inventory_quantity";"projected_inventory_end_of_day_no_order";"projected_expired_quantity_to_date";"projected_unfilled_demand_quantity";"is_synthetic"
"2026-08-02";"BASE-001";"Cooked jasmine rice";"BASE";"g";"152448.581";"121958.865";"182938.297";"152448.581";"696249";"543800.419";"0";"0";"true"
"2026-08-02";"BASE-002";"Cooked brown rice";"BASE";"g";"6822.806";"5458.245";"8187.367";"6822.806";"31122";"24299.194";"0";"0";"true"
"2026-08-02";"BASE-003";"Turmeric coconut rice";"BASE";"g";"15291.735";"12233.388";"18350.082";"15291.735";"69798";"54506.265";"0";"0";"true"
"2026-08-02";"DRNK-001";"Coconut water 330ml";"DRNK";"ea";"26.589";"21.271";"31.907";"26.589";"122";"95.411";"0";"0";"true"
"2026-08-02";"DRNK-002";"Cold pressed juice - Watermelon Lime 300ml";"DRNK";"ea";"24.687";"19.75";"29.624";"24.687";"113";"88.313";"0";"0";"true"
"2026-08-02";"DRNK-003";"Cold pressed juice - Classic OJ 300ml";"DRNK";"ea";"24.874";"19.899";"29.849";"24.874";"114";"89.126";"0";"0";"true"
"2026-08-02";"DRNK-004";"Cold pressed juice - Pineapple Mint 300ml";"DRNK";"ea";"24.516";"19.613";"29.419";"24.516";"113";"88.484";"0";"0";"true"
"2026-08-02";"DRNK-005";"Dash sparkling water - Lime 330ml";"DRNK";"ea";"27.276";"21.821";"32.731";"27.276";"125";"97.724";"0";"0";"true"
"2026-08-02";"DRNK-006";"Dash sparkling water - Raspberry 330ml";"DRNK";"ea";"27.099";"21.679";"32.519";"27.099";"124";"96.901";"0";"0";"true"
"2026-08-02";"DRNK-007";"Dash sparkling water - Peach 330ml";"DRNK";"ea";"27.149";"21.719";"32.579";"27.149";"124";"96.851";"0";"0";"true"
"2026-08-02";"DRNK-008";"Kombucha - Ginger Lemon 330ml";"DRNK";"ea";"27.025";"21.62";"32.43";"27.025";"124";"96.975";"0";"0";"true"
"2026-08-02";"DRNK-009";"Kombucha - Lemon Lime Mint 330ml";"DRNK";"ea";"26.842";"21.474";"32.21";"26.842";"123";"96.158";"0";"0";"true"
"2026-08-02";"DRNK-010";"Kombucha - Peach 330ml";"DRNK";"ea";"27.29";"21.832";"32.748";"27.29";"125";"97.71";"0";"0";"true"
"2026-08-02";"DRNK-011";"Kombucha - Raspberry Lemonade 330ml";"DRNK";"ea";"27.156";"21.725";"32.587";"27.156";"124";"96.844";"0";"0";"true"
"2026-08-02";"DRNK-012";"Sodaly - Passionfruit 330ml";"DRNK";"ea";"27.374";"21.899";"32.849";"27.374";"126";"98.626";"0";"0";"true"
"2026-08-02";"DRNK-013";"Sodaly - Guava 330ml";"DRNK";"ea";"27.168";"21.734";"32.602";"27.168";"125";"97.832";"0";"0";"true"
"2026-08-02";"DRNK-014";"Sodaly - Raspberry 330ml";"DRNK";"ea";"27.614";"22.091";"33.137";"27.614";"127";"99.386";"0";"0";"true"
"2026-08-02";"DRNK-015";"Sparkling water 500ml";"DRNK";"ea";"41.355";"33.084";"49.626";"41.355";"190";"148.645";"0";"0";"true"
"2026-08-02";"DRNK-016";"Specialty soda - Gingerella 330ml";"DRNK";"ea";"26.869";"21.495";"32.243";"26.869";"123";"96.131";"0";"0";"true"
"2026-08-02";"DRNK-017";"Specialty soda - Karma Cola 330ml";"DRNK";"ea";"27.176";"21.741";"32.611";"27.176";"125";"97.824";"0";"0";"true"
"2026-08-02";"DRNK-018";"Specialty soda - Lemmy 330ml";"DRNK";"ea";"26.914";"21.531";"32.297";"26.914";"123";"96.086";"0";"0";"true"
"2026-08-02";"DRNK-019";"Still water 600ml";"DRNK";"ea";"49.183";"39.346";"59.02";"49.183";"226";"176.817";"0";"0";"true"
"2026-08-02";"GARN-001";"Edamame";"GARN";"cup";"93.986";"75.188";"112.783";"93.986";"429.032";"335.046";"0";"0";"true"
"2026-08-02";"GARN-002";"Pickled ginger";"GARN";"g";"3303.572";"2642.857";"3964.286";"3303.572";"15080";"11776.428";"0";"0";"true"
"2026-08-02";"GARN-003";"Crispy shallots";"GARN";"spoon";"177.423";"141.939";"212.908";"177.423";"3401";"3223.577";"0";"0";"true"
"2026-08-02";"GARN-004";"Nori strips";"GARN";"g";"423.048";"338.438";"507.658";"423.048";"8109";"7685.952";"0";"0";"true"
"2026-08-02";"GARN-005";"Nori sheet";"GARN";"ea";"37.24";"29.792";"44.688";"37.24";"714";"676.76";"0";"0";"true"
"2026-08-02";"GARN-006";"63-degree egg";"GARN";"ea";"42.197";"33.757";"50.636";"42.197";"193";"150.803";"0";"0";"true"
"2026-08-02";"GARN-007";"Half-boiled egg";"GARN";"ea";"73.828";"59.063";"88.594";"73.828";"339";"265.172";"0";"0";"true"
"2026-08-02";"GARN-008";"Tamagoyaki";"GARN";"ea";"79.764";"63.811";"95.717";"79.764";"364";"284.236";"0";"0";"true"
"2026-08-02";"GARN-009";"Lemon wedge";"GARN";"ea";"77.371";"61.897";"92.845";"77.371";"353";"275.629";"0";"0";"true"
"2026-08-02";"GARN-010";"Avocado";"GARN";"g";"4360.267";"3488.213";"5232.32";"4360.267";"19905";"15544.733";"0";"0";"true"
"2026-08-02";"GARN-011";"Pineapple";"GARN";"g";"1534.275";"1227.42";"1841.13";"1534.275";"7004";"5469.725";"0";"0";"true"
"2026-08-02";"GARN-012";"Cucumber slice";"GARN";"slice";"220.587";"176.47";"264.705";"220.587";"1012";"791.413";"0";"0";"true"
"2026-08-02";"GARN-013";"Crushed walnuts";"GARN";"ea";"213.835";"171.068";"256.602";"213.835";"4119";"3905.165";"0";"0";"true"
"2026-08-02";"GARN-014";"Assorted topping (kimchi / corn / edamame / nori)";"GARN";"cup";"121.131";"96.904";"145.357";"121.131";"2322.317";"2201.186";"0";"0";"true"
"2026-08-02";"LEAF-001";"Mixed leaf salad";"LEAF";"g";"31989.189";"25591.351";"38387.027";"31989.189";"146029";"114039.811";"0";"0";"true"
"2026-08-02";"LEAF-002";"Baby spinach";"LEAF";"g";"1266.351";"1013.081";"1519.621";"1266.351";"5779";"4512.649";"0";"0";"true"
"2026-08-02";"LEAF-003";"Kale";"LEAF";"g";"1300.078";"1040.062";"1560.093";"1300.078";"5931";"4630.922";"0";"0";"true"
"2026-08-02";"LEAF-004";"Classic slaw";"LEAF";"g";"4963.216";"3970.573";"5955.859";"4963.216";"22762";"17798.784";"0";"0";"true"
"2026-08-02";"MISC-001";"Miso paste (pre-packaged)";"MISC";"pack";"21.937";"17.55";"26.324";"21.937";"101";"79.063";"0";"0";"true"
"2026-08-02";"MISC-002";"Water";"MISC";"ml";"11792.25";"9433.8";"14150.7";"11792.25";"227063";"215270.75";"0";"0";"true"
"2026-08-02";"MISC-003";"Fresh ginger";"MISC";"matchsticks";"89.054";"71.243";"106.865";"89.054";"408";"318.946";"0";"0";"true"
"2026-08-02";"MISC-004";"Yuzu jam";"MISC";"g";"1287.347";"1029.878";"1544.816";"1287.347";"5904";"4616.653";"0";"0";"true"
"2026-08-02";"PROT-001";"Seared chicken";"PROT";"g";"6861.095";"5488.876";"8233.314";"6861.095";"31330";"24468.905";"0";"0";"true"
"2026-08-02";"PROT-002";"Sous-vide chicken";"PROT";"g";"3794.065";"3035.252";"4552.878";"3794.065";"17332";"13537.935";"0";"0";"true"
"2026-08-02";"PROT-003";"Karaage chicken";"PROT";"g";"17266.382";"13813.106";"20719.659";"17266.382";"189445";"172178.618";"0";"0";"true"
"2026-08-02";"PROT-004";"Flame-seared wagyu";"PROT";"g";"5400.954";"4320.763";"6481.145";"5400.954";"24655";"19254.046";"0";"0";"true"
"2026-08-02";"PROT-005";"Aburi salmon";"PROT";"g";"12201.048";"9760.839";"14641.258";"12201.048";"55785";"43583.952";"0";"0";"true"
"2026-08-02";"PROT-006";"Sashimi salmon";"PROT";"g";"7678.069";"6142.455";"9213.682";"7678.069";"35053";"27374.931";"0";"0";"true"
"2026-08-02";"PROT-007";"Sashimi tuna";"PROT";"g";"6041.666";"4833.333";"7250";"6041.666";"27583";"21541.334";"0";"0";"true"
"2026-08-02";"PROT-008";"Tiger prawns";"PROT";"g";"3024.769";"2419.815";"3629.723";"3024.769";"33148";"30123.231";"0";"0";"true"
