menu_item_id;menu_item_name;category;sale_price_aud _small;sale_price_aud _large;estimated_food_cost_aud_small;estimated_food_cost_aud_large;active;base_lunch_portions;base_dinner_portions
MI-001;Chicken Teriyaki Bowl (GF);Signature Nosh Bowls;14.9;17.9;3.57;4.86;TRUE;356;506
MI-002;Tofu Teriyaki Bowl (GF)(V)(VG);Signature Nosh Bowls;14.9;17.9;3.25;4.39;TRUE;331;481
MI-003;Miso Eggplant Bowl (GF)(V)(VG);Signature Nosh Bowls;15.9;18.9;3.25;4.42;TRUE;346;491
MI-004;Miso Falalalafel (GF)(V);Signature Nosh Bowls;15.9;18.9;4.76;6.38;TRUE;419;594
MI-005;Sashimi Bowl (A);Signature Nosh Bowls;17.9;20.9;5.5;7.48;TRUE;373;518
MI-006;Poke Bowl (A);Signature Nosh Bowls;16.9;19.9;5.72;7.73;TRUE;331;481
MI-007;Wagyu Beef Bowl (GF);Signature Nosh Bowls;17.9;20.9;5.5;7.22;TRUE;376;516
MI-008;Karaage Chicken Bowl (GF);Signature Nosh Bowls;16.9;19.9;3.91;5.32;TRUE;349;494
MI-009;Power Meal (A);Signature Nosh Bowls;18.9;21.9;6.31;8.6;TRUE;421;561
MI-010;Salmon Yuzu Bowl (A);Signature Nosh Bowls;17.9;20.9;5.98;7.94;TRUE;374;524
MI-011;Karaage Bento;Protein Bento;13.9;;5.04;;TRUE;436;436
MI-012;Salmon Aburi Bento (A);Protein Bento;14.9;;6.15;;TRUE;418;418
MI-013;Tofu Bento;Protein Bento;12.9;;4.15;;TRUE;416;416
MI-014;Create Your Own - Sous-vide Chicken;Create Your Own Bowl;15.9;18.9;3.73;5.08;TRUE;335;465
MI-015;Create Your Own - Seared Chicken;Create Your Own Bowl;15.9;18.9;3.73;5.08;TRUE;335;465
MI-016;Create Your Own - Pan-seared Tofu;Create Your Own Bowl;15.9;18.9;3.02;4.11;TRUE;320;450
MI-017;Create Your Own - Crispy Eggplant;Create Your Own Bowl;16.9;19.9;3.2;4.35;TRUE;355;485
MI-018;Create Your Own - Miso Beet Falafel;Create Your Own Bowl;16.9;19.9;3.38;4.59;TRUE;375;505
MI-019;Create Your Own - Tiger Prawns (I);Create Your Own Bowl;16.9;19.9;4.64;6.29;TRUE;320;450
MI-020;Create Your Own - Karaage Chicken;Create Your Own Bowl;17.9;20.9;3.91;5.32;TRUE;355;485
MI-021;Create Your Own - Sashimi Salmon (A);Create Your Own Bowl;17.9;20.9;5.19;7.04;TRUE;320;450
MI-022;Create Your Own - Sashimi Tuna (A);Create Your Own Bowl;17.9;20.9;5.01;6.79;TRUE;320;450
MI-023;Create Your Own - Flame-seared Salmon (A);Create Your Own Bowl;18.9;21.9;5.01;6.79;TRUE;320;450
MI-024;Create Your Own - Flame-seared Wagyu;Create Your Own Bowl;18.9;21.9;5.01;6.79;TRUE;315;445
MI-025;Create Your Own - No Protein;Create Your Own Bowl;12.9;15.9;2.4;3.09;TRUE;255;385
MI-026;Miso Soup;Light Bites;2.5;;0.45;;TRUE;268;268
MI-027;Raw Balls - Peanut Butter;Light Bites;4.2;;1.15;;TRUE;45;45
MI-028;Raw Balls - Choc Brownie;Light Bites;4.2;;1.15;;TRUE;45;45
MI-029;Raw Balls - Coconut Cacao;Light Bites;4.2;;1.15;;TRUE;45;45
MI-030;Raw Balls - Hazelnut;Light Bites;4.2;;1.15;;TRUE;45;45
MI-031;Raw Balls - Apricot Delight;Light Bites;4.2;;1.15;;TRUE;45;45
MI-032;myDeal - $5 Crispy Chicken Bites;Promotions;5;;1.6;;TRUE;90;90
MI-033;Coconut Water;Drinks;4.2;;2;;TRUE;330;330
MI-034;Cold Pressed Juice - Watermelon Lime;Drinks;5.5;;2.6;;TRUE;300;300
MI-035;Cold Pressed Juice - Classic OJ;Drinks;5.5;;2.6;;TRUE;300;300
MI-036;Cold Pressed Juice - Pineapple Mint;Drinks;5.5;;2.6;;TRUE;300;300
MI-037;Dash Sparkling Water - Lime;Drinks;4;;1.55;;TRUE;330;330
MI-038;Dash Sparkling Water - Raspberry;Drinks;4;;1.55;;TRUE;330;330
MI-039;Dash Sparkling Water - Peach;Drinks;4;;1.55;;TRUE;330;330
MI-040;Kombucha - Ginger Lemon;Drinks;5.5;;2.6;;TRUE;330;330
MI-041;Kombucha - Lemon Lime Mint;Drinks;5.5;;2.6;;TRUE;330;330
MI-042;Kombucha - Peach;Drinks;5.5;;2.6;;TRUE;330;330
MI-043;Kombucha - Raspberry Lemonade;Drinks;5.5;;2.6;;TRUE;330;330
