"recipe_line_id";"menu_variant_id";"menu_item_id";"menu_variant_name";"portion_size";"ingredient_id";"ingredient_name";"ingredient_group_code";"quantity_per_portion";"unit";"preparation_loss_fraction";"preparation_loss_pct";"effective_quantity_per_portion";"recipe_component_status";"inventory_consumption_eligible";"source_row_number";"source_file"
"RL-0001";"MI-001-SMALL";"MI-001";"Chicken Teriyaki Bowl - Small";"Small";"BASE-001";"Cooked jasmine rice";"BASE";"150";"g";"0.02";"2";"153.061224";"SOURCE_RECIPE";"true";"2";"Recipe and menu data_1_1(1).xlsx"
"RL-0002";"MI-001-SMALL";"MI-001";"Chicken Teriyaki Bowl - Small";"Small";"LEAF-001";"Mixed leaf salad";"LEAF";"30";"g";"0.08";"8";"32.608696";"SOURCE_RECIPE";"true";"3";"Recipe and menu data_1_1(1).xlsx"
"RL-0003";"MI-001-SMALL";"MI-001";"Chicken Teriyaki Bowl - Small";"Small";"PROT-001";"Seared chicken";"PROT";"80";"g";"0.05";"5";"84.210526";"SOURCE_RECIPE";"true";"4";"Recipe and menu data_1_1(1).xlsx"
"RL-0004";"MI-001-SMALL";"MI-001";"Chicken Teriyaki Bowl - Small";"Small";"SAUC-001";"Teriyaki sauce";"SAUC";"30";"g";"0.03";"3";"30.927835";"SOURCE_RECIPE";"true";"5";"Recipe and menu data_1_1(1).xlsx"
"RL-0005";"MI-001-SMALL";"MI-001";"Chicken Teriyaki Bowl - Small";"Small";"SAUC-002";"Japanese mayo";"SAUC";"10";"g";"0.03";"3";"10.309278";"SOURCE_RECIPE";"true";"6";"Recipe and menu data_1_1(1).xlsx"
"RL-0006";"MI-001-SMALL";"MI-001";"Chicken Teriyaki Bowl - Small";"Small";"GARN-001";"Edamame";"GARN";"0.25";"cup";"0.03";"3";"0.257732";"SOURCE_RECIPE";"true";"7";"Recipe and menu data_1_1(1).xlsx"
"RL-0007";"MI-001-SMALL";"MI-001";"Chicken Teriyaki Bowl - Small";"Small";"GARN-002";"Pickled ginger";"GARN";"10";"g";"0.02";"2";"10.204082";"SOURCE_RECIPE";"true";"8";"Recipe and menu data_1_1(1).xlsx"
"RL-0008";"MI-001-SMALL";"MI-001";"Chicken Teriyaki Bowl - Small";"Small";"GARN-003";"Crispy shallots";"GARN";"1";"spoon";"0.02";"2";"1.020408";"SOURCE_RECIPE";"true";"9";"Recipe and menu data_1_1(1).xlsx"
"RL-0009";"MI-001-SMALL";"MI-001";"Chicken Teriyaki Bowl - Small";"Small";"GARN-004";"Nori strips";"GARN";"2";"g";"0";"0";"2";"SOURCE_RECIPE";"true";"10";"Recipe and menu data_1_1(1).xlsx"
"RL-0010";"MI-001-LARGE";"MI-001";"Chicken Teriyaki Bowl - Large";"Large";"BASE-001";"Cooked jasmine rice";"BASE";"250";"g";"0.02";"2";"255.102041";"SOURCE_RECIPE";"true";"11";"Recipe and menu data_1_1(1).xlsx"
"RL-0011";"MI-001-LARGE";"MI-001";"Chicken Teriyaki Bowl - Large";"Large";"LEAF-001";"Mixed leaf salad";"LEAF";"40";"g";"0.08";"8";"43.478261";"SOURCE_RECIPE";"true";"12";"Recipe and menu data_1_1(1).xlsx"
"RL-0012";"MI-001-LARGE";"MI-001";"Chicken Teriyaki Bowl - Large";"Large";"PROT-001";"Seared chicken";"PROT";"110";"g";"0.05";"5";"115.789474";"SOURCE_RECIPE";"true";"13";"Recipe and menu data_1_1(1).xlsx"
"RL-0013";"MI-001-LARGE";"MI-001";"Chicken Teriyaki Bowl - Large";"Large";"SAUC-001";"Teriyaki sauce";"SAUC";"40";"g";"0.03";"3";"41.237113";"SOURCE_RECIPE";"true";"14";"Recipe and menu data_1_1(1).xlsx"
"RL-0014";"MI-001-LARGE";"MI-001";"Chicken Teriyaki Bowl - Large";"Large";"SAUC-002";"Japanese mayo";"SAUC";"10";"g";"0.03";"3";"10.309278";"SOURCE_RECIPE";"true";"15";"Recipe and menu data_1_1(1).xlsx"
"RL-0015";"MI-001-LARGE";"MI-001";"Chicken Teriyaki Bowl - Large";"Large";"GARN-001";"Edamame";"GARN";"0.25";"cup";"0.03";"3";"0.257732";"SOURCE_RECIPE";"true";"16";"Recipe and menu data_1_1(1).xlsx"
"RL-0016";"MI-001-LARGE";"MI-001";"Chicken Teriyaki Bowl - Large";"Large";"GARN-002";"Pickled ginger";"GARN";"10";"g";"0.02";"2";"10.204082";"SOURCE_RECIPE";"true";"17";"Recipe and menu data_1_1(1).xlsx"
"RL-0017";"MI-001-LARGE";"MI-001";"Chicken Teriyaki Bowl - Large";"Large";"GARN-003";"Crispy shallots";"GARN";"1";"spoon";"0.02";"2";"1.020408";"SOURCE_RECIPE";"true";"18";"Recipe and menu data_1_1(1).xlsx"
"RL-0018";"MI-001-LARGE";"MI-001";"Chicken Teriyaki Bowl - Large";"Large";"GARN-004";"Nori strips";"GARN";"2";"g";"0";"0";"2";"SOURCE_RECIPE";"true";"19";"Recipe and menu data_1_1(1).xlsx"
"RL-0019";"MI-007-SMALL";"MI-007";"Wagyu Beef Bowl - Small";"Small";"BASE-001";"Cooked jasmine rice";"BASE";"150";"g";"0.02";"2";"153.061224";"SOURCE_RECIPE";"true";"20";"Recipe and menu data_1_1(1).xlsx"
"RL-0020";"MI-007-SMALL";"MI-007";"Wagyu Beef Bowl - Small";"Small";"LEAF-001";"Mixed leaf salad";"LEAF";"30";"g";"0.08";"8";"32.608696";"SOURCE_RECIPE";"true";"21";"Recipe and menu data_1_1(1).xlsx"
"RL-0021";"MI-007-SMALL";"MI-007";"Wagyu Beef Bowl - Small";"Small";"PROT-004";"Flame-seared wagyu";"PROT";"60";"g";"0.08";"8";"65.217391";"SOURCE_RECIPE";"true";"22";"Recipe and menu data_1_1(1).xlsx"
"RL-0022";"MI-007-SMALL";"MI-007";"Wagyu Beef Bowl - Small";"Small";"SAUC-001";"Teriyaki sauce";"SAUC";"30";"g";"0.03";"3";"30.927835";"SOURCE_RECIPE";"true";"23";"Recipe and menu data_1_1(1).xlsx"
"RL-0023";"MI-007-SMALL";"MI-007";"Wagyu Beef Bowl - Small";"Small";"GARN-001";"Edamame";"GARN";"0.25";"cup";"0.03";"3";"0.257732";"SOURCE_RECIPE";"true";"24";"Recipe and menu data_1_1(1).xlsx"
"RL-0024";"MI-007-SMALL";"MI-007";"Wagyu Beef Bowl - Small";"Small";"GARN-002";"Pickled ginger";"GARN";"10";"g";"0.02";"2";"10.204082";"SOURCE_RECIPE";"true";"25";"Recipe and menu data_1_1(1).xlsx"
"RL-0025";"MI-007-SMALL";"MI-007";"Wagyu Beef Bowl - Small";"Small";"GARN-003";"Crispy shallots";"GARN";"1";"spoon";"0.02";"2";"1.020408";"SOURCE_RECIPE";"true";"26";"Recipe and menu data_1_1(1).xlsx"
"RL-0026";"MI-007-SMALL";"MI-007";"Wagyu Beef Bowl - Small";"Small";"GARN-004";"Nori strips";"GARN";"2";"g";"0";"0";"2";"SOURCE_RECIPE";"true";"27";"Recipe and menu data_1_1(1).xlsx"
"RL-0027";"MI-007-SMALL";"MI-007";"Wagyu Beef Bowl - Small";"Small";"GARN-006";"63-degree egg";"GARN";"1";"ea";"0.05";"5";"1.052632";"SOURCE_RECIPE";"true";"28";"Recipe and menu data_1_1(1).xlsx"
"RL-0028";"MI-007-LARGE";"MI-007";"Wagyu Beef Bowl - Large";"Large";"BASE-001";"Cooked jasmine rice";"BASE";"250";"g";"0.02";"2";"255.102041";"SOURCE_RECIPE";"true";"29";"Recipe and menu data_1_1(1).xlsx"
"RL-0029";"MI-007-LARGE";"MI-007";"Wagyu Beef Bowl - Large";"Large";"LEAF-001";"Mixed leaf salad";"LEAF";"40";"g";"0.08";"8";"43.478261";"SOURCE_RECIPE";"true";"30";"Recipe and menu data_1_1(1).xlsx"
"RL-0030";"MI-007-LARGE";"MI-007";"Wagyu Beef Bowl - Large";"Large";"PROT-004";"Flame-seared wagyu";"PROT";"80";"g";"0.08";"8";"86.956522";"SOURCE_RECIPE";"true";"31";"Recipe and menu data_1_1(1).xlsx"
"RL-0031";"MI-007-LARGE";"MI-007";"Wagyu Beef Bowl - Large";"Large";"SAUC-001";"Teriyaki sauce";"SAUC";"40";"g";"0.03";"3";"41.237113";"SOURCE_RECIPE";"true";"32";"Recipe and menu data_1_1(1).xlsx"
