"menu_variant_id";"menu_item_id";"menu_variant_name";"portion_size";"category";"sale_price_aud";"estimated_food_cost_aud";"gross_margin_aud";"gross_margin_ratio";"active";"demand_model_training_eligible";"exclusion_reason";"menu_tag_codes";"tag_gf";"tag_v";"tag_vg";"tag_a";"tag_i";"base_lunch_portions_parent";"base_dinner_portions_parent";"size_mix_assumption_pct";"source_row_number";"source_file"
"MI-001-SMALL";"MI-001";"Chicken Teriyaki Bowl - Small";"Small";"Signature Bowls";"14.9";"3.57";"11.33";"0.760403";"true";"true";"";"GF";"true";"false";"false";"false";"false";"356";"506";"50";"2";"Recipe and menu data_1_1(1).xlsx"
"MI-001-LARGE";"MI-001";"Chicken Teriyaki Bowl - Large";"Large";"Signature Bowls";"17.9";"4.86";"13.04";"0.728492";"true";"true";"";"GF";"true";"false";"false";"false";"false";"356";"506";"50";"2";"Recipe and menu data_1_1(1).xlsx"
"MI-002-SMALL";"MI-002";"Tofu Teriyaki Bowl - Small";"Small";"Signature Bowls";"14.9";"3.25";"11.65";"0.781879";"true";"true";"";"GF|V|VG";"true";"true";"true";"false";"false";"331";"481";"50";"3";"Recipe and menu data_1_1(1).xlsx"
"MI-002-LARGE";"MI-002";"Tofu Teriyaki Bowl - Large";"Large";"Signature Bowls";"17.9";"4.39";"13.51";"0.754749";"true";"true";"";"GF|V|VG";"true";"true";"true";"false";"false";"331";"481";"50";"3";"Recipe and menu data_1_1(1).xlsx"
"MI-003-SMALL";"MI-003";"Miso Eggplant Bowl - Small";"Small";"Signature Bowls";"15.9";"3.25";"12.65";"0.795597";"true";"true";"";"GF|V|VG";"true";"true";"true";"false";"false";"346";"491";"50";"4";"Recipe and menu data_1_1(1).xlsx"
"MI-003-LARGE";"MI-003";"Miso Eggplant Bowl - Large";"Large";"Signature Bowls";"18.9";"4.42";"14.48";"0.766138";"true";"true";"";"GF|V|VG";"true";"true";"true";"false";"false";"346";"491";"50";"4";"Recipe and menu data_1_1(1).xlsx"
"MI-004-SMALL";"MI-004";"Miso Falalalafel - Small";"Small";"Signature Bowls";"15.9";"4.76";"11.14";"0.700629";"true";"true";"";"GF|V";"true";"true";"false";"false";"false";"419";"594";"50";"5";"Recipe and menu data_1_1(1).xlsx"
"MI-004-LARGE";"MI-004";"Miso Falalalafel - Large";"Large";"Signature Bowls";"18.9";"6.38";"12.52";"0.662434";"true";"true";"";"GF|V";"true";"true";"false";"false";"false";"419";"594";"50";"5";"Recipe and menu data_1_1(1).xlsx"
"MI-005-SMALL";"MI-005";"Sashimi Bowl - Small";"Small";"Signature Bowls";"17.9";"5.5";"12.4";"0.692737";"true";"true";"";"A";"false";"false";"false";"true";"false";"373";"518";"50";"6";"Recipe and menu data_1_1(1).xlsx"
"MI-005-LARGE";"MI-005";"Sashimi Bowl - Large";"Large";"Signature Bowls";"20.9";"7.48";"13.42";"0.642105";"true";"true";"";"A";"false";"false";"false";"true";"false";"373";"518";"50";"6";"Recipe and menu data_1_1(1).xlsx"
