"data_split";"date";"service_period";"menu_item_id";"menu_variant_id";"menu_item_name";"portion_size";"category";"day_of_week";"month";"season";"is_weekend";"is_public_holiday";"is_school_holiday";"special_occasion";"average_temperature_c";"maximum_temperature_c";"rain_probability_pct";"rainfall_mm";"weather_condition";"is_hot_day";"is_cold_day";"confirmed_reservation_covers";"event_count";"event_types";"total_event_attendance";"nearest_event_distance_km";"maximum_event_relevance_score";"promotion_active";"promotion_discount_pct";"lag_7_day_quantity";"rolling_28_day_average";"quantity_sold_target";"dine_in_quantity_actual";"takeaway_quantity_actual";"delivery_quantity_actual";"gross_sales_aud_actual";"net_sales_aud_actual";"is_synthetic"
"training";"2026-05-10";"Lunch";"MI-001";"MI-001-SMALL";"Chicken Teriyaki Bowl - Small";"Small";"Signature Nosh Bowls";"Sunday";"May";"Autumn";"true";"false";"false";"Mothers Day";"17.1";"24.1";"62";"0";"Cloudy";"false";"false";"42";"0";"None";"0";"";"0";"false";"0";"";"";"7";"4";"1";"2";"104.3";"104.3";"true"
"training";"2026-05-10";"Lunch";"MI-001";"MI-001-LARGE";"Chicken Teriyaki Bowl - Large";"Large";"Signature Nosh Bowls";"Sunday";"May";"Autumn";"true";"false";"false";"Mothers Day";"17.1";"24.1";"62";"0";"Cloudy";"false";"false";"42";"0";"None";"0";"";"0";"false";"0";"";"";"7";"4";"1";"2";"125.3";"125.3";"true"
"training";"2026-05-10";"Lunch";"MI-002";"MI-002-SMALL";"Tofu Teriyaki Bowl - Small";"Small";"Signature Nosh Bowls";"Sunday";"May";"Autumn";"true";"false";"false";"Mothers Day";"17.1";"24.1";"62";"0";"Cloudy";"false";"false";"42";"0";"None";"0";"";"0";"false";"0";"";"";"7";"4";"1";"2";"104.3";"104.3";"true"
"training";"2026-05-10";"Lunch";"MI-002";"MI-002-LARGE";"Tofu Teriyaki Bowl - Large";"Large";"Signature Nosh Bowls";"Sunday";"May";"Autumn";"true";"false";"false";"Mothers Day";"17.1";"24.1";"62";"0";"Cloudy";"false";"false";"42";"0";"None";"0";"";"0";"false";"0";"";"";"7";"4";"1";"2";"125.3";"125.3";"true"
"training";"2026-05-10";"Lunch";"MI-003";"MI-003-SMALL";"Miso Eggplant Bowl - Small";"Small";"Signature Nosh Bowls";"Sunday";"May";"Autumn";"true";"false";"false";"Mothers Day";"17.1";"24.1";"62";"0";"Cloudy";"false";"false";"42";"0";"None";"0";"";"0";"false";"0";"";"";"7";"4";"1";"2";"111.3";"111.3";"true"
"training";"2026-05-10";"Lunch";"MI-003";"MI-003-LARGE";"Miso Eggplant Bowl - Large";"Large";"Signature Nosh Bowls";"Sunday";"May";"Autumn";"true";"false";"false";"Mothers Day";"17.1";"24.1";"62";"0";"Cloudy";"false";"false";"42";"0";"None";"0";"";"0";"false";"0";"";"";"6";"3";"1";"2";"113.4";"113.4";"true"
"training";"2026-05-10";"Lunch";"MI-004";"MI-004-SMALL";"Miso Falalalafel - Small";"Small";"Signature Nosh Bowls";"Sunday";"May";"Autumn";"true";"false";"false";"Mothers Day";"17.1";"24.1";"62";"0";"Cloudy";"false";"false";"42";"0";"None";"0";"";"0";"false";"0";"";"";"9";"5";"2";"2";"143.1";"143.1";"true"
"training";"2026-05-10";"Lunch";"MI-004";"MI-004-LARGE";"Miso Falalalafel - Large";"Large";"Signature Nosh Bowls";"Sunday";"May";"Autumn";"true";"false";"false";"Mothers Day";"17.1";"24.1";"62";"0";"Cloudy";"false";"false";"42";"0";"None";"0";"";"0";"false";"0";"";"";"8";"4";"2";"2";"151.2";"151.2";"true"
"training";"2026-05-10";"Lunch";"MI-005";"MI-005-SMALL";"Sashimi Bowl - Small";"Small";"Signature Nosh Bowls";"Sunday";"May";"Autumn";"true";"false";"false";"Mothers Day";"17.1";"24.1";"62";"0";"Cloudy";"false";"false";"42";"0";"None";"0";"";"0";"false";"0";"";"";"7";"4";"1";"2";"125.3";"125.3";"true"
"training";"2026-05-10";"Lunch";"MI-005";"MI-005-LARGE";"Sashimi Bowl - Large";"Large";"Signature Nosh Bowls";"Sunday";"May";"Autumn";"true";"false";"false";"Mothers Day";"17.1";"24.1";"62";"0";"Cloudy";"false";"false";"42";"0";"None";"0";"";"0";"false";"0";"";"";"6";"3";"1";"2";"125.4";"125.4";"true"
