forecast_id;forecast_generated_date;forecast_date;forecast_horizon_days;service_period;menu_item_id;menu_variant_id;menu_item_name;portion_size;category;baseline_portions;predicted_portions;lower_bound_portions;upper_bound_portions;forecast_confidence_pct;confirmed_reservation_covers;weather_condition;special_occasion;event_types;key_demand_drivers;predicted_revenue_aud;model_version;is_synthetic
FC-e1b82020-efe9-4446-a676-ff8925cc888a;2026-08-02;2026-08-02;0;Dinner;MI-001;MI-001-SMALL;Chicken Teriyaki Bowl;Small;Signature Bowls;9.75;9.790234956956846;;11.228242941444925;;60;;;;;145.87;misecast-demand-p50p90-v1;True
FC-e745eca0-c4e4-4fca-acf3-8b63d3c195a8;2026-08-02;2026-08-03;1;Dinner;MI-001;MI-001-SMALL;Chicken Teriyaki Bowl;Small;Signature Bowls;8.25;8.775704056618563;;9.666746464734379;;38;;;;;130.76;misecast-demand-p50p90-v1;True
FC-0c61318b-df03-4c76-8145-e2c591b55e68;2026-08-02;2026-08-04;2;Dinner;MI-001;MI-001-SMALL;Chicken Teriyaki Bowl;Small;Signature Bowls;9.25;9.100043930531738;;10.207458010223347;;41;;;;;135.59;misecast-demand-p50p90-v1;True
FC-c8147597-ddb7-4575-afc7-35c4a78e6426;2026-08-02;2026-08-05;3;Dinner;MI-001;MI-001-SMALL;Chicken Teriyaki Bowl;Small;Signature Bowls;9.5;8.941986778159354;;10.291192139238643;;36;;;;;133.24;misecast-demand-p50p90-v1;True
FC-2c846625-506d-4bfa-8658-fcc9e84cd5a7;2026-08-02;2026-08-06;4;Dinner;MI-001;MI-001-SMALL;Chicken Teriyaki Bowl;Small;Signature Bowls;9.25;8.953655874284458;;10.286941074855232;;50;;;;;133.41;misecast-demand-p50p90-v1;True
FC-6b50a3f2-7481-4394-9739-4eb3a7d04808;2026-08-02;2026-08-07;5;Dinner;MI-001;MI-001-SMALL;Chicken Teriyaki Bowl;Small;Signature Bowls;9.25;9.175427156759184;;10.238734514782324;;62;;;;;136.71;misecast-demand-p50p90-v1;True
FC-8611d0e5-63ac-449b-bb55-682eee15f1b4;2026-08-02;2026-08-08;6;Dinner;MI-001;MI-001-SMALL;Chicken Teriyaki Bowl;Small;Signature Bowls;10.5;10.80641186584513;;11.91036164569043;;83;;;;;161.02;misecast-demand-p50p90-v1;True
FC-5c831d95-99dc-4556-b78a-7ac8f2266d09;2026-08-02;2026-08-09;7;Dinner;MI-001;MI-001-SMALL;Chicken Teriyaki Bowl;Small;Signature Bowls;9.75;9.988319289019294;;11.170245462832728;;47;;;;;148.83;misecast-demand-p50p90-v1;True
FC-19d9950e-0e71-4bd6-9624-ab7497a3468b;2026-08-02;2026-08-10;8;Dinner;MI-001;MI-001-SMALL;Chicken Teriyaki Bowl;Small;Signature Bowls;8.25;9.01707029438587;;9.79133209818505;;35;;;;;134.35;misecast-demand-p50p90-v1;True
FC-d4633e14-12ac-4c9e-9a75-a7828ebe7b3e;2026-08-02;2026-08-11;9;Dinner;MI-001;MI-001-SMALL;Chicken Teriyaki Bowl;Small;Signature Bowls;9.25;9.11123328611575;;10.30910066656363;;47;;;;;135.76;misecast-demand-p50p90-v1;True
FC-d6284d1f-e9f5-4e1c-8091-1cc63ad4377a;2026-08-02;2026-08-02;0;Lunch;MI-001;MI-001-SMALL;Chicken Teriyaki Bowl;Small;Signature Bowls;7.25;6.842782852804374;;7.967130397626074;;32;;;;;101.96;misecast-demand-p50p90-v1;True
FC-9d7579e4-da2d-4cd5-92c9-2b49d98886da;2026-08-02;2026-08-03;1;Lunch;MI-001;MI-001-SMALL;Chicken Teriyaki Bowl;Small;Signature Bowls;6.5;6.619271135136187;;7.052541831420138;;22;;;;;98.63;misecast-demand-p50p90-v1;True
FC-00d21dfa-df22-4b7f-a7f6-8d5be8d9138d;2026-08-02;2026-08-04;2;Lunch;MI-001;MI-001-SMALL;Chicken Teriyaki Bowl;Small;Signature Bowls;6.5;6.6590265296449775;;7.070507290397437;;29;;;;;99.22;misecast-demand-p50p90-v1;True
FC-edc7881f-c746-4931-9eed-fee89d6a68ef;2026-08-02;2026-08-05;3;Lunch;MI-001;MI-001-SMALL;Chicken Teriyaki Bowl;Small;Signature Bowls;6.5;6.607890705188213;;7.064278953056904;;22;;;;;98.46;misecast-demand-p50p90-v1;True
FC-19d59428-7adf-498c-998d-3631cec036fb;2026-08-02;2026-08-06;4;Lunch;MI-001;MI-001-SMALL;Chicken Teriyaki Bowl;Small;Signature Bowls;6.75;6.6379406843742474;;7.086085250730197;;36;;;;;98.91;misecast-demand-p50p90-v1;True
FC-1e8079c8-1abc-4411-a879-80973e789fe8;2026-08-02;2026-08-07;5;Lunch;MI-001;MI-001-SMALL;Chicken Teriyaki Bowl;Small;Signature Bowls;6.5;6.652774571156588;;7.081185265130736;;37;;;;;99.13;misecast-demand-p50p90-v1;True
FC-93116fec-acb5-43db-a8c2-71efddcb7db9;2026-08-02;2026-08-08;6;Lunch;MI-001;MI-001-SMALL;Chicken Teriyaki Bowl;Small;Signature Bowls;7.5;7.015546883914135;;7.968639171639928;;39;;;;;104.53;misecast-demand-p50p90-v1;True
FC-b1db0aef-841b-4deb-8a7f-b428590e73a4;2026-08-02;2026-08-09;7;Lunch;MI-001;MI-001-SMALL;Chicken Teriyaki Bowl;Small;Signature Bowls;7.25;6.859541314420959;;7.9674723000805585;;30;;;;;102.21;misecast-demand-p50p90-v1;True
FC-49790a98-ffba-4874-bb63-e5c5451decad;2026-08-02;2026-08-10;8;Lunch;MI-001;MI-001-SMALL;Chicken Teriyaki Bowl;Small;Signature Bowls;6.5;6.649454238664088;;7.039743562466877;;24;;;;;99.08;misecast-demand-p50p90-v1;True
FC-9681d26c-9244-401f-9884-2509c3668536;2026-08-02;2026-08-11;9;Lunch;MI-001;MI-001-SMALL;Chicken Teriyaki Bowl;Small;Signature Bowls;6.5;6.673193106229284;;7.07097460531977;;26;;;;;99.43;misecast-demand-p50p90-v1;True
FC-0e1a46f3-de4c-4e7a-ba68-ccbb399b1cb6;2026-08-02;2026-08-02;0;Dinner;MI-001;MI-001-LARGE;Chicken Teriyaki Bowl;Large;Signature Bowls;10.0;9.864465785701881;;11.38607616856228;;60;;;;;176.57;misecast-demand-p50p90-v1;True
FC-bc5dc193-0395-4d5d-9f16-94fe493f584a;2026-08-02;2026-08-03;1;Dinner;MI-001;MI-001-LARGE;Chicken Teriyaki Bowl;Large;Signature Bowls;8.75;9.002873492126465;;9.912124951735587;;38;;;;;161.15;misecast-demand-p50p90-v1;True
FC-2c9ce580-dfb4-4c1a-871b-74b4c9118ca1;2026-08-02;2026-08-04;2;Dinner;MI-001;MI-001-LARGE;Chicken Teriyaki Bowl;Large;Signature Bowls;9.25;9.12942196290259;;10.097596796035633;;41;;;;;163.42;misecast-demand-p50p90-v1;True
