expiry_action_id;action_generated_date;batch_id;ingredient_id;ingredient_name;expiry_date;days_until_expiry;batch_quantity_remaining;unit;projected_batch_usage_before_expiry;projected_waste_quantity;inventory_value_at_risk_aud;expiry_risk_level;recommended_menu_item_id;recommended_menu_variant_id;recommended_menu_item_name;ingredient_quantity_per_portion;recommended_additional_portions;recommended_discount_pct;promotion_start_date;promotion_end_date;estimated_incremental_revenue_aud;estimated_waste_value_avoided_aud;recommended_action;is_synthetic
EA-0a207c0c-09fd-4b9a-a1d7-997d3aa78d2f;2026-08-02;LOT-BASE-001-1;BASE-001;Cooked jasmine rice;2026-08-03;1;417749.0;g;280878.06506220216;136870.93493779784;569.38;Moderate;MI-001;MI-001-LARGE;Chicken Teriyaki Bowl - Large;255.102041;537;;2026-08-02;2026-08-03;;569.38;Feature or discount Chicken Teriyaki Bowl - Large to help sell through 136871g of Cooked jasmine rice before it expires on 2026-08-03.;True
EA-02d255d2-910d-470c-b914-35a9d9d8b2c3;2026-08-02;LOT-BASE-002-1;BASE-002;Cooked brown rice;2026-08-03;1;18673.0;g;12379.101318397778;6293.8986816022225;27.19;Moderate;MI-002;MI-002-LARGE;Tofu Teriyaki Bowl - Large;255.102041;25;;2026-08-02;2026-08-03;;27.19;Feature or discount Tofu Teriyaki Bowl - Large to help sell through 6294g of Cooked brown rice before it expires on 2026-08-03.;True
EA-0ba72b88-d23e-49b3-a702-568238eec5bf;2026-08-02;LOT-BASE-003-1;BASE-003;Turmeric coconut rice;2026-08-03;1;41879.0;g;27806.327150220124;14072.672849779878;53.48;Moderate;MI-006;MI-006-LARGE;Poke Bowl - Large;255.102041;56;;2026-08-02;2026-08-03;;53.48;Feature or discount Poke Bowl - Large to help sell through 14073g of Turmeric coconut rice before it expires on 2026-08-03.;True
EA-4e1f1bcb-af4e-4577-b9ec-dcefa7fbedb5;2026-08-02;LOT-GARN-001-1;GARN-001;Edamame;2026-08-03;1;257.419;cup;172.108203569252;85.310796430748;126.69;Moderate;MI-001;MI-001-SMALL;Chicken Teriyaki Bowl - Small;0.257732;332;;2026-08-02;2026-08-03;;126.69;Feature or discount Chicken Teriyaki Bowl - Small to help sell through 85cup of Edamame before it expires on 2026-08-03.;True
EA-9cade33f-de2d-48a8-984c-e333948d78bf;2026-08-02;LOT-GARN-002-1;GARN-002;Pickled ginger;2026-08-03;1;9048.0;g;6059.757191120864;2988.2428088791357;31.23;Moderate;MI-001;MI-001-SMALL;Chicken Teriyaki Bowl - Small;10.204082;293;;2026-08-02;2026-08-03;;31.23;Feature or discount Chicken Teriyaki Bowl - Small to help sell through 2988g of Pickled ginger before it expires on 2026-08-03.;True
EA-f1624fad-fc0e-4ad1-9cb3-68b8dbf52354;2026-08-02;LOT-GARN-006-1;GARN-006;63-degree egg;2026-08-03;1;116.0;ea;77.95727990570762;38.042720094292385;23.24;Moderate;MI-007;MI-007-SMALL;Wagyu Beef Bowl - Small;1.052632;37;;2026-08-02;2026-08-03;;23.24;Feature or discount Wagyu Beef Bowl - Small to help sell through 38ea of 63-degree egg before it expires on 2026-08-03.;True
EA-ab7d3a5e-c941-490e-8b3d-c2e4eb854240;2026-08-02;LOT-GARN-007-1;GARN-007;Half-boiled egg;2026-08-03;1;203.0;ea;136.81439803608498;66.18560196391502;46.03;Moderate;MI-011;MI-011-STANDARD;Karaage Bento;1.052632;63;;2026-08-02;2026-08-03;;46.03;Feature or discount Karaage Bento to help sell through 66ea of Half-boiled egg before it expires on 2026-08-03.;True
EA-5ebcf77b-b295-4e72-a1f2-1151139a106a;2026-08-02;LOT-GARN-008-1;GARN-008;Tamagoyaki;2026-08-03;1;218.0;ea;143.60728218526168;74.39271781473832;62.49;Moderate;MI-009;MI-009-SMALL;Power Meal - Small;1.030928;73;;2026-08-02;2026-08-03;;62.49;Feature or discount Power Meal - Small to help sell through 74ea of Tamagoyaki before it expires on 2026-08-03.;True
EA-aa6ca2a1-eaab-4a70-9457-c3d379bf14ed;2026-08-02;LOT-GARN-009-1;GARN-009;Lemon wedge;2026-08-03;1;212.0;ea;139.29904143185723;72.70095856814278;58.74;Moderate;MI-009;MI-009-SMALL;Power Meal - Small;1.0;73;;2026-08-02;2026-08-03;;58.74;Feature or discount Power Meal - Small to help sell through 73ea of Lemon wedge before it expires on 2026-08-03.;True
EA-a2181408-63aa-4c2e-8597-d63ae7bb1861;2026-08-02;LOT-GARN-010-1;GARN-010;Avocado;2026-08-03;1;11943.0;g;8128.809749639999;3814.1902503600013;44.89;Moderate;MI-005;MI-005-SMALL;Sashimi Bowl - Small;53.333333;72;;2026-08-02;2026-08-03;;44.89;Feature or discount Sashimi Bowl - Small to help sell through 3814g of Avocado before it expires on 2026-08-03.;True
EA-70c9ef0d-2d55-4eed-a98e-29edb4688b92;2026-08-02;LOT-GARN-011-1;GARN-011;Pineapple;2026-08-03;1;4202.0;g;2772.132736984494;1429.8672630155063;14.78;Moderate;MI-004;MI-004-SMALL;Miso Falalalafel - Small;37.5;39;;2026-08-02;2026-08-03;;14.78;Feature or discount Miso Falalalafel - Small to help sell through 1430g of Pineapple before it expires on 2026-08-03.;True
EA-7a5cd3e8-c019-43ae-95a7-70215eeafaa9;2026-08-02;LOT-GARN-012-1;GARN-012;Cucumber slice;2026-08-03;1;607.0;slice;407.22231390499354;199.77768609500646;19.58;Moderate;MI-011;MI-011-STANDARD;Karaage Bento;2.105263;95;;2026-08-02;2026-08-03;;19.58;Feature or discount Karaage Bento to help sell through 200slice of Cucumber slice before it expires on 2026-08-03.;True
EA-a3edee78-7784-45a4-bad4-6f09ea518977;2026-08-02;LOT-LEAF-001-1;LEAF-001;Mixed leaf salad;2026-08-03;1;87617.0;g;58923.58247557953;28693.41752442047;351.21;Moderate;MI-014;MI-014-LARGE;Create Your Own - Sous-vide Chicken - Large;74.017951;388;;2026-08-02;2026-08-03;;351.21;Feature or discount Create Your Own - Sous-vide Chicken - Large to help sell through 28693g of Mixed leaf salad before it expires on 2026-08-03.;True
EA-273ff48d-8b43-4b1c-bd6e-4d86e27b101b;2026-08-02;LOT-LEAF-002-1;LEAF-002;Baby spinach;2026-08-03;1;3467.0;g;2320.5269368484196;1146.4730631515802;13.48;Moderate;MI-006;MI-006-LARGE;Poke Bowl - Large;42.553191;27;;2026-08-02;2026-08-03;;13.48;Feature or discount Poke Bowl - Large to help sell through 1146g of Baby spinach before it expires on 2026-08-03.;True
