order_recommendation_id;recommendation_date;ingredient_id;ingredient_name;unit;order_required;forecast_demand_quantity;usable_current_inventory_quantity;safety_stock_quantity;raw_order_requirement_quantity;recommended_order_packs;pack_size;recommended_order_quantity;projected_end_stock_after_order;supplier_id;supplier_name;unit_cost_aud;line_subtotal_aud;supplier_delivery_fee_aud;estimated_total_supplier_order_aud;order_cutoff_time;expected_delivery_date;order_urgency;recommendation_reason;is_synthetic
OR-905a92a2-35c4-4a05-8387-c707af6223b5;2026-08-04;BASE-001;Cooked jasmine rice;g;True;1382239.6038212879;696249.0;208875.0;968000.0;968;1000.0;968000.0;968000.0;SUP-PRODUCE;Fresh Produce Direct;0.00416;4026.88;0.0;4026.88;14:00:00;2026-08-05;Urgent;"Projected to cross the reorder point on 2026-08-04; ordering now covers roughly the next 7 days.";True
OR-1f82a932-1c0b-40f3-8eaf-2ce33d9f294d;2026-08-04;BASE-002;Cooked brown rice;g;True;61480.175856461865;31122.0;9337.0;44000.0;44;1000.0;44000.0;44000.0;SUP-PRODUCE;Fresh Produce Direct;0.00432;190.08;20.0;210.08;14:00:00;2026-08-05;Urgent;"Projected to cross the reorder point on 2026-08-04; ordering now covers roughly the next 7 days.";True
OR-52b55554-773a-40f3-84cb-2c688ca82fb2;2026-08-04;BASE-003;Turmeric coconut rice;g;True;138782.7634102574;69798.0;20939.0;98000.0;98;1000.0;98000.0;98000.0;SUP-PRODUCE;Fresh Produce Direct;0.0038;372.4;0.0;372.4;14:00:00;2026-08-05;Urgent;"Projected to cross the reorder point on 2026-08-04; ordering now covers roughly the next 7 days.";True
OR-a7be694e-013e-4bc8-a592-3599652c4bb9;2026-08-03;DRNK-001;Coconut water 330ml;ea;True;239.25990591592003;122.0;37.0;168.0;7;24.0;168.0;168.0;SUP-DRINK;Beverage Hub;1.552;260.75;0.0;260.75;14:00:00;2026-08-06;Urgent;"Projected to cross the reorder point on 2026-08-03; ordering now covers roughly the next 7 days.";True
OR-c997c502-bc86-493d-a1c4-f7729913b5f5;2026-08-03;DRNK-002;Cold pressed juice - Watermelon Lime 300ml;ea;True;224.88655067555607;113.0;34.0;168.0;7;24.0;168.0;168.0;SUP-DRINK;Beverage Hub;1.616;271.46;0.0;271.46;14:00:00;2026-08-06;Urgent;"Projected to cross the reorder point on 2026-08-03; ordering now covers roughly the next 7 days.";True
OR-cb285c12-c90c-4b24-9b96-3e5b06ed029e;2026-08-03;DRNK-003;Cold pressed juice - Classic OJ 300ml;ea;True;225.5474681056128;114.0;34.0;168.0;7;24.0;168.0;168.0;SUP-DRINK;Beverage Hub;1.68;282.24;0.0;282.24;14:00:00;2026-08-06;Urgent;"Projected to cross the reorder point on 2026-08-03; ordering now covers roughly the next 7 days.";True
OR-ac97e3cc-cade-4934-b51d-8a525c86b266;2026-08-03;DRNK-004;Cold pressed juice - Pineapple Mint 300ml;ea;True;223.5276730703444;113.0;34.0;168.0;7;24.0;168.0;168.0;SUP-DRINK;Beverage Hub;1.504;252.7;0.0;252.7;14:00:00;2026-08-06;Urgent;"Projected to cross the reorder point on 2026-08-03; ordering now covers roughly the next 7 days.";True
OR-c0bc8e47-3c20-4a26-ba37-339e51f82a95;2026-08-03;DRNK-005;Dash sparkling water - Lime 330ml;ea;True;249.15746749786126;125.0;38.0;192.0;8;24.0;192.0;192.0;SUP-DRINK;Beverage Hub;1.568;301.04;0.0;301.04;14:00:00;2026-08-06;Urgent;"Projected to cross the reorder point on 2026-08-03; ordering now covers roughly the next 7 days.";True
OR-795e7d92-bc4f-4b58-b496-c2a8c4bb47fc;2026-08-03;DRNK-006;Dash sparkling water - Raspberry 330ml;ea;True;245.05887708507606;124.0;37.0;192.0;8;24.0;192.0;192.0;SUP-DRINK;Beverage Hub;1.632;313.36;0.0;313.36;14:00:00;2026-08-06;Urgent;"Projected to cross the reorder point on 2026-08-03; ordering now covers roughly the next 7 days.";True
OR-bbfd269b-2491-45bd-8b07-c093935e4009;2026-08-03;DRNK-007;Dash sparkling water - Peach 330ml;ea;True;246.38230800899626;124.0;37.0;192.0;8;24.0;192.0;192.0;SUP-DRINK;Beverage Hub;1.696;325.6;0.0;325.6;14:00:00;2026-08-06;Urgent;"Projected to cross the reorder point on 2026-08-03; ordering now covers roughly the next 7 days.";True
