"order_recommendation_id";"recommendation_date";"ingredient_id";"ingredient_name";"unit";"order_required";"forecast_demand_quantity";"usable_current_inventory_quantity";"safety_stock_quantity";"raw_order_requirement_quantity";"recommended_order_packs";"pack_size";"recommended_order_quantity";"projected_end_stock_after_order";"supplier_id";"supplier_name";"unit_cost_aud";"line_subtotal_aud";"supplier_delivery_fee_aud";"estimated_total_supplier_order_aud";"order_cutoff_time";"expected_delivery_date";"order_urgency";"recommendation_reason";"is_synthetic"
"ORD-0001";"2026-08-02";"BASE-001";"Cooked jasmine rice";"g";"true";"1435708.063";"522186.75";"208875";"1122396.313";"1123";"1000";"1123000";"209478.687";"SUP-PRODUCE";"Fresh Produce Direct";"0.00416";"4671.68";"20";"4691.68";"14:00:00";"2026-08-03";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0002";"2026-08-02";"BASE-002";"Cooked brown rice";"g";"true";"64207.603";"23341.5";"9337";"50203.103";"51";"1000";"51000";"10133.897";"SUP-PRODUCE";"Fresh Produce Direct";"0.00432";"220.32";"20";"240.32";"14:00:00";"2026-08-03";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0003";"2026-08-02";"BASE-003";"Turmeric coconut rice";"g";"true";"143960.206";"52348.5";"20939";"112550.706";"113";"1000";"113000";"21388.294";"SUP-PRODUCE";"Fresh Produce Direct";"0.0038";"429.4";"20";"449.4";"14:00:00";"2026-08-03";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0004";"2026-08-02";"DRNK-001";"Coconut water 330ml";"ea";"true";"251.065";"122";"37";"166.065";"7";"24";"168";"38.935";"SUP-DRINK";"Beverage Hub";"1.552";"260.74";"18";"278.74";"14:00:00";"2026-08-05";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0005";"2026-08-02";"DRNK-002";"Cold pressed juice - Watermelon Lime 300ml";"ea";"true";"233.074";"113";"34";"154.074";"7";"24";"168";"47.926";"SUP-DRINK";"Beverage Hub";"1.616";"271.49";"18";"289.49";"14:00:00";"2026-08-05";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0006";"2026-08-02";"DRNK-003";"Cold pressed juice - Classic OJ 300ml";"ea";"true";"234.886";"114";"34";"154.886";"7";"24";"168";"47.114";"SUP-DRINK";"Beverage Hub";"1.68";"282.24";"18";"300.24";"14:00:00";"2026-08-05";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0007";"2026-08-02";"DRNK-004";"Cold pressed juice - Pineapple Mint 300ml";"ea";"true";"231.546";"113";"34";"152.546";"7";"24";"168";"49.454";"SUP-DRINK";"Beverage Hub";"1.504";"252.67";"18";"270.67";"14:00:00";"2026-08-05";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0008";"2026-08-02";"DRNK-005";"Dash sparkling water - Lime 330ml";"ea";"true";"257.407";"125";"38";"170.407";"8";"24";"192";"59.593";"SUP-DRINK";"Beverage Hub";"1.568";"301.06";"18";"319.06";"14:00:00";"2026-08-05";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0009";"2026-08-02";"DRNK-006";"Dash sparkling water - Raspberry 330ml";"ea";"true";"255.856";"124";"37";"168.856";"8";"24";"192";"60.144";"SUP-DRINK";"Beverage Hub";"1.632";"313.34";"18";"331.34";"14:00:00";"2026-08-05";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0010";"2026-08-02";"DRNK-007";"Dash sparkling water - Peach 330ml";"ea";"true";"256.268";"124";"37";"169.268";"8";"24";"192";"59.732";"SUP-DRINK";"Beverage Hub";"1.696";"325.63";"18";"343.63";"14:00:00";"2026-08-05";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0011";"2026-08-02";"DRNK-008";"Kombucha - Ginger Lemon 330ml";"ea";"true";"255.139";"124";"37";"168.139";"8";"24";"192";"60.861";"SUP-DRINK";"Beverage Hub";"1.52";"291.84";"18";"309.84";"14:00:00";"2026-08-05";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0012";"2026-08-02";"DRNK-009";"Kombucha - Lemon Lime Mint 330ml";"ea";"true";"253.341";"123";"37";"167.341";"7";"24";"168";"37.659";"SUP-DRINK";"Beverage Hub";"1.584";"266.11";"18";"284.11";"14:00:00";"2026-08-05";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0013";"2026-08-02";"DRNK-010";"Kombucha - Peach 330ml";"ea";"true";"257.684";"125";"38";"170.684";"8";"24";"192";"59.316";"SUP-DRINK";"Beverage Hub";"1.472";"282.62";"18";"300.62";"14:00:00";"2026-08-05";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0014";"2026-08-02";"DRNK-011";"Kombucha - Raspberry Lemonade 330ml";"ea";"true";"256.286";"124";"37";"169.286";"8";"24";"192";"59.714";"SUP-DRINK";"Beverage Hub";"1.68";"322.56";"18";"340.56";"14:00:00";"2026-08-05";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0015";"2026-08-02";"DRNK-012";"Sodaly - Passionfruit 330ml";"ea";"true";"258.446";"126";"38";"170.446";"8";"24";"192";"59.554";"SUP-DRINK";"Beverage Hub";"1.616";"310.27";"18";"328.27";"14:00:00";"2026-08-05";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0016";"2026-08-02";"DRNK-013";"Sodaly - Guava 330ml";"ea";"true";"256.562";"125";"37";"168.562";"8";"24";"192";"60.438";"SUP-DRINK";"Beverage Hub";"1.552";"297.98";"18";"315.98";"14:00:00";"2026-08-05";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0017";"2026-08-02";"DRNK-014";"Sodaly - Raspberry 330ml";"ea";"true";"260.674";"127";"38";"171.674";"8";"24";"192";"58.326";"SUP-DRINK";"Beverage Hub";"1.488";"285.7";"18";"303.7";"14:00:00";"2026-08-05";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0018";"2026-08-02";"DRNK-015";"Sparkling water 500ml";"ea";"true";"390.427";"190";"57";"257.427";"11";"24";"264";"63.573";"SUP-DRINK";"Beverage Hub";"1.696";"447.74";"18";"465.74";"14:00:00";"2026-08-05";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0019";"2026-08-02";"DRNK-016";"Specialty soda - Gingerella 330ml";"ea";"true";"253.666";"123";"37";"167.666";"7";"24";"168";"37.334";"SUP-DRINK";"Beverage Hub";"1.632";"274.18";"18";"292.18";"14:00:00";"2026-08-05";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0020";"2026-08-02";"DRNK-017";"Specialty soda - Karma Cola 330ml";"ea";"true";"256.593";"125";"37";"168.593";"8";"24";"192";"60.407";"SUP-DRINK";"Beverage Hub";"1.568";"301.06";"18";"319.06";"14:00:00";"2026-08-05";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0021";"2026-08-02";"DRNK-018";"Specialty soda - Lemmy 330ml";"ea";"true";"254.051";"123";"37";"168.051";"8";"24";"192";"60.949";"SUP-DRINK";"Beverage Hub";"1.504";"288.77";"18";"306.77";"14:00:00";"2026-08-05";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
