recipe_line_id;menu_item_id;menu_item_name;ingredient_id;ingredient_name;quantity_per_portion;unit;preparation_loss_pct;effective_quantity_per_portion;
RL-0001;MI-001;Chicken Teriyaki Bowl - Small;BASE-001;Cooked jasmine rice;150;g;2%;153.061;
RL-0002;MI-001;Chicken Teriyaki Bowl - Small;LEAF-001;Mixed leaf salad;30;g;8%;32.609;
RL-0003;MI-001;Chicken Teriyaki Bowl - Small;PROT-001;Seared chicken;80;g;5%;84.211;
RL-0004;MI-001;Chicken Teriyaki Bowl - Small;SAUC-001;Teriyaki sauce;30;g;3%;30.928;
RL-0005;MI-001;Chicken Teriyaki Bowl - Small;SAUC-002;Japanese mayo;10;g;3%;10.309;
RL-0006;MI-001;Chicken Teriyaki Bowl - Small;GARN-001;Edamame;0.25;cup;3%;0.258;
RL-0007;MI-001;Chicken Teriyaki Bowl - Small;GARN-002;Pickled ginger;10;g;2%;10.204;
RL-0008;MI-001;Chicken Teriyaki Bowl - Small;GARN-003;Crispy shallots;1;spoon;2%;1.02;
RL-0009;MI-001;Chicken Teriyaki Bowl - Small;GARN-004;Nori strips;2;g;0%;2;
RL-0010;MI-001;Chicken Teriyaki Bowl - Large;BASE-001;Cooked jasmine rice;250;g;2%;255.102;
RL-0011;MI-001;Chicken Teriyaki Bowl - Large;LEAF-001;Mixed leaf salad;40;g;8%;43.478;
RL-0012;MI-001;Chicken Teriyaki Bowl - Large;PROT-001;Seared chicken;110;g;5%;115.789;
RL-0013;MI-001;Chicken Teriyaki Bowl - Large;SAUC-001;Teriyaki sauce;40;g;3%;41.237;
RL-0014;MI-001;Chicken Teriyaki Bowl - Large;SAUC-002;Japanese mayo;10;g;3%;10.309;
RL-0015;MI-001;Chicken Teriyaki Bowl - Large;GARN-001;Edamame;0.25;cup;3%;0.258;
RL-0016;MI-001;Chicken Teriyaki Bowl - Large;GARN-002;Pickled ginger;10;g;2%;10.204;
RL-0017;MI-001;Chicken Teriyaki Bowl - Large;GARN-003;Crispy shallots;1;spoon;2%;1.02;
RL-0018;MI-001;Chicken Teriyaki Bowl - Large;GARN-004;Nori strips;2;g;0%;2;
RL-0019;MI-007;Wagyu Beef Bowl - Small;BASE-001;Cooked jasmine rice;150;g;2%;153.061;
RL-0020;MI-007;Wagyu Beef Bowl - Small;LEAF-001;Mixed leaf salad;30;g;8%;32.609;
RL-0021;MI-007;Wagyu Beef Bowl - Small;PROT-004;Flame-seared wagyu;60;g;8%;65.217;
RL-0022;MI-007;Wagyu Beef Bowl - Small;SAUC-001;Teriyaki sauce;30;g;3%;30.928;
RL-0023;MI-007;Wagyu Beef Bowl - Small;GARN-001;Edamame;0.25;cup;3%;0.258;
RL-0024;MI-007;Wagyu Beef Bowl - Small;GARN-002;Pickled ginger;10;g;2%;10.204;
RL-0025;MI-007;Wagyu Beef Bowl - Small;GARN-003;Crispy shallots;1;spoon;2%;1.02;
RL-0026;MI-007;Wagyu Beef Bowl - Small;GARN-004;Nori strips;2;g;0%;2;
RL-0027;MI-007;Wagyu Beef Bowl - Small;GARN-006;63-degree egg;1;ea;5%;1.053;
RL-0028;MI-007;Wagyu Beef Bowl - Large;BASE-001;Cooked jasmine rice;250;g;2%;255.102;
RL-0029;MI-007;Wagyu Beef Bowl - Large;LEAF-001;Mixed leaf salad;40;g;8%;43.478;
RL-0030;MI-007;Wagyu Beef Bowl - Large;PROT-004;Flame-seared wagyu;80;g;8%;86.957;
RL-0031;MI-007;Wagyu Beef Bowl - Large;SAUC-001;Teriyaki sauce;40;g;3%;41.237;
RL-0032;MI-007;Wagyu Beef Bowl - Large;GARN-001;Edamame;0.25;cup;3%;0.258;
RL-0033;MI-007;Wagyu Beef Bowl - Large;GARN-002;Pickled ginger;10;g;2%;10.204;
RL-0034;MI-007;Wagyu Beef Bowl - Large;GARN-003;Crispy shallots;1;spoon;2%;1.02;
RL-0035;MI-007;Wagyu Beef Bowl - Large;GARN-004;Nori strips;2;g;0%;2;
RL-0036;MI-007;Wagyu Beef Bowl - Large;GARN-006;63-degree egg;1;ea;5%;1.053;
RL-0037;MI-008;Karaage Chicken Bowl - Small;BASE-001;Cooked jasmine rice;150;g;2%;153.061;
RL-0038;MI-008;Karaage Chicken Bowl - Small;LEAF-001;Mixed leaf salad;10;g;8%;10.87;
RL-0039;MI-008;Karaage Chicken Bowl - Small;PROT-003;Karaage chicken;100;g;3%;103.093;
RL-0040;MI-008;Karaage Chicken Bowl - Small;SAUC-001;Teriyaki sauce;30;g;3%;30.928;
RL-0041;MI-008;Karaage Chicken Bowl - Small;SAUC-003;Spicy mayo;10;g;3%;10.309;
RL-0042;MI-008;Karaage Chicken Bowl - Small;GARN-001;Edamame;0.25;cup;3%;0.258;
RL-0043;MI-008;Karaage Chicken Bowl - Small;GARN-002;Pickled ginger;10;g;2%;10.204;
RL-0044;MI-008;Karaage Chicken Bowl - Large;BASE-001;Cooked jasmine rice;250;g;2%;255.102;
RL-0045;MI-008;Karaage Chicken Bowl - Large;LEAF-001;Mixed leaf salad;15;g;8%;16.304;
RL-0046;MI-008;Karaage Chicken Bowl - Large;PROT-003;Karaage chicken;130;g;3%;134.021;
RL-0047;MI-008;Karaage Chicken Bowl - Large;SAUC-001;Teriyaki sauce;40;g;3%;41.237;
RL-0048;MI-008;Karaage Chicken Bowl - Large;SAUC-003;Spicy mayo;10;g;3%;10.309;
RL-0049;MI-008;Karaage Chicken Bowl - Large;GARN-001;Edamame;0.25;cup;3%;0.258;
RL-0050;MI-008;Karaage Chicken Bowl - Large;GARN-002;Pickled ginger;10;g;2%;10.204;
RL-0051;MI-003;Miso Eggplant Bowl - Small;BASE-001;Cooked jasmine rice;150;g;2%;153.061;
RL-0052;MI-003;Miso Eggplant Bowl - Small;LEAF-001;Mixed leaf salad;10;g;8%;10.87;
RL-0053;MI-003;Miso Eggplant Bowl - Small;PROT-011;Crispy eggplant;100;g;5%;105.263;
RL-0054;MI-003;Miso Eggplant Bowl - Small;SAUC-004;Sweet miso sauce;30;g;3%;30.928;
RL-0055;MI-003;Miso Eggplant Bowl - Small;GARN-001;Edamame;0.25;cup;3%;0.258;
RL-0056;MI-003;Miso Eggplant Bowl - Small;GARN-002;Pickled ginger;10;g;2%;10.204;
RL-0057;MI-003;Miso Eggplant Bowl - Small;GARN-003;Crispy shallots;1;spoon;2%;1.02;
RL-0058;MI-003;Miso Eggplant Bowl - Small;GARN-004;Nori strips;2;g;0%;2;
RL-0059;MI-003;Miso Eggplant Bowl - Large;BASE-001;Cooked jasmine rice;250;g;2%;255.102;
RL-0060;MI-003;Miso Eggplant Bowl - Large;LEAF-001;Mixed leaf salad;15;g;8%;16.304;
RL-0061;MI-003;Miso Eggplant Bowl - Large;PROT-011;Crispy eggplant;130;g;5%;136.842;
RL-0062;MI-003;Miso Eggplant Bowl - Large;SAUC-004;Sweet miso sauce;40;g;3%;41.237;
RL-0063;MI-003;Miso Eggplant Bowl - Large;GARN-001;Edamame;0.25;cup;3%;0.258;
RL-0064;MI-003;Miso Eggplant Bowl - Large;GARN-002;Pickled ginger;10;g;2%;10.204;
RL-0065;MI-003;Miso Eggplant Bowl - Large;GARN-003;Crispy shallots;1;spoon;2%;1.02;
RL-0066;MI-003;Miso Eggplant Bowl - Large;GARN-004;Nori strips;2;g;0%;2;
RL-0067;MI-005;Sashimi Bowl - Small;BASE-001;Cooked jasmine rice;150;g;2%;153.061;
RL-0068;MI-005;Sashimi Bowl - Small;SEAS-002;Furikake;2;g;0%;2;
RL-0069;MI-005;Sashimi Bowl - Small;LEAF-001;Mixed leaf salad;10;g;8%;10.87;
RL-0070;MI-005;Sashimi Bowl - Small;PROT-006;Sashimi salmon;30;g;12%;34.091;
RL-0071;MI-005;Sashimi Bowl - Small;PROT-007;Sashimi tuna;60;g;10%;66.667;
RL-0072;MI-005;Sashimi Bowl - Small;SAUC-005;Shoyu;30;g;3%;30.928;
RL-0073;MI-005;Sashimi Bowl - Small;GARN-001;Edamame;0.25;cup;3%;0.258;
RL-0074;MI-005;Sashimi Bowl - Small;GARN-002;Pickled ginger;10;g;2%;10.204;
RL-0075;MI-005;Sashimi Bowl - Small;GARN-010;Avocado;40;g;25%;53.333;
RL-0076;MI-005;Sashimi Bowl - Small;GARN-004;Nori strips;2;g;0%;2;
RL-0077;MI-005;Sashimi Bowl - Large;BASE-001;Cooked jasmine rice;250;g;2%;255.102;
RL-0078;MI-005;Sashimi Bowl - Large;SEAS-002;Furikake;2;g;0%;2;
RL-0079;MI-005;Sashimi Bowl - Large;LEAF-001;Mixed leaf salad;15;g;8%;16.304;
RL-0080;MI-005;Sashimi Bowl - Large;PROT-006;Sashimi salmon;40;g;12%;45.455;
RL-0081;MI-005;Sashimi Bowl - Large;PROT-007;Sashimi tuna;80;g;10%;88.889;
RL-0082;MI-005;Sashimi Bowl - Large;SAUC-005;Shoyu;40;g;3%;41.237;
RL-0083;MI-005;Sashimi Bowl - Large;GARN-001;Edamame;0.25;cup;3%;0.258;
RL-0084;MI-005;Sashimi Bowl - Large;GARN-002;Pickled ginger;10;g;2%;10.204;
RL-0085;MI-005;Sashimi Bowl - Large;GARN-010;Avocado;40;g;25%;53.333;
RL-0086;MI-005;Sashimi Bowl - Large;GARN-004;Nori strips;2;g;0%;2;
RL-0087;MI-006;Poke Bowl - Small;BASE-003;Turmeric coconut rice;150;g;2%;153.061;
RL-0088;MI-006;Poke Bowl - Small;LEAF-002;Baby spinach;30;g;6%;31.915;
RL-0089;MI-006;Poke Bowl - Small;PROT-006;Sashimi salmon;65;g;12%;73.864;
RL-0090;MI-006;Poke Bowl - Small;SAUC-006;Creamy roasted sesame;30;g;3%;30.928;
RL-0091;MI-006;Poke Bowl - Small;GARN-001;Edamame;0.25;cup;3%;0.258;
RL-0092;MI-006;Poke Bowl - Small;GARN-002;Pickled ginger;10;g;2%;10.204;
RL-0093;MI-006;Poke Bowl - Small;GARN-003;Crispy shallots;1;spoon;2%;1.02;
RL-0094;MI-006;Poke Bowl - Small;GARN-004;Nori strips;2;g;0%;2;
RL-0095;MI-006;Poke Bowl - Large;BASE-003;Turmeric coconut rice;250;g;2%;255.102;
RL-0096;MI-006;Poke Bowl - Large;LEAF-002;Baby spinach;40;g;6%;42.553;
RL-0097;MI-006;Poke Bowl - Large;PROT-006;Sashimi salmon;95;g;12%;107.955;
RL-0098;MI-006;Poke Bowl - Large;SAUC-006;Creamy roasted sesame;40;g;3%;41.237;
RL-0099;MI-006;Poke Bowl - Large;GARN-001;Edamame;0.25;cup;3%;0.258;
RL-0100;MI-006;Poke Bowl - Large;GARN-002;Pickled ginger;10;g;2%;10.204;
RL-0101;MI-006;Poke Bowl - Large;GARN-003;Crispy shallots;1;spoon;2%;1.02;
RL-0102;MI-006;Poke Bowl - Large;GARN-004;Nori strips;2;g;0%;2;
RL-0103;MI-067;Aburi Salmon Bowl - Small;BASE-003;Turmeric coconut rice;150;g;2%;153.061;
RL-0104;MI-067;Aburi Salmon Bowl - Small;LEAF-002;Baby spinach;30;g;6%;31.915;
RL-0105;MI-067;Aburi Salmon Bowl - Small;PROT-005;Aburi salmon;65;g;12%;73.864;
RL-0106;MI-067;Aburi Salmon Bowl - Small;SAUC-006;Creamy roasted sesame;30;g;3%;30.928;
RL-0107;MI-067;Aburi Salmon Bowl - Small;GARN-001;Edamame;0.25;cup;3%;0.258;
RL-0108;MI-067;Aburi Salmon Bowl - Small;GARN-002;Pickled ginger;10;g;2%;10.204;
RL-0109;MI-067;Aburi Salmon Bowl - Small;GARN-003;Crispy shallots;1;spoon;2%;1.02;
RL-0110;MI-067;Aburi Salmon Bowl - Small;GARN-004;Nori strips;2;g;0%;2;
RL-0111;MI-067;Aburi Salmon Bowl - Large;BASE-003;Turmeric coconut rice;250;g;2%;255.102;
RL-0112;MI-067;Aburi Salmon Bowl - Large;LEAF-002;Baby spinach;40;g;6%;42.553;
RL-0113;MI-067;Aburi Salmon Bowl - Large;PROT-005;Aburi salmon;95;g;12%;107.955;
RL-0114;MI-067;Aburi Salmon Bowl - Large;SAUC-006;Creamy roasted sesame;40;g;3%;41.237;
RL-0115;MI-067;Aburi Salmon Bowl - Large;GARN-001;Edamame;0.25;cup;3%;0.258;
RL-0116;MI-067;Aburi Salmon Bowl - Large;GARN-002;Pickled ginger;10;g;2%;10.204;
RL-0117;MI-067;Aburi Salmon Bowl - Large;GARN-003;Crispy shallots;1;spoon;2%;1.02;
RL-0118;MI-067;Aburi Salmon Bowl - Large;GARN-004;Nori strips;2;g;0%;2;
RL-0119;MI-004;Miso Falalalafel - Small;BASE-003;Turmeric coconut rice;150;g;2%;153.061;
RL-0120;MI-004;Miso Falalalafel - Small;LEAF-001;Mixed leaf salad;10;g;8%;10.87;
RL-0121;MI-004;Miso Falalalafel - Small;PROT-010;Miso beet falafel;4;ea;2%;4.082;
RL-0122;MI-004;Miso Falalalafel - Small;SAUC-003;Spicy mayo;30;g;3%;30.928;
RL-0123;MI-004;Miso Falalalafel - Small;GARN-001;Edamame;0.25;cup;3%;0.258;
RL-0124;MI-004;Miso Falalalafel - Small;GARN-011;Pineapple;30;g;20%;37.5;
RL-0125;MI-004;Miso Falalalafel - Small;GARN-010;Avocado;40;g;25%;53.333;
