"_id";"date";"total_reservation";"total_people"
"RES-00001";"2024-01-01";"32";"77"
"RES-00002";"2024-01-02";"21";"49"
"RES-00003";"2024-01-03";"16";"40"
"RES-00004";"2024-01-04";"23";"50"
"RES-00005";"2024-01-05";"21";"47"
"RES-00006";"2024-01-06";"36";"75"
"RES-00007";"2024-01-07";"22";"52"
"RES-00008";"2024-01-08";"19";"40"
"RES-00009";"2024-01-09";"24";"59"
"RES-00010";"2024-01-10";"16";"40"
"RES-00011";"2024-01-11";"31";"82"
"RES-00012";"2024-01-12";"24";"53"
"RES-00013";"2024-01-13";"33";"78"
"RES-00014";"2024-01-14";"35";"79"
"RES-00015";"2024-01-15";"22";"47"
"RES-00016";"2024-01-16";"19";"51"
"RES-00017";"2024-01-17";"17";"39"
"RES-00018";"2024-01-18";"19";"49"
"RES-00019";"2024-01-19";"24";"55"
"RES-00020";"2024-01-20";"32";"81"
"RES-00021";"2024-01-21";"33";"82"
"RES-00022";"2024-01-22";"18";"39"
"RES-00023";"2024-01-23";"29";"60"
"RES-00024";"2024-01-24";"14";"30"
"RES-00025";"2024-01-25";"16";"38"
"RES-00026";"2024-01-26";"21";"46"
"RES-00027";"2024-01-27";"29";"68"
"RES-00028";"2024-01-28";"32";"78"
"RES-00029";"2024-01-29";"32";"76"
"RES-00030";"2024-01-30";"10";"21"
"RES-00031";"2024-01-31";"19";"42"
"RES-00032";"2024-02-01";"20";"47"
"RES-00033";"2024-02-02";"19";"44"
"RES-00034";"2024-02-03";"35";"77"
"RES-00035";"2024-02-04";"27";"60"
"RES-00036";"2024-02-05";"26";"64"
"RES-00037";"2024-02-06";"25";"54"
"RES-00038";"2024-02-07";"14";"28"
"RES-00039";"2024-02-08";"17";"39"
"RES-00040";"2024-02-09";"17";"42"
"RES-00041";"2024-02-10";"24";"64"
"RES-00042";"2024-02-11";"51";"136"
"RES-00043";"2024-02-12";"19";"47"
"RES-00044";"2024-02-13";"15";"37"
"RES-00045";"2024-02-14";"17";"37"
"RES-00046";"2024-02-15";"12";"26"
"RES-00047";"2024-02-16";"18";"46"
"RES-00048";"2024-02-17";"27";"66"
"RES-00049";"2024-02-18";"34";"81"
"RES-00050";"2024-02-19";"24";"58"
"RES-00051";"2024-02-20";"27";"70"
"RES-00052";"2024-02-21";"24";"55"
"RES-00053";"2024-02-22";"24";"58"
"RES-00054";"2024-02-23";"16";"35"
"RES-00055";"2024-02-24";"32";"82"
"RES-00056";"2024-02-25";"33";"83"
"RES-00057";"2024-02-26";"20";"41"
"RES-00058";"2024-02-27";"15";"28"
"RES-00059";"2024-02-28";"24";"58"
"RES-00060";"2024-02-29";"19";"47"
"RES-00061";"2024-03-01";"18";"44"
"RES-00062";"2024-03-02";"29";"78"
"RES-00063";"2024-03-03";"35";"88"
"RES-00064";"2024-03-04";"25";"55"
"RES-00065";"2024-03-05";"16";"35"
"RES-00066";"2024-03-06";"23";"65"
"RES-00067";"2024-03-07";"22";"56"
"RES-00068";"2024-03-08";"23";"53"
"RES-00069";"2024-03-09";"28";"65"
"RES-00070";"2024-03-10";"34";"77"
"RES-00071";"2024-03-11";"18";"48"
"RES-00072";"2024-03-12";"25";"62"
"RES-00073";"2024-03-13";"18";"47"
"RES-00074";"2024-03-14";"23";"60"
"RES-00075";"2024-03-15";"27";"64"
"RES-00076";"2024-03-16";"41";"97"
"RES-00077";"2024-03-17";"34";"86"
"RES-00078";"2024-03-18";"9";"23"
"RES-00079";"2024-03-19";"16";"34"
"RES-00080";"2024-03-20";"24";"59"
"RES-00081";"2024-03-21";"16";"44"
"RES-00082";"2024-03-22";"27";"68"
"RES-00083";"2024-03-23";"31";"84"
"RES-00084";"2024-03-24";"33";"76"
"RES-00085";"2024-03-25";"23";"52"
"RES-00086";"2024-03-26";"18";"45"
"RES-00087";"2024-03-27";"33";"76"
"RES-00088";"2024-03-28";"24";"56"
"RES-00089";"2024-03-29";"29";"61"
"RES-00090";"2024-03-30";"35";"67"
"RES-00091";"2024-03-31";"38";"97"
"RES-00092";"2024-04-01";"25";"54"
"RES-00093";"2024-04-02";"18";"43"
"RES-00094";"2024-04-03";"19";"47"
"RES-00095";"2024-04-04";"19";"49"
"RES-00096";"2024-04-05";"23";"50"
"RES-00097";"2024-04-06";"32";"73"
"RES-00098";"2024-04-07";"35";"82"
"RES-00099";"2024-04-08";"20";"51"
"RES-00100";"2024-04-09";"17";"41"
"RES-00101";"2024-04-10";"18";"41"
"RES-00102";"2024-04-11";"21";"54"
"RES-00103";"2024-04-12";"18";"42"
"RES-00104";"2024-04-13";"28";"62"
"RES-00105";"2024-04-14";"27";"62"
"RES-00106";"2024-04-15";"21";"46"
"RES-00107";"2024-04-16";"21";"41"
"RES-00108";"2024-04-17";"19";"48"
"RES-00109";"2024-04-18";"20";"46"
"RES-00110";"2024-04-19";"17";"39"
"RES-00111";"2024-04-20";"40";"92"
"RES-00112";"2024-04-21";"32";"80"
"RES-00113";"2024-04-22";"20";"46"
"RES-00114";"2024-04-23";"22";"51"
"RES-00115";"2024-04-24";"12";"28"
"RES-00116";"2024-04-25";"39";"88"
"RES-00117";"2024-04-26";"31";"67"
"RES-00118";"2024-04-27";"37";"87"
"RES-00119";"2024-04-28";"25";"62"
