"_id";"date";"menu_id";"amount_sold"
"SAL-0000001";"2024-01-01";"MI-001";"25"
"SAL-0000002";"2024-01-01";"MI-002";"14"
"SAL-0000003";"2024-01-01";"MI-003";"22"
"SAL-0000004";"2024-01-01";"MI-004";"17"
"SAL-0000005";"2024-01-01";"MI-005";"21"
"SAL-0000006";"2024-01-01";"MI-006";"20"
"SAL-0000007";"2024-01-01";"MI-007";"19"
"SAL-0000008";"2024-01-01";"MI-008";"9"
"SAL-0000009";"2024-01-01";"MI-009";"12"
"SAL-0000010";"2024-01-01";"MI-010";"12"
"SAL-0000011";"2024-01-01";"MI-011";"20"
"SAL-0000012";"2024-01-01";"MI-012";"7"
"SAL-0000013";"2024-01-01";"MI-013";"12"
"SAL-0000014";"2024-01-01";"MI-014";"5"
"SAL-0000015";"2024-01-01";"MI-015";"13"
"SAL-0000016";"2024-01-02";"MI-001";"12"
"SAL-0000017";"2024-01-02";"MI-002";"10"
"SAL-0000018";"2024-01-02";"MI-003";"23"
"SAL-0000019";"2024-01-02";"MI-004";"19"
"SAL-0000020";"2024-01-02";"MI-005";"15"
"SAL-0000021";"2024-01-02";"MI-006";"12"
"SAL-0000022";"2024-01-02";"MI-007";"18"
"SAL-0000023";"2024-01-02";"MI-008";"9"
"SAL-0000024";"2024-01-02";"MI-009";"8"
"SAL-0000025";"2024-01-02";"MI-010";"11"
"SAL-0000026";"2024-01-02";"MI-011";"14"
"SAL-0000027";"2024-01-02";"MI-012";"9"
"SAL-0000028";"2024-01-02";"MI-013";"15"
"SAL-0000029";"2024-01-02";"MI-014";"5"
"SAL-0000030";"2024-01-02";"MI-015";"8"
"SAL-0000031";"2024-01-03";"MI-001";"16"
"SAL-0000032";"2024-01-03";"MI-002";"13"
"SAL-0000033";"2024-01-03";"MI-003";"16"
"SAL-0000034";"2024-01-03";"MI-004";"9"
"SAL-0000035";"2024-01-03";"MI-005";"18"
"SAL-0000036";"2024-01-03";"MI-006";"5"
"SAL-0000037";"2024-01-03";"MI-007";"12"
"SAL-0000038";"2024-01-03";"MI-008";"12"
"SAL-0000039";"2024-01-03";"MI-009";"8"
"SAL-0000040";"2024-01-03";"MI-010";"6"
"SAL-0000041";"2024-01-03";"MI-011";"17"
"SAL-0000042";"2024-01-03";"MI-012";"7"
"SAL-0000043";"2024-01-03";"MI-013";"15"
"SAL-0000044";"2024-01-03";"MI-014";"5"
"SAL-0000045";"2024-01-03";"MI-015";"13"
"SAL-0000046";"2024-01-04";"MI-001";"26"
"SAL-0000047";"2024-01-04";"MI-002";"18"
"SAL-0000048";"2024-01-04";"MI-003";"10"
"SAL-0000049";"2024-01-04";"MI-004";"5"
"SAL-0000050";"2024-01-04";"MI-005";"20"
"SAL-0000051";"2024-01-04";"MI-006";"15"
"SAL-0000052";"2024-01-04";"MI-007";"24"
"SAL-0000053";"2024-01-04";"MI-008";"12"
"SAL-0000054";"2024-01-04";"MI-009";"1"
"SAL-0000055";"2024-01-04";"MI-010";"13"
"SAL-0000056";"2024-01-04";"MI-011";"12"
"SAL-0000057";"2024-01-04";"MI-012";"14"
"SAL-0000058";"2024-01-04";"MI-013";"13"
"SAL-0000059";"2024-01-04";"MI-014";"9"
"SAL-0000060";"2024-01-04";"MI-015";"9"
"SAL-0000061";"2024-01-05";"MI-001";"34"
"SAL-0000062";"2024-01-05";"MI-002";"10"
"SAL-0000063";"2024-01-05";"MI-003";"22"
"SAL-0000064";"2024-01-05";"MI-004";"21"
"SAL-0000065";"2024-01-05";"MI-005";"25"
"SAL-0000066";"2024-01-05";"MI-006";"20"
"SAL-0000067";"2024-01-05";"MI-007";"16"
"SAL-0000068";"2024-01-05";"MI-008";"12"
"SAL-0000069";"2024-01-05";"MI-009";"10"
"SAL-0000070";"2024-01-05";"MI-010";"14"
"SAL-0000071";"2024-01-05";"MI-011";"16"
"SAL-0000072";"2024-01-05";"MI-012";"5"
"SAL-0000073";"2024-01-05";"MI-013";"13"
"SAL-0000074";"2024-01-05";"MI-014";"3"
"SAL-0000075";"2024-01-05";"MI-015";"21"
"SAL-0000076";"2024-01-06";"MI-001";"32"
"SAL-0000077";"2024-01-06";"MI-002";"23"
"SAL-0000078";"2024-01-06";"MI-003";"36"
"SAL-0000079";"2024-01-06";"MI-004";"22"
"SAL-0000080";"2024-01-06";"MI-005";"33"
