"_id";"date";"num_of_event"
"EVT-00001";"2024-01-01";"2"
"EVT-00002";"2024-01-02";"1"
"EVT-00003";"2024-01-03";"0"
"EVT-00004";"2024-01-04";"1"
"EVT-00005";"2024-01-05";"0"
"EVT-00006";"2024-01-06";"2"
"EVT-00007";"2024-01-07";"0"
"EVT-00008";"2024-01-08";"0"
"EVT-00009";"2024-01-09";"0"
"EVT-00010";"2024-01-10";"0"
"EVT-00011";"2024-01-11";"2"
"EVT-00012";"2024-01-12";"0"
"EVT-00013";"2024-01-13";"2"
"EVT-00014";"2024-01-14";"1"
"EVT-00015";"2024-01-15";"1"
"EVT-00016";"2024-01-16";"1"
"EVT-00017";"2024-01-17";"1"
"EVT-00018";"2024-01-18";"0"
"EVT-00019";"2024-01-19";"1"
"EVT-00020";"2024-01-20";"0"
"EVT-00021";"2024-01-21";"1"
"EVT-00022";"2024-01-22";"0"
"EVT-00023";"2024-01-23";"1"
"EVT-00024";"2024-01-24";"0"
"EVT-00025";"2024-01-25";"0"
"EVT-00026";"2024-01-26";"0"
"EVT-00027";"2024-01-27";"1"
"EVT-00028";"2024-01-28";"0"
"EVT-00029";"2024-01-29";"1"
"EVT-00030";"2024-01-30";"0"
"EVT-00031";"2024-01-31";"1"
"EVT-00032";"2024-02-01";"0"
"EVT-00033";"2024-02-02";"0"
"EVT-00034";"2024-02-03";"1"
"EVT-00035";"2024-02-04";"1"
"EVT-00036";"2024-02-05";"1"
"EVT-00037";"2024-02-06";"1"
"EVT-00038";"2024-02-07";"0"
"EVT-00039";"2024-02-08";"0"
"EVT-00040";"2024-02-09";"0"
"EVT-00041";"2024-02-10";"0"
"EVT-00042";"2024-02-11";"4"
"EVT-00043";"2024-02-12";"0"
"EVT-00044";"2024-02-13";"0"
"EVT-00045";"2024-02-14";"0"
"EVT-00046";"2024-02-15";"0"
"EVT-00047";"2024-02-16";"1"
"EVT-00048";"2024-02-17";"0"
"EVT-00049";"2024-02-18";"0"
"EVT-00050";"2024-02-19";"2"
"EVT-00051";"2024-02-20";"2"
"EVT-00052";"2024-02-21";"1"
"EVT-00053";"2024-02-22";"0"
"EVT-00054";"2024-02-23";"0"
"EVT-00055";"2024-02-24";"1"
"EVT-00056";"2024-02-25";"1"
"EVT-00057";"2024-02-26";"0"
"EVT-00058";"2024-02-27";"0"
"EVT-00059";"2024-02-28";"2"
"EVT-00060";"2024-02-29";"0"
"EVT-00061";"2024-03-01";"1"
"EVT-00062";"2024-03-02";"0"
"EVT-00063";"2024-03-03";"1"
"EVT-00064";"2024-03-04";"1"
"EVT-00065";"2024-03-05";"0"
"EVT-00066";"2024-03-06";"1"
"EVT-00067";"2024-03-07";"1"
"EVT-00068";"2024-03-08";"0"
"EVT-00069";"2024-03-09";"0"
"EVT-00070";"2024-03-10";"1"
"EVT-00071";"2024-03-11";"0"
"EVT-00072";"2024-03-12";"1"
"EVT-00073";"2024-03-13";"0"
"EVT-00074";"2024-03-14";"1"
"EVT-00075";"2024-03-15";"1"
"EVT-00076";"2024-03-16";"3"
"EVT-00077";"2024-03-17";"1"
"EVT-00078";"2024-03-18";"0"
"EVT-00079";"2024-03-19";"0"
"EVT-00080";"2024-03-20";"1"
"EVT-00081";"2024-03-21";"0"
"EVT-00082";"2024-03-22";"2"
"EVT-00083";"2024-03-23";"1"
"EVT-00084";"2024-03-24";"1"
"EVT-00085";"2024-03-25";"1"
"EVT-00086";"2024-03-26";"1"
"EVT-00087";"2024-03-27";"3"
"EVT-00088";"2024-03-28";"1"
"EVT-00089";"2024-03-29";"1"
"EVT-00090";"2024-03-30";"2"
"EVT-00091";"2024-03-31";"2"
"EVT-00092";"2024-04-01";"1"
"EVT-00093";"2024-04-02";"0"
"EVT-00094";"2024-04-03";"0"
"EVT-00095";"2024-04-04";"0"
"EVT-00096";"2024-04-05";"1"
"EVT-00097";"2024-04-06";"1"
"EVT-00098";"2024-04-07";"2"
"EVT-00099";"2024-04-08";"0"
"EVT-00100";"2024-04-09";"0"
"EVT-00101";"2024-04-10";"0"
"EVT-00102";"2024-04-11";"0"
"EVT-00103";"2024-04-12";"0"
"EVT-00104";"2024-04-13";"0"
"EVT-00105";"2024-04-14";"0"
"EVT-00106";"2024-04-15";"0"
"EVT-00107";"2024-04-16";"0"
"EVT-00108";"2024-04-17";"0"
"EVT-00109";"2024-04-18";"0"
"EVT-00110";"2024-04-19";"0"
"EVT-00111";"2024-04-20";"2"
"EVT-00112";"2024-04-21";"1"
"EVT-00113";"2024-04-22";"0"
"EVT-00114";"2024-04-23";"0"
"EVT-00115";"2024-04-24";"0"
"EVT-00116";"2024-04-25";"2"
"EVT-00117";"2024-04-26";"2"
"EVT-00118";"2024-04-27";"1"
"EVT-00119";"2024-04-28";"0"
"EVT-00120";"2024-04-29";"1"
"EVT-00121";"2024-04-30";"3"
"EVT-00122";"2024-05-01";"1"
"EVT-00123";"2024-05-02";"0"
"EVT-00124";"2024-05-03";"0"
"EVT-00125";"2024-05-04";"2"
"EVT-00126";"2024-05-05";"2"
"EVT-00127";"2024-05-06";"0"
"EVT-00128";"2024-05-07";"1"
"EVT-00129";"2024-05-08";"0"
"EVT-00130";"2024-05-09";"0"
"EVT-00131";"2024-05-10";"0"
"EVT-00132";"2024-05-11";"3"
"EVT-00133";"2024-05-12";"0"
"EVT-00134";"2024-05-13";"0"
"EVT-00135";"2024-05-14";"0"
"EVT-00136";"2024-05-15";"0"
"EVT-00137";"2024-05-16";"0"
"EVT-00138";"2024-05-17";"0"
"EVT-00139";"2024-05-18";"2"
"EVT-00140";"2024-05-19";"0"
"EVT-00141";"2024-05-20";"0"
"EVT-00142";"2024-05-21";"0"
"EVT-00143";"2024-05-22";"0"
"EVT-00144";"2024-05-23";"0"
"EVT-00145";"2024-05-24";"0"
"EVT-00146";"2024-05-25";"0"
"EVT-00147";"2024-05-26";"0"
"EVT-00148";"2024-05-27";"0"
"EVT-00149";"2024-05-28";"1"
"EVT-00150";"2024-05-29";"0"
