"_id";"name";"category";"price"
"MI-001";"Chicken Teriyaki Bowl";"MAIN";"14.09"
"MI-002";"Sashimi Poke Bowl";"MAIN";"17.90"
"MI-003";"Wagyu Beef Bowl";"MAIN";"16.90"
"MI-004";"Miso Falafel Bowl";"MAIN";"17.90"
"MI-005";"Karaage Chicken Bowl";"MAIN";"16.90"
"MI-006";"Tofu Bowl";"MAIN";"18.90"
"MI-007";"Salmon Aburi Bowl";"MAIN";"17.90"
"MI-008";"Miso soup";"SIDE";"2.90"
"MI-009";"Bone Broth soup";"SIDE";"2.90"
"MI-010";"Coconut water";"COLD_DRINK";"4.90"
"MI-011";"Sparkling water";"COLD_DRINK";"3.90"
"MI-012";"Yuzu tea";"HOT_DRINK";"4.90"
"MI-013";"Specialty Soda";"COLD_DRINK";"4.90"
"MI-014";"Hot Chocolate";"HOT_DRINK";"4.90"
"MI-015";"Still waterr";"COLD_DRINK";"3.50"
