"_id";"menu_1";"menu_1_amount";"menu_2";"menu_2_amount";"menu_3";"menu_3_amount";"menu_4";"menu_4_amount";"menu_5";"menu_5_amount";"menu_6";"menu_6_amount";"menu_7";"menu_7_amount";"menu_8";"menu_8_amount";"menu_9";"menu_9_amount";"menu_10";"menu_10_amount";"menu_11";"menu_11_amount";"menu_12";"menu_12_amount";"menu_13";"menu_13_amount";"menu_14";"menu_14_amount";"menu_15";"menu_15_amount"
"MLI-00001";"Chicken Teriyaki Bowl";"25";"Sashimi Poke Bowl";"14";"Wagyu Beef Bowl";"22";"Miso Falafel Bowl";"17";"Karaage Chicken Bowl";"21";"Tofu Bowl";"20";"Salmon Aburi Bowl";"19";"Miso soup";"9";"Bone Broth soup";"12";"Coconut water";"12";"Sparkling water";"20";"Yuzu tea";"7";"Specialty Soda";"12";"Hot Chocolate";"5";"Still waterr";"13"
"MLI-00002";"Chicken Teriyaki Bowl";"25";"Sashimi Poke Bowl";"14";"Wagyu Beef Bowl";"22";"Miso Falafel Bowl";"17";"Karaage Chicken Bowl";"21";"Tofu Bowl";"20";"Salmon Aburi Bowl";"19";"Miso soup";"9";"Bone Broth soup";"12";"Coconut water";"12";"Sparkling water";"20";"Yuzu tea";"7";"Specialty Soda";"12";"Hot Chocolate";"5";"Still waterr";"13"
"MLI-00003";"Chicken Teriyaki Bowl";"25";"Sashimi Poke Bowl";"14";"Wagyu Beef Bowl";"22";"Miso Falafel Bowl";"17";"Karaage Chicken Bowl";"21";"Tofu Bowl";"20";"Salmon Aburi Bowl";"19";"Miso soup";"9";"Bone Broth soup";"12";"Coconut water";"12";"Sparkling water";"20";"Yuzu tea";"7";"Specialty Soda";"12";"Hot Chocolate";"5";"Still waterr";"13"
"MLI-00004";"Chicken Teriyaki Bowl";"25";"Sashimi Poke Bowl";"14";"Wagyu Beef Bowl";"22";"Miso Falafel Bowl";"17";"Karaage Chicken Bowl";"21";"Tofu Bowl";"20";"Salmon Aburi Bowl";"19";"Miso soup";"9";"Bone Broth soup";"12";"Coconut water";"12";"Sparkling water";"20";"Yuzu tea";"7";"Specialty Soda";"12";"Hot Chocolate";"5";"Still waterr";"13"
"MLI-00005";"Chicken Teriyaki Bowl";"25";"Sashimi Poke Bowl";"14";"Wagyu Beef Bowl";"22";"Miso Falafel Bowl";"17";"Karaage Chicken Bowl";"21";"Tofu Bowl";"20";"Salmon Aburi Bowl";"19";"Miso soup";"9";"Bone Broth soup";"12";"Coconut water";"12";"Sparkling water";"20";"Yuzu tea";"7";"Specialty Soda";"12";"Hot Chocolate";"5";"Still waterr";"13"
"MLI-00006";"Chicken Teriyaki Bowl";"25";"Sashimi Poke Bowl";"14";"Wagyu Beef Bowl";"22";"Miso Falafel Bowl";"17";"Karaage Chicken Bowl";"21";"Tofu Bowl";"20";"Salmon Aburi Bowl";"19";"Miso soup";"9";"Bone Broth soup";"12";"Coconut water";"12";"Sparkling water";"20";"Yuzu tea";"7";"Specialty Soda";"12";"Hot Chocolate";"5";"Still waterr";"13"
"MLI-00007";"Chicken Teriyaki Bowl";"25";"Sashimi Poke Bowl";"14";"Wagyu Beef Bowl";"22";"Miso Falafel Bowl";"17";"Karaage Chicken Bowl";"21";"Tofu Bowl";"20";"Salmon Aburi Bowl";"19";"Miso soup";"9";"Bone Broth soup";"12";"Coconut water";"12";"Sparkling water";"20";"Yuzu tea";"7";"Specialty Soda";"12";"Hot Chocolate";"5";"Still waterr";"13"
"MLI-00008";"Chicken Teriyaki Bowl";"25";"Sashimi Poke Bowl";"14";"Wagyu Beef Bowl";"22";"Miso Falafel Bowl";"17";"Karaage Chicken Bowl";"21";"Tofu Bowl";"20";"Salmon Aburi Bowl";"19";"Miso soup";"9";"Bone Broth soup";"12";"Coconut water";"12";"Sparkling water";"20";"Yuzu tea";"7";"Specialty Soda";"12";"Hot Chocolate";"5";"Still waterr";"13"
"MLI-00009";"Chicken Teriyaki Bowl";"25";"Sashimi Poke Bowl";"14";"Wagyu Beef Bowl";"22";"Miso Falafel Bowl";"17";"Karaage Chicken Bowl";"21";"Tofu Bowl";"20";"Salmon Aburi Bowl";"19";"Miso soup";"9";"Bone Broth soup";"12";"Coconut water";"12";"Sparkling water";"20";"Yuzu tea";"7";"Specialty Soda";"12";"Hot Chocolate";"5";"Still waterr";"13"
"MLI-00010";"Chicken Teriyaki Bowl";"25";"Sashimi Poke Bowl";"14";"Wagyu Beef Bowl";"22";"Miso Falafel Bowl";"17";"Karaage Chicken Bowl";"21";"Tofu Bowl";"20";"Salmon Aburi Bowl";"19";"Miso soup";"9";"Bone Broth soup";"12";"Coconut water";"12";"Sparkling water";"20";"Yuzu tea";"7";"Specialty Soda";"12";"Hot Chocolate";"5";"Still waterr";"13"
