"_id";"menu_item";"percentage_discount";"date"
"PRO-00001";"Tofu Bowl";"25.0";"2024-01-01"
"PRO-00002";"Specialty Soda";"15.0";"2024-01-10"
"PRO-00003";"Tofu Bowl";"20.0";"2024-01-19"
"PRO-00004";"Hot Chocolate";"20.0";"2024-01-28"
"PRO-00005";"Specialty Soda";"20.0";"2024-02-06"
"PRO-00006";"Miso soup";"20.0";"2024-02-15"
"PRO-00007";"Salmon Aburi Bowl";"10.0";"2024-02-24"
"PRO-00008";"Yuzu tea";"25.0";"2024-03-04"
"PRO-00009";"Sparkling water";"10.0";"2024-03-13"
"PRO-00010";"Sashimi Poke Bowl";"10.0";"2024-03-22"
"PRO-00011";"Chicken Teriyaki Bowl";"15.0";"2024-03-31"
"PRO-00012";"Specialty Soda";"10.0";"2024-04-09"
"PRO-00013";"Yuzu tea";"20.0";"2024-04-18"
"PRO-00014";"Salmon Aburi Bowl";"15.0";"2024-04-27"
"PRO-00015";"Karaage Chicken Bowl";"20.0";"2024-05-06"
"PRO-00016";"Coconut water";"15.0";"2024-05-15"
"PRO-00017";"Yuzu tea";"25.0";"2024-05-24"
"PRO-00018";"Karaage Chicken Bowl";"10.0";"2024-06-02"
"PRO-00019";"Bone Broth soup";"10.0";"2024-06-11"
"PRO-00020";"Sashimi Poke Bowl";"20.0";"2024-06-20"
"PRO-00021";"Still waterr";"20.0";"2024-06-29"
"PRO-00022";"Sashimi Poke Bowl";"10.0";"2024-07-08"
"PRO-00023";"Bone Broth soup";"20.0";"2024-07-17"
"PRO-00024";"Still waterr";"10.0";"2024-07-26"
"PRO-00025";"Yuzu tea";"15.0";"2024-08-04"
"PRO-00026";"Bone Broth soup";"15.0";"2024-08-13"
"PRO-00027";"Miso Falafel Bowl";"20.0";"2024-08-22"
"PRO-00028";"Sashimi Poke Bowl";"25.0";"2024-08-31"
"PRO-00029";"Yuzu tea";"20.0";"2024-09-09"
"PRO-00030";"Miso soup";"15.0";"2024-09-18"
"PRO-00031";"Miso Falafel Bowl";"10.0";"2024-09-27"
"PRO-00032";"Hot Chocolate";"20.0";"2024-10-06"
"PRO-00033";"Wagyu Beef Bowl";"10.0";"2024-10-15"
"PRO-00034";"Tofu Bowl";"10.0";"2024-10-24"
"PRO-00035";"Bone Broth soup";"20.0";"2024-11-02"
"PRO-00036";"Bone Broth soup";"10.0";"2024-11-11"
"PRO-00037";"Karaage Chicken Bowl";"25.0";"2024-11-20"
"PRO-00038";"Still waterr";"15.0";"2024-11-29"
"PRO-00039";"Bone Broth soup";"15.0";"2024-12-08"
"PRO-00040";"Specialty Soda";"10.0";"2024-12-17"
"PRO-00041";"Coconut water";"20.0";"2024-12-26"
"PRO-00042";"Chicken Teriyaki Bowl";"25.0";"2025-01-04"
"PRO-00043";"Tofu Bowl";"20.0";"2025-01-13"
"PRO-00044";"Coconut water";"10.0";"2025-01-22"
"PRO-00045";"Chicken Teriyaki Bowl";"10.0";"2025-01-31"
"PRO-00046";"Sashimi Poke Bowl";"10.0";"2025-02-09"
"PRO-00047";"Sparkling water";"20.0";"2025-02-18"
"PRO-00048";"Wagyu Beef Bowl";"25.0";"2025-02-27"
"PRO-00049";"Coconut water";"25.0";"2025-03-08"
"PRO-00050";"Sparkling water";"25.0";"2025-03-17"
"PRO-00051";"Tofu Bowl";"15.0";"2025-03-26"
"PRO-00052";"Sashimi Poke Bowl";"10.0";"2025-04-04"
"PRO-00053";"Coconut water";"25.0";"2025-04-13"
"PRO-00054";"Miso soup";"15.0";"2025-04-22"
"PRO-00055";"Salmon Aburi Bowl";"15.0";"2025-05-01"
"PRO-00056";"Still waterr";"10.0";"2025-05-10"
"PRO-00057";"Chicken Teriyaki Bowl";"20.0";"2025-05-19"
"PRO-00058";"Miso Falafel Bowl";"25.0";"2025-05-28"
"PRO-00059";"Salmon Aburi Bowl";"25.0";"2025-06-06"
"PRO-00060";"Still waterr";"15.0";"2025-06-15"
"PRO-00061";"Bone Broth soup";"25.0";"2025-06-24"
"PRO-00062";"Sashimi Poke Bowl";"25.0";"2025-07-03"
"PRO-00063";"Chicken Teriyaki Bowl";"10.0";"2025-07-12"
"PRO-00064";"Salmon Aburi Bowl";"15.0";"2025-07-21"
"PRO-00065";"Yuzu tea";"25.0";"2025-07-30"
"PRO-00066";"Sashimi Poke Bowl";"20.0";"2025-08-08"
"PRO-00067";"Bone Broth soup";"25.0";"2025-08-17"
"PRO-00068";"Yuzu tea";"15.0";"2025-08-26"
"PRO-00069";"Salmon Aburi Bowl";"10.0";"2025-09-04"
"PRO-00070";"Chicken Teriyaki Bowl";"20.0";"2025-09-13"
"PRO-00071";"Tofu Bowl";"10.0";"2025-09-22"
"PRO-00072";"Miso soup";"25.0";"2025-10-01"
"PRO-00073";"Miso soup";"20.0";"2025-10-10"
"PRO-00074";"Salmon Aburi Bowl";"15.0";"2025-10-19"
"PRO-00075";"Coconut water";"15.0";"2025-10-28"
"PRO-00076";"Specialty Soda";"10.0";"2025-11-06"
"PRO-00077";"Tofu Bowl";"10.0";"2025-11-15"
"PRO-00078";"Salmon Aburi Bowl";"15.0";"2025-11-24"
"PRO-00079";"Sparkling water";"25.0";"2025-12-03"
"PRO-00080";"Coconut water";"10.0";"2025-12-12"
"PRO-00081";"Still waterr";"10.0";"2025-12-21"
"PRO-00082";"Yuzu tea";"25.0";"2025-12-30"
"PRO-00083";"Chicken Teriyaki Bowl";"25.0";"2026-01-08"
"PRO-00084";"Wagyu Beef Bowl";"20.0";"2026-01-17"
"PRO-00085";"Wagyu Beef Bowl";"10.0";"2026-01-26"
"PRO-00086";"Bone Broth soup";"25.0";"2026-02-04"
"PRO-00087";"Chicken Teriyaki Bowl";"10.0";"2026-02-13"
"PRO-00088";"Specialty Soda";"25.0";"2026-02-22"
"PRO-00089";"Miso Falafel Bowl";"10.0";"2026-03-03"
"PRO-00090";"Salmon Aburi Bowl";"20.0";"2026-03-12"
"PRO-00091";"Chicken Teriyaki Bowl";"15.0";"2026-03-21"
"PRO-00092";"Karaage Chicken Bowl";"10.0";"2026-03-30"
"PRO-00093";"Bone Broth soup";"10.0";"2026-04-08"
"PRO-00094";"Chicken Teriyaki Bowl";"10.0";"2026-04-17"
"PRO-00095";"Specialty Soda";"10.0";"2026-04-26"
"PRO-00096";"Miso soup";"10.0";"2026-05-05"
"PRO-00097";"Specialty Soda";"25.0";"2026-05-14"
"PRO-00098";"Tofu Bowl";"15.0";"2026-05-23"
"PRO-00099";"Karaage Chicken Bowl";"20.0";"2026-06-01"
"PRO-00100";"Sashimi Poke Bowl";"10.0";"2026-06-10"
"PRO-00101";"Sparkling water";"15.0";"2026-06-19"
"PRO-00102";"Yuzu tea";"25.0";"2026-06-28"
"PRO-00103";"Hot Chocolate";"10.0";"2026-07-07"
"PRO-00104";"Hot Chocolate";"10.0";"2026-07-16"
"PRO-00105";"Miso soup";"10.0";"2026-07-25"
"PRO-00106";"Wagyu Beef Bowl";"20.0";"2026-08-03"
"PRO-00107";"Miso soup";"20.0";"2026-08-12"
"PRO-00108";"Salmon Aburi Bowl";"15.0";"2026-08-21"
"PRO-00109";"Specialty Soda";"15.0";"2026-08-30"
"PRO-00110";"Sashimi Poke Bowl";"15.0";"2026-09-08"
