"_id";"date";"name"
"HOL-0001";"2024-01-01";"New Year's Day"
"HOL-0002";"2024-01-26";"Australia Day"
"HOL-0003";"2024-03-29";"Good Friday"
"HOL-0004";"2024-04-01";"Easter Monday"
"HOL-0005";"2024-04-25";"ANZAC Day"
"HOL-0006";"2024-06-10";"King's Birthday"
"HOL-0007";"2024-11-05";"Melbourne Cup Day"
"HOL-0008";"2024-12-25";"Christmas Day"
"HOL-0009";"2024-12-26";"Boxing Day"
"HOL-0010";"2025-01-01";"New Year's Day"
"HOL-0011";"2025-01-26";"Australia Day"
"HOL-0012";"2025-04-18";"Good Friday"
"HOL-0013";"2025-04-21";"Easter Monday"
"HOL-0014";"2025-04-25";"ANZAC Day"
"HOL-0015";"2025-06-09";"King's Birthday"
"HOL-0016";"2025-11-04";"Melbourne Cup Day"
"HOL-0017";"2025-12-25";"Christmas Day"
"HOL-0018";"2025-12-26";"Boxing Day"
"HOL-0019";"2026-01-01";"New Year's Day"
"HOL-0020";"2026-01-26";"Australia Day"
"HOL-0021";"2026-04-03";"Good Friday"
"HOL-0022";"2026-04-06";"Easter Monday"
"HOL-0023";"2026-04-25";"ANZAC Day"
"HOL-0024";"2026-06-08";"King's Birthday"
