"_id";"date";"avg_temp";"rain"
"WEA-00001";"2024-01-01";"26.4";"true"
"WEA-00002";"2024-01-02";"25.1";"false"
"WEA-00003";"2024-01-03";"25.5";"false"
"WEA-00004";"2024-01-04";"19.6";"false"
"WEA-00005";"2024-01-05";"24.5";"false"
"WEA-00006";"2024-01-06";"23.0";"false"
"WEA-00007";"2024-01-07";"25.9";"false"
"WEA-00008";"2024-01-08";"26.4";"false"
"WEA-00009";"2024-01-09";"23.8";"false"
"WEA-00010";"2024-01-10";"24.2";"false"
"WEA-00011";"2024-01-11";"22.1";"false"
"WEA-00012";"2024-01-12";"21.3";"false"
"WEA-00013";"2024-01-13";"23.4";"false"
"WEA-00014";"2024-01-14";"27.0";"false"
"WEA-00015";"2024-01-15";"24.2";"false"
"WEA-00016";"2024-01-16";"22.8";"false"
"WEA-00017";"2024-01-17";"26.7";"false"
"WEA-00018";"2024-01-18";"20.3";"false"
"WEA-00019";"2024-01-19";"17.2";"false"
"WEA-00020";"2024-01-20";"21.3";"false"
"WEA-00021";"2024-01-21";"21.4";"false"
"WEA-00022";"2024-01-22";"16.2";"false"
"WEA-00023";"2024-01-23";"19.2";"false"
"WEA-00024";"2024-01-24";"27.1";"false"
"WEA-00025";"2024-01-25";"22.1";"true"
"WEA-00026";"2024-01-26";"22.0";"false"
"WEA-00027";"2024-01-27";"23.0";"true"
"WEA-00028";"2024-01-28";"18.4";"false"
"WEA-00029";"2024-01-29";"23.9";"false"
"WEA-00030";"2024-01-30";"22.8";"false"
"WEA-00031";"2024-01-31";"21.9";"true"
"WEA-00032";"2024-02-01";"26.9";"false"
"WEA-00033";"2024-02-02";"23.6";"false"
"WEA-00034";"2024-02-03";"22.1";"false"
"WEA-00035";"2024-02-04";"15.9";"false"
"WEA-00036";"2024-02-05";"25.6";"false"
"WEA-00037";"2024-02-06";"18.6";"false"
"WEA-00038";"2024-02-07";"19.3";"true"
"WEA-00039";"2024-02-08";"23.2";"false"
"WEA-00040";"2024-02-09";"19.5";"false"
"WEA-00041";"2024-02-10";"23.6";"false"
"WEA-00042";"2024-02-11";"21.9";"true"
"WEA-00043";"2024-02-12";"22.0";"false"
"WEA-00044";"2024-02-13";"22.6";"false"
"WEA-00045";"2024-02-14";"24.7";"false"
"WEA-00046";"2024-02-15";"21.6";"false"
"WEA-00047";"2024-02-16";"29.6";"false"
"WEA-00048";"2024-02-17";"20.4";"true"
"WEA-00049";"2024-02-18";"23.6";"false"
"WEA-00050";"2024-02-19";"24.3";"true"
"WEA-00051";"2024-02-20";"26.1";"false"
"WEA-00052";"2024-02-21";"19.8";"false"
"WEA-00053";"2024-02-22";"25.8";"false"
"WEA-00054";"2024-02-23";"17.5";"false"
"WEA-00055";"2024-02-24";"19.8";"false"
"WEA-00056";"2024-02-25";"19.9";"false"
"WEA-00057";"2024-02-26";"20.1";"false"
"WEA-00058";"2024-02-27";"19.3";"true"
"WEA-00059";"2024-02-28";"20.3";"false"
"WEA-00060";"2024-02-29";"16.8";"false"
"WEA-00061";"2024-03-01";"19.1";"false"
"WEA-00062";"2024-03-02";"19.5";"false"
"WEA-00063";"2024-03-03";"17.3";"false"
"WEA-00064";"2024-03-04";"19.1";"false"
"WEA-00065";"2024-03-05";"23.9";"false"
"WEA-00066";"2024-03-06";"20.3";"true"
"WEA-00067";"2024-03-07";"14.4";"true"
"WEA-00068";"2024-03-08";"23.0";"false"
"WEA-00069";"2024-03-09";"21.7";"false"
"WEA-00070";"2024-03-10";"17.3";"false"
"WEA-00071";"2024-03-11";"20.1";"false"
"WEA-00072";"2024-03-12";"25.0";"false"
"WEA-00073";"2024-03-13";"15.2";"false"
"WEA-00074";"2024-03-14";"22.7";"false"
"WEA-00075";"2024-03-15";"18.4";"true"
"WEA-00076";"2024-03-16";"15.0";"false"
"WEA-00077";"2024-03-17";"16.2";"true"
"WEA-00078";"2024-03-18";"14.2";"false"
"WEA-00079";"2024-03-19";"14.6";"false"
"WEA-00080";"2024-03-20";"16.0";"true"
"WEA-00081";"2024-03-21";"22.6";"false"
"WEA-00082";"2024-03-22";"19.0";"false"
"WEA-00083";"2024-03-23";"15.6";"true"
"WEA-00084";"2024-03-24";"23.5";"false"
"WEA-00085";"2024-03-25";"15.3";"true"
"WEA-00086";"2024-03-26";"19.0";"false"
"WEA-00087";"2024-03-27";"16.3";"true"
"WEA-00088";"2024-03-28";"23.8";"false"
"WEA-00089";"2024-03-29";"16.7";"false"
"WEA-00090";"2024-03-30";"20.5";"false"
"WEA-00091";"2024-03-31";"20.7";"false"
"WEA-00092";"2024-04-01";"13.9";"true"
"WEA-00093";"2024-04-02";"15.2";"false"
"WEA-00094";"2024-04-03";"16.5";"false"
"WEA-00095";"2024-04-04";"15.0";"true"
"WEA-00096";"2024-04-05";"17.1";"false"
"WEA-00097";"2024-04-06";"17.0";"false"
"WEA-00098";"2024-04-07";"17.3";"false"
"WEA-00099";"2024-04-08";"15.0";"false"
"WEA-00100";"2024-04-09";"20.0";"false"
"WEA-00101";"2024-04-10";"17.1";"false"
"WEA-00102";"2024-04-11";"13.2";"true"
"WEA-00103";"2024-04-12";"15.4";"true"
"WEA-00104";"2024-04-13";"16.7";"true"
"WEA-00105";"2024-04-14";"13.2";"false"
"WEA-00106";"2024-04-15";"15.6";"false"
"WEA-00107";"2024-04-16";"17.6";"false"
"WEA-00108";"2024-04-17";"17.3";"false"
"WEA-00109";"2024-04-18";"11.6";"true"
"WEA-00110";"2024-04-19";"14.2";"false"
"WEA-00111";"2024-04-20";"13.1";"true"
"WEA-00112";"2024-04-21";"15.5";"false"
"WEA-00113";"2024-04-22";"17.2";"false"
"WEA-00114";"2024-04-23";"16.1";"true"
"WEA-00115";"2024-04-24";"14.8";"false"
"WEA-00116";"2024-04-25";"13.8";"false"
"WEA-00117";"2024-04-26";"14.3";"false"
"WEA-00118";"2024-04-27";"12.2";"false"
"WEA-00119";"2024-04-28";"13.0";"true"
"WEA-00120";"2024-04-29";"14.5";"true"
"WEA-00121";"2024-04-30";"13.5";"false"
"WEA-00122";"2024-05-01";"15.3";"false"
"WEA-00123";"2024-05-02";"12.8";"false"
"WEA-00124";"2024-05-03";"14.1";"false"
"WEA-00125";"2024-05-04";"9.0";"true"
"WEA-00126";"2024-05-05";"8.4";"true"
"WEA-00127";"2024-05-06";"9.9";"false"
"WEA-00128";"2024-05-07";"13.0";"true"
"WEA-00129";"2024-05-08";"14.5";"false"
"WEA-00130";"2024-05-09";"16.6";"true"
"WEA-00131";"2024-05-10";"16.5";"false"
"WEA-00132";"2024-05-11";"10.3";"false"
"WEA-00133";"2024-05-12";"13.2";"false"
"WEA-00134";"2024-05-13";"9.5";"false"
"WEA-00135";"2024-05-14";"14.4";"false"
"WEA-00136";"2024-05-15";"14.0";"false"
"WEA-00137";"2024-05-16";"6.9";"true"
"WEA-00138";"2024-05-17";"14.9";"true"
"WEA-00139";"2024-05-18";"8.7";"false"
"WEA-00140";"2024-05-19";"9.8";"false"
"WEA-00141";"2024-05-20";"12.1";"false"
"WEA-00142";"2024-05-21";"13.6";"true"
