_id,date,total_reservation,total_people
r_0,2025-09-14,57,114
r_1,2025-09-15,27,81
r_2,2025-09-16,26,104
r_3,2025-09-17,24,96
r_4,2025-09-18,42,126
r_5,2025-09-19,36,108
r_6,2025-09-20,47,188
r_7,2025-09-21,63,126
r_8,2025-09-22,39,156
r_9,2025-09-23,33,66
r_10,2025-09-24,25,50
r_11,2025-09-25,45,135
r_12,2025-09-26,29,58
r_13,2025-09-27,49,196
r_14,2025-09-28,61,244
r_15,2025-09-29,36,108
r_16,2025-09-30,25,100
r_17,2025-10-01,36,144
r_18,2025-10-02,28,112
r_19,2025-10-03,28,112
r_20,2025-10-04,48,144
r_21,2025-10-05,54,108
r_22,2025-10-06,32,128
r_23,2025-10-07,28,84
r_24,2025-10-08,26,104
r_25,2025-10-09,34,136
r_26,2025-10-10,29,58
r_27,2025-10-11,47,141
r_28,2025-10-12,50,100
r_29,2025-10-13,26,52
r_30,2025-10-14,26,104
r_31,2025-10-15,41,164
r_32,2025-10-16,25,100
r_33,2025-10-17,28,112
r_34,2025-10-18,46,138
r_35,2025-10-19,62,186
r_36,2025-10-20,39,156
r_37,2025-10-21,36,108
r_38,2025-10-22,27,81
r_39,2025-10-23,34,68
r_40,2025-10-24,34,136
r_41,2025-10-25,65,260
r_42,2025-10-26,61,244
r_43,2025-10-27,22,66
r_44,2025-10-28,30,60
r_45,2025-10-29,31,62
r_46,2025-10-30,26,78
r_47,2025-10-31,33,132
r_48,2025-11-01,47,188
r_49,2025-11-02,52,208
r_50,2025-11-03,21,63
r_51,2025-11-04,37,148
r_52,2025-11-05,35,140
r_53,2025-11-06,27,54
r_54,2025-11-07,27,108
r_55,2025-11-08,58,116
r_56,2025-11-09,60,180
r_57,2025-11-10,30,120
r_58,2025-11-11,27,81
r_59,2025-11-12,42,168
r_60,2025-11-13,34,68
r_61,2025-11-14,37,111
r_62,2025-11-15,65,260
r_63,2025-11-16,56,168
r_64,2025-11-17,26,104
r_65,2025-11-18,33,99
r_66,2025-11-19,34,136
r_67,2025-11-20,30,90
r_68,2025-11-21,32,128
r_69,2025-11-22,52,104
r_70,2025-11-23,66,132
r_71,2025-11-24,27,54
r_72,2025-11-25,25,100
r_73,2025-11-26,22,44
r_74,2025-11-27,23,46
r_75,2025-11-28,31,124
r_76,2025-11-29,58,174
r_77,2025-11-30,58,116
r_78,2025-12-01,34,68
r_79,2025-12-02,27,54
r_80,2025-12-03,24,96
r_81,2025-12-04,26,78
r_82,2025-12-05,26,104
r_83,2025-12-06,51,102
r_84,2025-12-07,64,192
r_85,2025-12-08,35,70
r_86,2025-12-09,25,75
r_87,2025-12-10,39,117
r_88,2025-12-11,31,124
r_89,2025-12-12,31,93
r_90,2025-12-13,57,228
r_91,2025-12-14,45,135
r_92,2025-12-15,33,66
r_93,2025-12-16,20,80
r_94,2025-12-17,28,84
r_95,2025-12-18,25,50
r_96,2025-12-19,34,136
r_97,2025-12-20,63,252
r_98,2025-12-21,61,122
r_99,2025-12-22,30,120
r_100,2025-12-23,40,160
r_101,2025-12-24,30,120
r_102,2025-12-25,34,68
r_103,2025-12-26,30,90
r_104,2025-12-27,68,204
r_105,2025-12-28,54,162
r_106,2025-12-29,29,87
r_107,2025-12-30,25,75
r_108,2025-12-31,35,105
r_109,2026-01-01,24,96
r_110,2026-01-02,27,81
r_111,2026-01-03,53,106
r_112,2026-01-04,49,98
r_113,2026-01-05,30,120
r_114,2026-01-06,25,100
r_115,2026-01-07,26,78
r_116,2026-01-08,32,64
r_117,2026-01-09,40,160
r_118,2026-01-10,56,112
r_119,2026-01-11,50,150
r_120,2026-01-12,26,52
r_121,2026-01-13,31,62
r_122,2026-01-14,30,120
r_123,2026-01-15,28,84
r_124,2026-01-16,27,54
r_125,2026-01-17,45,135
r_126,2026-01-18,64,128
r_127,2026-01-19,25,75
r_128,2026-01-20,31,93
r_129,2026-01-21,27,81
r_130,2026-01-22,33,132
r_131,2026-01-23,19,38
r_132,2026-01-24,57,114
r_133,2026-01-25,64,192
r_134,2026-01-26,32,128
r_135,2026-01-27,29,87
r_136,2026-01-28,38,76
r_137,2026-01-29,23,92
r_138,2026-01-30,33,99
r_139,2026-01-31,57,114
r_140,2026-02-01,55,165
r_141,2026-02-02,30,60
r_142,2026-02-03,25,100
r_143,2026-02-04,27,54
r_144,2026-02-05,32,96
r_145,2026-02-06,34,102
r_146,2026-02-07,54,108
r_147,2026-02-08,49,147
r_148,2026-02-09,25,50
r_149,2026-02-10,29,87
r_150,2026-02-11,25,100
r_151,2026-02-12,42,168
r_152,2026-02-13,31,62
r_153,2026-02-14,64,128
r_154,2026-02-15,57,171
r_155,2026-02-16,31,124
r_156,2026-02-17,34,136
r_157,2026-02-18,29,58
r_158,2026-02-19,34,68
r_159,2026-02-20,24,48
r_160,2026-02-21,54,108
r_161,2026-02-22,60,180
r_162,2026-02-23,37,148
r_163,2026-02-24,37,74
r_164,2026-02-25,26,104
r_165,2026-02-26,21,63
r_166,2026-02-27,27,81
r_167,2026-02-28,54,216
r_168,2026-03-01,50,100
r_169,2026-03-02,36,144
r_170,2026-03-03,36,72
r_171,2026-03-04,30,90
r_172,2026-03-05,23,92
r_173,2026-03-06,17,51
r_174,2026-03-07,46,92
r_175,2026-03-08,53,159
r_176,2026-03-09,26,78
r_177,2026-03-10,32,64
r_178,2026-03-11,32,128
r_179,2026-03-12,29,58
r_180,2026-03-13,36,108
r_181,2026-03-14,56,168
r_182,2026-03-15,51,102
r_183,2026-03-16,22,88
r_184,2026-03-17,41,123
r_185,2026-03-18,32,64
r_186,2026-03-19,26,78
r_187,2026-03-20,29,87
r_188,2026-03-21,46,138
r_189,2026-03-22,54,216
r_190,2026-03-23,27,81
r_191,2026-03-24,23,92
r_192,2026-03-25,42,126
r_193,2026-03-26,30,90
r_194,2026-03-27,29,58
r_195,2026-03-28,49,147
r_196,2026-03-29,64,128
r_197,2026-03-30,26,104
r_198,2026-03-31,28,112
r_199,2026-04-01,27,108
r_200,2026-04-02,28,112
r_201,2026-04-03,33,66
