_id,menu_item,percentage_discount,date
p_0,MENU_13,20,2025-09-20
p_1,MENU_9,25,2025-10-19
p_2,MENU_6,15,2025-11-08
p_3,MENU_9,20,2025-11-19
p_4,MENU_5,15,2025-11-28
p_5,MENU_13,25,2025-12-06
p_6,MENU_4,20,2025-12-09
p_7,MENU_14,20,2025-12-19
p_8,MENU_15,10,2025-12-27
p_9,MENU_12,15,2026-01-13
p_10,MENU_12,15,2026-01-23
p_11,MENU_9,10,2026-01-30
p_12,MENU_14,15,2026-02-01
p_13,MENU_1,25,2026-02-09
p_14,MENU_15,10,2026-02-25
p_15,MENU_12,10,2026-03-04
p_16,MENU_12,25,2026-03-25
p_17,MENU_10,15,2026-03-27
p_18,MENU_4,10,2026-04-02
p_19,MENU_3,15,2026-04-03
p_20,MENU_9,15,2026-04-07
p_21,MENU_15,15,2026-04-15
p_22,MENU_15,15,2026-04-26
p_23,MENU_14,15,2026-05-06
p_24,MENU_11,25,2026-05-08
p_25,MENU_3,10,2026-05-10
p_26,MENU_9,25,2026-05-22
p_27,MENU_4,10,2026-05-23
p_28,MENU_15,15,2026-06-09
p_29,MENU_4,20,2026-07-03
p_30,MENU_10,20,2026-07-04
p_31,MENU_4,25,2026-07-05
p_32,MENU_9,20,2026-07-17
p_33,MENU_13,15,2026-07-21
p_34,MENU_12,25,2026-07-24
p_35,MENU_12,20,2026-08-01
p_36,MENU_5,15,2026-08-14
p_37,MENU_4,15,2026-08-19
p_38,MENU_3,25,2026-09-01
