_id,date,avg_temp,rain
w_0,2025-09-14,19.5,False
w_1,2025-09-15,16.0,False
w_2,2025-09-16,20.4,False
w_3,2025-09-17,20.7,False
w_4,2025-09-18,13.3,False
w_5,2025-09-19,14.8,False
w_6,2025-09-20,18.3,False
w_7,2025-09-21,17.0,False
w_8,2025-09-22,17.6,False
w_9,2025-09-23,15.4,True
w_10,2025-09-24,19.6,False
w_11,2025-09-25,19.2,False
w_12,2025-09-26,17.3,True
w_13,2025-09-27,19.8,False
w_14,2025-09-28,18.0,False
w_15,2025-09-29,14.5,True
w_16,2025-09-30,17.5,False
w_17,2025-10-01,14.0,False
w_18,2025-10-02,18.5,False
w_19,2025-10-03,16.0,False
w_20,2025-10-04,15.6,False
w_21,2025-10-05,14.2,False
w_22,2025-10-06,18.8,False
w_23,2025-10-07,15.2,False
w_24,2025-10-08,14.4,True
w_25,2025-10-09,14.5,False
w_26,2025-10-10,16.6,False
w_27,2025-10-11,16.0,False
w_28,2025-10-12,16.0,False
w_29,2025-10-13,15.9,True
w_30,2025-10-14,20.1,False
w_31,2025-10-15,13.6,False
w_32,2025-10-16,13.2,False
w_33,2025-10-17,12.3,True
w_34,2025-10-18,15.8,False
w_35,2025-10-19,16.9,True
w_36,2025-10-20,13.7,True
w_37,2025-10-21,11.8,True
w_38,2025-10-22,11.7,False
w_39,2025-10-23,15.3,True
w_40,2025-10-24,15.4,False
w_41,2025-10-25,14.8,False
w_42,2025-10-26,11.6,True
w_43,2025-10-27,13.8,True
w_44,2025-10-28,13.4,True
w_45,2025-10-29,13.5,False
w_46,2025-10-30,15.0,False
w_47,2025-10-31,13.3,True
w_48,2025-11-01,14.4,False
w_49,2025-11-02,12.7,True
w_50,2025-11-03,13.2,False
w_51,2025-11-04,13.9,False
w_52,2025-11-05,8.6,False
w_53,2025-11-06,11.4,False
w_54,2025-11-07,10.9,False
w_55,2025-11-08,10.4,True
w_56,2025-11-09,11.2,True
w_57,2025-11-10,15.5,True
w_58,2025-11-11,9.6,False
w_59,2025-11-12,14.1,False
w_60,2025-11-13,7.3,False
w_61,2025-11-14,10.6,False
w_62,2025-11-15,11.8,True
w_63,2025-11-16,12.8,False
w_64,2025-11-17,13.0,True
w_65,2025-11-18,13.1,False
w_66,2025-11-19,10.2,False
w_67,2025-11-20,9.9,False
w_68,2025-11-21,13.1,False
w_69,2025-11-22,10.4,True
w_70,2025-11-23,7.6,False
w_71,2025-11-24,7.9,True
w_72,2025-11-25,8.4,False
w_73,2025-11-26,11.9,False
w_74,2025-11-27,11.0,True
w_75,2025-11-28,12.3,True
w_76,2025-11-29,9.4,True
w_77,2025-11-30,10.9,False
w_78,2025-12-01,12.0,False
w_79,2025-12-02,9.6,False
w_80,2025-12-03,11.5,False
w_81,2025-12-04,8.6,False
w_82,2025-12-05,9.3,True
w_83,2025-12-06,9.3,False
